time,Atlanta,pts.away,score,pts.home,Phoenix
3:11.0,,,93-96,,D. Booker misses 2-pt shot from 16 ft
3:09.0,Defensive rebound by D. Howard,,93-96,,
2:59.0,D. Schroder misses 2-pt shot from 2 ft,,93-96,,
2:57.0,Offensive rebound by Team,,93-96,,
2:57.0,,,93-96,,Loose ball foul by J. Dudley (drawn by T. Hardaway)
2:57.0,,,93-96,,P. Tucker enters the game for J. Dudley
2:50.0,T. Sefolosha makes 2-pt shot from 17 ft (assist by D. Schroder),2,95-96,,
2:33.0,,,95-98,2,E. Bledsoe makes 2-pt shot from 17 ft
2:14.0,Shooting foul by D. Booker (drawn by K. Bazemore),,95-98,,
2:14.0,K. Bazemore makes free throw 1 of 2,1,96-98,,
2:14.0,K. Bazemore makes free throw 2 of 2,1,97-98,,
1:57.0,,,97-98,,E. Bledsoe misses 2-pt shot from 3 ft
1:56.0,,,97-98,,Offensive rebound by T. Chandler
1:56.0,,,97-98,,T. Chandler misses 2-pt shot from 2 ft
1:55.0,,,97-98,,Offensive rebound by T. Chandler
1:55.0,,,97-100,2,T. Chandler makes 2-pt shot from 2 ft
1:48.0,Turnover by D. Schroder (step out of bounds),,97-100,,
1:25.0,,,97-102,2,D. Booker makes 2-pt shot from 21 ft
1:16.0,D. Schroder makes 2-pt shot from 17 ft,2,99-102,,
0:53.0,,,99-102,,E. Bledsoe misses 2-pt shot from 7 ft
0:51.0,,,99-102,,Offensive rebound by P. Tucker
0:49.0,,,99-102,,P. Tucker misses 2-pt shot from 1 ft
0:48.0,,,99-102,,Offensive rebound by E. Bledsoe
0:28.0,,,99-104,2,E. Bledsoe makes 2-pt shot from 17 ft
0:28.0,Atlanta full timeout,,99-104,,
0:24.0,D. Schroder misses 3-pt shot from 25 ft,,99-104,,
0:23.0,,,99-104,,Defensive rebound by B. Knight
0:21.0,Personal take foul by T. Sefolosha (drawn by B. Knight),,99-104,,
0:13.0,Personal take foul by T. Hardaway (drawn by B. Knight),,99-104,,
0:13.0,,,99-105,1,B. Knight makes free throw 1 of 2
0:13.0,,,99-106,1,B. Knight makes free throw 2 of 2
0:09.0,D. Schroder makes 2-pt shot from 1 ft,2,101-106,,
0:08.0,Personal take foul by T. Hardaway (drawn by D. Booker),,101-106,,
0:08.0,,,101-107,1,D. Booker makes free throw 1 of 2
0:08.0,,,101-107,,D. Booker misses free throw 2 of 2
0:08.0,Defensive rebound by T. Sefolosha,,101-107,,
0:01.0,Shooting foul by T. Chandler (drawn by D. Schroder),,101-107,,
0:01.0,D. Schroder makes free throw 1 of 3,1,102-107,,
0:01.0,D. Schroder makes free throw 2 of 3,1,103-107,,
0:01.0,D. Schroder makes free throw 3 of 3,1,104-107,,
0:01.0,Personal take foul by D. Schroder (drawn by E. Bledsoe),,104-107,,
0:01.0,,,104-108,1,E. Bledsoe makes free throw 1 of 2
0:01.0,,,104-109,1,E. Bledsoe makes free throw 2 of 2
0:00.0,K. Bazemore makes 3-pt shot from 26 ft (assist by T. Hardaway),3,107-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
