time,New Orleans,pts.away,score,pts.home,Brooklyn
7:26.0,,,87-86,,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Evans)
7:24.0,T. Evans makes 2-pt shot from 1 ft,2,89-86,,
7:24.0,,,89-86,,Brooklyn full timeout
7:24.0,,,89-86,,B. Lopez enters the game for J. Hamilton
7:24.0,,,89-86,,T. Booker enters the game for R. Hollis-Jefferson
7:24.0,,,89-86,,C. LeVert enters the game for J. Harris
7:02.0,,,89-88,2,B. Lopez makes 2-pt shot from 9 ft
6:44.0,T. Jones misses 2-pt shot from 4 ft (block by B. Lopez),,89-88,,
6:42.0,,,89-88,,Defensive rebound by S. Dinwiddie
6:34.0,,,89-88,,C. LeVert misses 3-pt shot from 23 ft
6:33.0,Defensive rebound by S. Hill,,89-88,,
6:27.0,S. Hill misses 2-pt shot from 3 ft (block by T. Booker),,89-88,,
6:26.0,Offensive rebound by Team,,89-88,,
6:27.0,,,89-88,,S. Kilpatrick enters the game for B. Bogdanovic
6:22.0,L. Galloway misses 2-pt shot from 19 ft,,89-88,,
6:21.0,,,89-88,,Defensive rebound by S. Dinwiddie
6:09.0,,,89-88,,Shooting foul by T. Jones (drawn by B. Lopez)
6:09.0,,,89-88,,B. Lopez misses free throw 1 of 2
6:09.0,,,89-88,,Offensive rebound by Team
6:09.0,,,89-89,1,B. Lopez makes free throw 2 of 2
5:52.0,S. Hill misses 3-pt shot from 23 ft,,89-89,,
5:51.0,,,89-89,,Defensive rebound by S. Dinwiddie
5:43.0,,,89-92,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
5:28.0,T. Jones misses 2-pt shot from 23 ft,,89-92,,
5:27.0,,,89-92,,Defensive rebound by T. Booker
5:13.0,,,89-92,,Turnover by B. Lopez (bad pass; steal by T. Evans)
5:03.0,T. Evans makes 2-pt shot from 2 ft,2,91-92,,
4:45.0,,,91-92,,S. Dinwiddie misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by S. Hill,,91-92,,
4:33.0,Turnover by J. Holiday (bad pass; steal by S. Kilpatrick),,91-92,,
4:32.0,Personal foul by T. Evans (drawn by C. LeVert),,91-92,,
4:32.0,,,91-92,,J. Harris enters the game for S. Dinwiddie
4:32.0,B. Hield enters the game for L. Galloway,,91-92,,
4:14.0,,,91-92,,B. Lopez misses 2-pt shot from 4 ft
4:13.0,Jump ball: T. Jones vs. B. Lopez,,,,Jump ball: T. Jones vs. B. Lopez
4:13.0,,,91-92,,Offensive rebound by Team
3:58.0,,,91-92,,Turnover by S. Kilpatrick (lost ball; steal by J. Holiday)
3:49.0,T. Evans misses 2-pt shot from 21 ft,,91-92,,
3:48.0,,,91-92,,Defensive rebound by T. Booker
3:36.0,,,91-94,2,B. Lopez makes 2-pt shot from 8 ft (assist by J. Harris)
3:18.0,B. Hield makes 2-pt shot from 2 ft (assist by S. Hill),2,93-94,,
3:06.0,,,93-94,,J. Harris misses 3-pt shot from 24 ft
3:05.0,Defensive rebound by T. Jones,,93-94,,
2:44.0,T. Jones makes 2-pt shot from 10 ft,2,95-94,,
2:32.0,,,95-94,,Turnover by S. Kilpatrick (lost ball; steal by S. Hill)
2:30.0,S. Hill misses 2-pt shot from 2 ft,,95-94,,
2:29.0,Offensive rebound by B. Hield,,95-94,,
2:25.0,New Orleans full timeout,,95-94,,
2:16.0,T. Evans makes 2-pt shot from 1 ft,2,97-94,,
1:58.0,,,97-94,,C. LeVert misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by T. Evans,,97-94,,
1:41.0,T. Jones makes 2-pt shot at rim (assist by T. Evans),2,99-94,,
1:41.0,,,99-94,,Brooklyn full timeout
1:36.0,Personal foul by B. Hield (drawn by B. Lopez),,99-94,,
1:27.0,,,99-94,,Turnover by S. Kilpatrick (lost ball; steal by J. Holiday)
1:10.0,T. Jones makes 2-pt shot from 2 ft (assist by T. Evans),2,101-94,,
0:55.0,,,101-94,,Turnover by B. Lopez (lost ball; steal by T. Evans)
0:46.0,,,101-94,,Personal foul by C. LeVert (drawn by T. Evans)
0:46.0,New Orleans full timeout,,101-94,,
0:46.0,,,101-94,,R. Hollis-Jefferson enters the game for B. Lopez
0:40.0,,,101-94,,Personal foul by T. Booker (drawn by T. Jones)
0:40.0,T. Jones misses free throw 1 of 2,,101-94,,
0:40.0,Offensive rebound by Team,,101-94,,
0:40.0,T. Jones misses free throw 2 of 2,,101-94,,
0:40.0,,,101-94,,B. Lopez enters the game for R. Hollis-Jefferson
0:39.0,,,101-94,,Defensive rebound by S. Kilpatrick
0:28.0,,,101-94,,Shooting foul by S. Hill (drawn by T. Booker)
0:28.0,,,101-94,,T. Booker misses free throw 1 of 2
0:28.0,,,101-94,,Offensive rebound by Team
0:28.0,,,101-94,,T. Booker misses free throw 2 of 2
0:28.0,Defensive rebound by S. Hill,,101-94,,
0:28.0,New Orleans full timeout,,101-94,,
0:28.0,,,101-94,,R. Hollis-Jefferson enters the game for B. Lopez
0:28.0,L. Galloway enters the game for T. Jones,,101-94,,
0:27.0,,,101-94,,Personal foul by S. Kilpatrick (drawn by J. Holiday)
0:27.0,J. Holiday makes free throw 1 of 2,1,102-94,,
0:27.0,J. Holiday misses free throw 2 of 2,,102-94,,
0:27.0,,,102-94,,Defensive rebound by S. Kilpatrick
0:27.0,,,102-94,,Brooklyn full timeout
0:27.0,,,102-94,,B. Lopez enters the game for R. Hollis-Jefferson
0:27.0,,,102-94,,J. Hamilton enters the game for T. Booker
0:27.0,T. Jones enters the game for L. Galloway,,102-94,,
0:23.0,Personal foul by B. Hield (drawn by J. Harris),,102-94,,
0:23.0,,,102-94,,J. Harris misses free throw 1 of 2
0:23.0,,,102-94,,Offensive rebound by Team
0:23.0,,,102-95,1,J. Harris makes free throw 2 of 2
0:23.0,,,102-94,,R. Hollis-Jefferson enters the game for J. Hamilton
0:23.0,,,102-94,,T. Booker enters the game for B. Lopez
0:23.0,L. Galloway enters the game for T. Jones,,102-94,,
0:21.0,,,102-95,,Personal foul by S. Kilpatrick (drawn by J. Holiday)
0:21.0,J. Holiday makes free throw 1 of 2,1,103-95,,
0:21.0,J. Holiday makes free throw 2 of 2,1,104-95,,
0:21.0,,,104-95,,Brooklyn full timeout
0:21.0,,,103-95,,B. Lopez enters the game for S. Kilpatrick
0:21.0,,,104-95,,J. Hamilton enters the game for T. Booker
0:21.0,,,104-95,,S. Kilpatrick enters the game for R. Hollis-Jefferson
0:21.0,T. Jones enters the game for L. Galloway,,104-95,,
0:18.0,,,104-95,,B. Lopez misses 3-pt shot from 24 ft
0:17.0,Defensive rebound by J. Holiday,,104-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
