time,Indiana,pts.away,score,pts.home,Charlotte
2:14.0,,,61-69,,J. O'Bryant enters the game for C. Zeller
2:14.0,,,61-69,,M. Belinelli enters the game for N. Batum
2:06.0,Personal foul by M. Ellis (drawn by M. Williams),,61-69,,
1:57.0,,,61-72,3,B. Roberts makes 3-pt shot from 25 ft (assist by J. O'Bryant)
1:34.0,A. Brooks misses 2-pt shot from 16 ft,,61-72,,
1:32.0,,,61-72,,Defensive rebound by J. Lamb
1:23.0,,,61-72,,J. O'Bryant misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by A. Brooks,,61-72,,
1:06.0,P. George makes 2-pt shot from 19 ft,2,63-72,,
0:51.0,Personal foul by G. Robinson (drawn by M. Williams),,63-72,,
0:51.0,,,63-73,1,M. Williams makes free throw 1 of 2
0:51.0,,,63-74,1,M. Williams makes free throw 2 of 2
0:51.0,C. Miles enters the game for P. George,,63-73,,
0:38.0,A. Brooks misses 2-pt shot from 22 ft,,63-74,,
0:37.0,Offensive rebound by G. Robinson,,63-74,,
0:31.0,,,63-74,,Personal foul by J. Lamb (drawn by M. Ellis)
0:23.0,C. Miles makes 3-pt shot from 25 ft (assist by M. Ellis),3,66-74,,
0:03.0,,,66-74,,B. Roberts misses 3-pt shot from 25 ft
0:03.0,,,66-74,,Offensive rebound by J. O'Bryant
0:03.0,,,66-74,,Turnover by J. O'Bryant (lost ball)
0:00.0,A. Brooks misses 3-pt shot from 46 ft,,66-74,,
0:00.0,Offensive rebound by Team,,66-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,66-74,,M. Belinelli misses 2-pt shot from 18 ft
11:41.0,,,66-74,,Offensive rebound by M. Williams
11:29.0,,,66-76,2,J. Lamb makes 2-pt shot from 3 ft (assist by M. Belinelli)
11:14.0,Turnover by M. Ellis (bad pass),,66-76,,
10:59.0,,,66-76,,M. Belinelli misses 2-pt shot from 21 ft
10:58.0,Defensive rebound by C. Miles,,66-76,,
10:44.0,,,66-76,,Personal foul by J. O'Bryant (drawn by A. Brooks)
10:32.0,M. Ellis misses 3-pt shot from 27 ft,,66-76,,
10:30.0,,,66-76,,Defensive rebound by B. Roberts
10:18.0,,,66-76,,Turnover by B. Roberts (bad pass; steal by A. Brooks)
10:13.0,M. Ellis makes 2-pt shot from 1 ft (assist by A. Brooks),2,68-76,,
9:50.0,Shooting block foul by C. Miles (drawn by M. Williams),,68-76,,
9:50.0,,,68-77,1,M. Williams makes free throw 1 of 2
9:50.0,,,68-78,1,M. Williams makes free throw 2 of 2
9:30.0,A. Brooks makes 2-pt shot from 4 ft (assist by C. Miles),2,70-78,,
9:17.0,,,70-78,,Offensive foul by J. O'Bryant
9:17.0,,,70-78,,Turnover by J. O'Bryant (offensive foul)
9:17.0,P. George enters the game for C. Miles,,70-78,,
9:17.0,,,70-78,,K. Walker enters the game for B. Roberts
9:17.0,,,70-78,,M. Kidd-Gilchrist enters the game for J. O'Bryant
9:17.0,,,70-78,,C. Zeller enters the game for M. Belinelli
9:07.0,Turnover by M. Ellis (bad pass; steal by M. Williams),,70-78,,
9:01.0,,,70-80,2,K. Walker makes 2-pt shot from 1 ft
8:45.0,R. Christmas makes 2-pt shot from 7 ft (assist by P. George),2,72-80,,
8:31.0,,,72-82,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
8:13.0,P. George makes 3-pt shot from 26 ft,3,75-82,,
7:59.0,Official timeout,,75-82,,
7:59.0,Jump ball: P. George vs. J. Lamb (M. Kidd-Gilchrist gains possession),,,,Jump ball: P. George vs. J. Lamb (M. Kidd-Gilchrist gains possession)
7:50.0,,,75-85,3,J. Lamb makes 3-pt shot from 26 ft
7:28.0,G. Robinson misses 3-pt shot from 23 ft,,75-85,,
7:27.0,,,75-85,,Defensive rebound by M. Kidd-Gilchrist
7:18.0,,,75-85,,K. Walker misses 2-pt shot from 19 ft
7:17.0,Defensive rebound by P. George,,75-85,,
7:06.0,M. Ellis misses 2-pt shot from 19 ft,,75-85,,
7:04.0,Offensive rebound by R. Christmas,,75-85,,
6:51.0,P. George makes 2-pt shot from 16 ft (assist by G. Robinson),2,77-85,,
6:26.0,,,77-87,2,J. Lamb makes 2-pt shot from 1 ft
6:07.0,Turnover by P. George (bad pass),,77-87,,
6:07.0,J. Teague enters the game for A. Brooks,,77-87,,
6:07.0,M. Turner enters the game for R. Christmas,,77-87,,
6:07.0,,,77-87,,N. Batum enters the game for M. Kidd-Gilchrist
5:54.0,,,77-87,,N. Batum misses 3-pt shot from 24 ft
5:53.0,Defensive rebound by M. Ellis,,77-87,,
5:39.0,P. George misses 3-pt shot from 25 ft,,77-87,,
5:37.0,,,77-87,,Defensive rebound by K. Walker
5:32.0,,,77-87,,Shooting foul by M. Turner (drawn by K. Walker)
5:32.0,,,77-87,,Charlotte full timeout
5:32.0,,,77-88,1,K. Walker makes free throw 1 of 2
5:32.0,,,77-89,1,K. Walker makes free throw 2 of 2
5:32.0,C. Miles enters the game for G. Robinson,,77-87,,
5:32.0,,,77-87,,M. Kidd-Gilchrist enters the game for J. Lamb
5:14.0,P. George makes 2-pt shot from 17 ft (assist by M. Ellis),2,79-89,,
4:55.0,,,79-92,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
4:42.0,J. Teague misses 2-pt shot from 2 ft,,79-92,,
4:41.0,,,79-92,,Defensive rebound by C. Zeller
4:32.0,,,79-94,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
4:10.0,M. Turner misses 2-pt shot from 20 ft,,79-94,,
4:09.0,,,79-94,,Defensive rebound by M. Williams
3:57.0,,,79-94,,K. Walker misses 3-pt shot from 25 ft (block by J. Teague)
3:55.0,,,79-94,,Offensive rebound by K. Walker
3:49.0,,,79-96,2,K. Walker makes 2-pt shot from 17 ft
3:30.0,J. Teague makes 3-pt shot from 24 ft,3,82-96,,
3:20.0,,,82-96,,Turnover by K. Walker (lost ball)
3:20.0,Indiana full timeout,,82-96,,
3:20.0,G. Robinson enters the game for M. Ellis,,82-96,,
3:05.0,P. George misses 3-pt shot from 25 ft,,82-96,,
3:04.0,Offensive rebound by G. Robinson,,82-96,,
2:59.0,P. George misses 3-pt shot from 25 ft,,82-96,,
2:58.0,,,82-96,,Defensive rebound by K. Walker
2:45.0,,,82-96,,N. Batum misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by M. Turner,,82-96,,
2:37.0,,,82-96,,Personal foul by M. Kidd-Gilchrist (drawn by J. Teague)
2:31.0,P. George misses 3-pt shot from 25 ft,,82-96,,
2:30.0,,,82-96,,Defensive rebound by N. Batum
2:13.0,,,82-96,,N. Batum misses 2-pt shot from 12 ft
2:12.0,Defensive rebound by G. Robinson,,82-96,,
2:04.0,P. George misses 2-pt shot from 14 ft,,82-96,,
2:02.0,,,82-96,,Defensive rebound by N. Batum
1:49.0,,,82-98,2,M. Kidd-Gilchrist makes 2-pt shot from 6 ft (assist by K. Walker)
1:49.0,,,82-98,,Shooting foul by P. George (drawn by M. Kidd-Gilchrist)
1:49.0,,,82-99,1,M. Kidd-Gilchrist makes free throw 1 of 1
1:49.0,Indiana full timeout,,82-99,,
1:44.0,P. George makes 2-pt shot from 1 ft (assist by M. Turner),2,84-99,,
1:18.0,,,84-99,,N. Batum misses 2-pt shot from 10 ft
1:18.0,Defensive rebound by Team,,84-99,,
1:05.0,P. George misses 3-pt shot from 24 ft,,84-99,,
1:04.0,Offensive rebound by J. Teague,,84-99,,
1:02.0,G. Robinson makes 2-pt shot from 1 ft (assist by J. Teague),2,86-99,,
0:41.0,,,86-99,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft
0:40.0,,,86-99,,Offensive rebound by C. Zeller
0:40.0,Personal foul by M. Turner (drawn by C. Zeller),,86-99,,
0:40.0,,,86-100,1,C. Zeller makes free throw 1 of 2
0:40.0,,,86-100,,C. Zeller misses free throw 2 of 2
0:38.0,Defensive rebound by C. Miles,,86-100,,
0:30.0,J. Teague makes 2-pt shot at rim (assist by C. Miles),2,88-100,,
0:06.0,,,88-100,,C. Zeller misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by M. Turner,,88-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
