time,Phoenix,pts.away,score,pts.home,Detroit
7:59.0,A. Len misses 3-pt shot from 25 ft,,77-88,,
7:57.0,,,77-88,,Defensive rebound by J. Leuer
7:48.0,,,77-88,,R. Jackson misses 2-pt shot from 3 ft
7:47.0,Defensive rebound by A. Len,,77-88,,
7:41.0,T. Ulis misses 3-pt shot from 25 ft,,77-88,,
7:40.0,,,77-88,,Defensive rebound by R. Bullock
7:25.0,,,77-88,,R. Bullock misses 2-pt shot from 2 ft
7:25.0,,,77-88,,Offensive rebound by A. Baynes
7:24.0,,,77-88,,A. Baynes misses 2-pt shot from 2 ft
7:22.0,,,77-88,,Offensive rebound by R. Bullock
7:16.0,,,77-88,,A. Baynes misses 2-pt shot from 6 ft
7:12.0,Defensive rebound by A. Len,,77-88,,
7:04.0,J. Eddie makes 3-pt shot from 26 ft (assist by T. Ulis),3,80-88,,
6:51.0,,,80-88,,Shooting foul by J. Eddie (drawn by T. Harris)
6:51.0,,,80-89,1,T. Harris makes free throw 1 of 2
6:51.0,,,80-90,1,T. Harris makes free throw 2 of 2
6:51.0,,,80-89,,A. Drummond enters the game for A. Baynes
6:45.0,J. Eddie misses 3-pt shot from 27 ft,,80-90,,
6:43.0,,,80-90,,Defensive rebound by T. Harris
6:32.0,,,80-92,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
6:32.0,,,80-92,,Shooting foul by T. Warren (drawn by A. Drummond)
6:32.0,,,80-92,,A. Drummond misses free throw 1 of 1
6:29.0,Defensive rebound by J. Dudley,,80-92,,
6:14.0,A. Len makes 2-pt shot at rim (assist by T. Ulis),2,82-92,,
5:57.0,,,82-92,,R. Bullock misses 3-pt shot from 26 ft
5:57.0,Defensive rebound by Team,,82-92,,
5:57.0,Official timeout,,82-92,,
5:57.0,,,82-92,,K. Caldwell-Pope enters the game for J. Leuer
5:57.0,,,82-92,,M. Morris enters the game for R. Bullock
5:48.0,T. Ulis misses 2-pt shot from 3 ft (block by A. Drummond),,82-92,,
5:47.0,Offensive rebound by Team,,82-92,,
5:40.0,A. Len misses 2-pt shot from 3 ft,,82-92,,
5:39.0,,,82-92,,Defensive rebound by R. Jackson
5:33.0,Personal foul by T. Ulis (drawn by R. Jackson),,82-92,,
5:33.0,,,82-93,1,R. Jackson makes free throw 1 of 2
5:33.0,,,82-94,1,R. Jackson makes free throw 2 of 2
5:33.0,M. Chriss enters the game for J. Dudley,,82-93,,
5:14.0,T. Ulis misses 3-pt shot from 24 ft,,82-94,,
5:13.0,,,82-94,,Defensive rebound by A. Drummond
4:57.0,Personal foul by T. Ulis (drawn by T. Harris),,82-94,,
4:57.0,,,82-94,,T. Harris misses free throw 1 of 2
4:57.0,,,82-94,,Offensive rebound by Team
4:57.0,,,82-95,1,T. Harris makes free throw 2 of 2
4:36.0,Turnover by M. Chriss (bad pass),,82-95,,
4:28.0,,,82-95,,T. Harris misses 3-pt shot from 25 ft
4:27.0,,,82-95,,Offensive rebound by Team
4:27.0,Personal foul by A. Len (drawn by A. Drummond),,82-95,,
4:27.0,,,82-96,1,A. Drummond makes free throw 1 of 2
4:27.0,,,82-97,1,A. Drummond makes free throw 2 of 2
4:13.0,M. Chriss misses 2-pt shot from 1 ft,,82-97,,
4:11.0,,,82-97,,Defensive rebound by A. Drummond
3:55.0,,,82-99,2,A. Drummond makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
3:54.0,Phoenix full timeout,,82-99,,
3:54.0,A. Williams enters the game for A. Len,,82-99,,
3:45.0,J. Eddie misses 3-pt shot from 25 ft,,82-99,,
3:44.0,,,82-99,,Defensive rebound by A. Drummond
3:31.0,,,82-101,2,R. Jackson makes 2-pt shot from 8 ft
3:19.0,A. Williams makes 2-pt shot from 7 ft (assist by T. Ulis),2,84-101,,
3:06.0,,,84-103,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
2:50.0,A. Williams makes 2-pt shot from 1 ft (assist by T. Ulis),2,86-103,,
2:30.0,,,86-103,,R. Jackson misses 2-pt shot from 9 ft
2:29.0,Defensive rebound by A. Williams,,86-103,,
2:17.0,T. Ulis misses 2-pt shot from 15 ft,,86-103,,
2:16.0,,,86-103,,Defensive rebound by M. Morris
2:01.0,D. Jones enters the game for J. Eddie,,86-103,,
1:56.0,,,86-106,3,R. Jackson makes 3-pt shot from 25 ft
1:46.0,Shooting foul by T. Harris (drawn by M. Chriss),,86-106,,
1:46.0,M. Chriss makes 2-pt shot from 2 ft,2,88-106,,
1:46.0,M. Chriss makes free throw 1 of 1,1,89-106,,
1:46.0,,,88-106,,I. Smith enters the game for R. Jackson
1:46.0,,,88-106,,J. Leuer enters the game for T. Harris
1:46.0,,,88-106,,R. Bullock enters the game for K. Caldwell-Pope
1:46.0,,,88-106,,D. Hilliard enters the game for M. Morris
1:46.0,,,88-106,,B. Marjanovic enters the game for A. Drummond
1:30.0,,,89-106,,R. Bullock misses 3-pt shot from 25 ft
1:29.0,Defensive rebound by A. Williams,,89-106,,
1:23.0,,,89-106,,Personal foul by J. Leuer (drawn by M. Chriss)
1:23.0,M. Chriss misses free throw 1 of 2,,89-106,,
1:23.0,Offensive rebound by Team,,89-106,,
1:23.0,M. Chriss makes free throw 2 of 2,1,90-106,,
0:59.0,,,90-108,2,B. Marjanovic makes 2-pt shot at rim (assist by I. Smith)
0:55.0,Shooting foul by J. Leuer (drawn by M. Chriss),,90-108,,
0:55.0,M. Chriss makes 2-pt shot from 3 ft,2,92-108,,
0:55.0,M. Chriss makes free throw 1 of 1,1,93-108,,
0:32.0,,,93-110,2,J. Leuer makes 2-pt shot from 1 ft (assist by B. Marjanovic)
0:13.0,T. Ulis misses 2-pt shot from 15 ft,,93-110,,
0:11.0,,,93-110,,Defensive rebound by J. Leuer
0:09.0,Personal foul by M. Chriss (drawn by B. Marjanovic),,93-110,,
0:09.0,,,93-111,1,B. Marjanovic makes free throw 1 of 2
0:09.0,,,93-112,1,B. Marjanovic makes free throw 2 of 2
0:02.0,T. Ulis makes 2-pt shot from 13 ft,2,95-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
