time,Brooklyn,pts.away,score,pts.home,Orlando
4:01.0,,,48-43,,Offensive rebound by Team
4:01.0,,,48-44,1,B. Biyombo makes free throw 2 of 2
4:01.0,J. Lin enters the game for S. Dinwiddie,,48-43,,
3:46.0,J. Lin makes 2-pt shot from 9 ft,2,50-44,,
3:35.0,,,50-46,2,S. Ibaka makes 2-pt shot from 7 ft (assist by B. Biyombo)
3:23.0,J. Lin misses 2-pt shot from 2 ft (block by B. Biyombo),,50-46,,
3:21.0,,,50-46,,Defensive rebound by D. Augustin
3:10.0,,,50-48,2,D. Augustin makes 2-pt shot from 1 ft
2:59.0,J. Harris misses 2-pt shot from 2 ft (block by S. Ibaka),,50-48,,
2:57.0,Offensive rebound by S. Kilpatrick,,50-48,,
2:52.0,S. Kilpatrick misses 2-pt shot from 12 ft,,50-48,,
2:51.0,,,50-48,,Defensive rebound by S. Ibaka
2:51.0,,,50-48,,Shooting foul by B. Lopez (drawn by B. Biyombo)
2:51.0,Brooklyn full timeout,,50-48,,
2:51.0,,,50-49,1,B. Biyombo makes free throw 1 of 2
2:51.0,,,50-50,1,B. Biyombo makes free throw 2 of 2
2:51.0,,,50-48,,N. Vucevic enters the game for S. Ibaka
2:27.0,T. Booker misses 2-pt shot from 15 ft,,50-50,,
2:26.0,,,50-50,,Defensive rebound by N. Vucevic
2:18.0,,,50-50,,D. Augustin misses 2-pt shot from 14 ft
2:18.0,Defensive rebound by J. Lin,,50-50,,
2:08.0,B. Lopez misses 2-pt shot from 3 ft (block by B. Biyombo),,50-50,,
2:07.0,Offensive rebound by B. Lopez,,50-50,,
1:58.0,S. Kilpatrick misses 3-pt shot from 25 ft,,50-50,,
1:58.0,,,50-50,,Defensive rebound by D. Augustin
1:35.0,,,50-50,,B. Biyombo misses 2-pt shot from 13 ft
1:35.0,Defensive rebound by S. Kilpatrick,,50-50,,
1:23.0,,,50-50,,S. Ibaka enters the game for B. Biyombo
1:23.0,B. Bogdanovic enters the game for J. Harris,,50-50,,
1:15.0,S. Kilpatrick misses 3-pt shot from 25 ft,,50-50,,
1:15.0,,,50-50,,Defensive rebound by Team
1:04.0,,,50-50,,E. Fournier misses 2-pt shot from 9 ft
