time,Detroit,pts.away,score,pts.home,LA Clippers
1:42.0,,,77-114,,A. Rivers misses 3-pt shot from 25 ft
1:41.0,,,77-114,,Offensive rebound by W. Johnson
1:22.0,,,77-114,,W. Johnson misses 2-pt shot from 13 ft
1:22.0,Defensive rebound by Team,,77-114,,
1:12.0,,,77-114,,Personal foul by W. Johnson (drawn by D. Hilliard)
1:12.0,D. Hilliard makes free throw 1 of 2,1,78-114,,
1:12.0,D. Hilliard misses free throw 2 of 2,,78-114,,
1:10.0,Offensive rebound by B. Marjanovic,,78-114,,
1:08.0,B. Marjanovic misses 2-pt shot at rim (block by W. Johnson),,78-114,,
1:08.0,Offensive rebound by J. Leuer,,78-114,,
1:07.0,J. Leuer makes 2-pt shot from 3 ft,2,80-114,,
0:53.0,,,80-114,,R. Felton misses 2-pt shot from 19 ft
0:51.0,Defensive rebound by D. Hilliard,,80-114,,
0:40.0,J. Leuer makes 2-pt shot at rim (assist by S. Johnson),2,82-114,,
0:16.0,,,82-114,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
