time,Houston,pts.away,score,pts.home,New Orleans
3:00.0,,,48-44,,D. Cousins misses 2-pt shot from 18 ft
2:59.0,Defensive rebound by T. Ariza,,48-44,,
2:46.0,R. Anderson makes 3-pt shot from 28 ft (assist by J. Harden),3,51-44,,
2:41.0,Personal foul by R. Anderson (drawn by D. Cousins),,51-44,,
2:41.0,Houston full timeout,,51-44,,
2:30.0,,,51-44,,Turnover by D. Cousins (lost ball; steal by J. Harden)
2:23.0,R. Anderson misses 3-pt shot from 27 ft,,51-44,,
2:23.0,Offensive rebound by M. Harrell,,51-44,,
2:23.0,M. Harrell makes 2-pt shot from 2 ft,2,53-44,,
2:23.0,Shooting foul by O. Casspi (drawn by M. Harrell),,53-44,,
2:23.0,M. Harrell misses free throw 1 of 1,,53-44,,
2:20.0,,,53-44,,Defensive rebound by D. Cousins
2:10.0,,,53-44,,Shooting foul by M. Harrell (drawn by A. Davis)
2:10.0,,,53-44,,A. Davis misses free throw 1 of 2
2:10.0,,,53-44,,Offensive rebound by Team
2:10.0,,,53-45,1,A. Davis makes free throw 2 of 2
1:55.0,M. Harrell misses 2-pt shot at rim (block by D. Cousins),,53-45,,
1:52.0,Offensive rebound by M. Harrell,,53-45,,
1:49.0,M. Harrell makes 2-pt shot from 2 ft,2,55-45,,
1:38.0,,,55-45,,J. Holiday misses 2-pt shot from 7 ft
1:38.0,Defensive rebound by Team,,55-45,,
1:38.0,,,55-45,,Loose ball foul by D. Cousins (drawn by R. Anderson)
1:38.0,R. Anderson makes free throw 1 of 2,1,56-45,,
1:38.0,R. Anderson makes free throw 2 of 2,1,57-45,,
1:38.0,,,56-45,,D. Motiejunas enters the game for D. Cousins
1:20.0,,,57-45,,E. Moore misses 2-pt shot from 2 ft
1:19.0,,,57-45,,Offensive rebound by A. Davis
1:19.0,,,57-47,2,A. Davis makes 2-pt shot from 2 ft
1:03.0,R. Anderson makes 3-pt shot from 24 ft (assist by M. Harrell),3,60-47,,
0:55.0,,,60-47,,J. Holiday misses 3-pt shot from 24 ft
0:53.0,Defensive rebound by T. Ariza,,60-47,,
0:44.0,,,60-47,,Personal foul by D. Motiejunas (drawn by J. Harden)
0:44.0,J. Harden makes free throw 1 of 2,1,61-47,,
0:44.0,J. Harden makes free throw 2 of 2,1,62-47,,
0:44.0,,,61-47,,D. Cunningham enters the game for O. Casspi
0:32.0,,,62-49,2,A. Davis makes 2-pt shot from 10 ft
0:30.0,,,62-49,,Technical foul by Team
0:30.0,J. Harden makes technical free throw,1,63-49,,
0:30.0,Houston full timeout,,63-49,,
0:25.0,,,63-49,,Violation by E. Moore (kicked ball)
0:12.0,Shooting foul by D. Motiejunas (drawn by E. Gordon),,63-49,,
0:12.0,E. Gordon makes free throw 1 of 3,1,64-49,,
0:12.0,E. Gordon makes free throw 2 of 3,1,65-49,,
0:12.0,E. Gordon makes free throw 3 of 3,1,66-49,,
0:12.0,,,65-49,,O. Casspi enters the game for D. Motiejunas
0:04.0,Personal foul by E. Gordon (drawn by A. Davis),,66-49,,
0:04.0,,,66-49,,A. Davis misses free throw 1 of 2
0:04.0,,,66-49,,Offensive rebound by Team
0:04.0,,,66-50,1,A. Davis makes free throw 2 of 2
0:00.0,E. Gordon misses 3-pt shot from 32 ft,,66-50,,
0:00.0,Offensive rebound by Team,,66-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,N. Hilario misses 2-pt shot from 5 ft (block by D. Cousins),,66-50,,
11:36.0,Offensive rebound by Team,,66-50,,
11:36.0,Turnover by Team (shot clock),,66-50,,
11:22.0,,,66-50,,Offensive charge foul by A. Davis
11:22.0,,,66-50,,Turnover by A. Davis (offensive foul)
11:09.0,N. Hilario misses 2-pt shot from 2 ft (block by J. Holiday),,66-50,,
11:08.0,,,66-50,,Defensive rebound by A. Davis
11:02.0,,,66-50,,J. Holiday misses 3-pt shot from 26 ft
11:01.0,Defensive rebound by P. Beverley,,66-50,,
10:50.0,Turnover by N. Hilario (bad pass; steal by D. Cousins),,66-50,,
10:26.0,,,66-50,,D. Cousins misses 3-pt shot from 28 ft
10:25.0,Defensive rebound by J. Harden,,66-50,,
10:18.0,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden),3,69-50,,
10:18.0,,,69-50,,New Orleans full timeout
10:09.0,,,69-50,,J. Holiday misses 2-pt shot from 7 ft
10:09.0,Defensive rebound by J. Harden,,69-50,,
10:01.0,N. Hilario makes 2-pt shot from 6 ft (assist by J. Harden),2,71-50,,
10:01.0,Shooting foul by A. Davis (drawn by N. Hilario),,71-50,,
10:01.0,N. Hilario makes free throw 1 of 1,1,72-50,,
9:47.0,,,72-50,,Turnover by J. Holiday (lost ball; steal by P. Beverley)
9:40.0,Turnover by T. Ariza (lost ball; steal by A. Davis),,72-50,,
9:31.0,,,72-50,,S. Hill misses 3-pt shot from 24 ft
9:30.0,,,72-50,,Offensive rebound by J. Holiday
9:22.0,,,72-50,,A. Davis misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by P. Beverley,,72-50,,
9:11.0,R. Anderson misses 3-pt shot from 27 ft,,72-50,,
