time,Toronto,pts.away,score,pts.home,New Orleans
2:06.0,,,90-84,,D. Cunningham misses 2-pt shot from 2 ft
2:05.0,Defensive rebound by J. Valanciunas,,90-84,,
1:49.0,D. DeRozan makes 2-pt shot from 16 ft,2,92-84,,
1:49.0,,,92-84,,New Orleans full timeout
1:38.0,,,92-84,,D. Cousins misses 3-pt shot from 26 ft
1:37.0,Defensive rebound by C. Joseph,,92-84,,
1:20.0,P. Tucker misses 3-pt shot from 23 ft,,92-84,,
1:19.0,,,92-84,,Defensive rebound by D. Cunningham
1:09.0,,,92-84,,Turnover by J. Crawford (bad pass)
0:45.0,S. Ibaka misses 2-pt shot from 8 ft,,92-84,,
0:44.0,Offensive rebound by J. Valanciunas,,92-84,,
0:43.0,J. Valanciunas makes 2-pt shot at rim,2,94-84,,
0:38.0,,,94-87,3,E. Moore makes 3-pt shot from 26 ft (assist by J. Holiday)
0:19.0,S. Ibaka misses 2-pt shot from 6 ft,,94-87,,
0:18.0,,,94-87,,Defensive rebound by D. Cousins
0:12.0,,,94-87,,Turnover by J. Holiday (bad pass)
0:00.0,End of 4th quarter,,,,End of 4th quarter
