time,Toronto,pts.away,score,pts.home,Orlando
1:45.0,,,105-76,3,C. Watson makes 3-pt shot from 25 ft
1:23.0,N. Powell misses 3-pt shot from 26 ft,,105-76,,
1:21.0,,,105-76,,Defensive rebound by D. Rudez
1:06.0,,,105-76,,M. Hezonja misses 2-pt shot from 20 ft
1:05.0,Defensive rebound by J. Poeltl,,105-76,,
0:59.0,N. Powell makes 2-pt shot from 2 ft,2,107-76,,
0:49.0,,,107-76,,Turnover by D. Rudez (bad pass; steal by J. Poeltl)
0:48.0,,,107-76,,Personal foul by D. Rudez (drawn by P. Siakam)
0:37.0,Turnover by N. Powell (lost ball; steal by M. Hezonja),,107-76,,
0:35.0,,,107-76,,Shooting foul by F. VanVleet (drawn by M. Hezonja)
0:35.0,,,107-78,2,M. Hezonja makes 2-pt shot from 3 ft (assist by J. Meeks)
0:35.0,,,107-79,1,M. Hezonja makes free throw 1 of 1
0:18.0,N. Powell makes 2-pt shot from 2 ft (assist by F. VanVleet),2,109-79,,
0:15.0,,,109-79,,Turnover by C. Watson (lost ball)
0:00.0,End of 4th quarter,,,,End of 4th quarter
