time,Indiana,pts.away,score,pts.home,Orlando
1:24.0,,,125-110,,M. Georges-Hunt enters the game for A. Gordon
1:24.0,,,125-110,,D. Rudez enters the game for N. Vucevic
1:24.0,,,125-110,,P. Garino enters the game for E. Fournier
1:24.0,,,125-110,,B. Biyombo enters the game for E. Payton
1:24.0,J. Young enters the game for P. George,,125-110,,
1:24.0,A. Brooks enters the game for T. Young,,125-110,,
1:24.0,K. Seraphin enters the game for M. Turner,,125-110,,
1:24.0,R. Christmas enters the game for M. Ellis,,125-110,,
1:24.0,C. Miles enters the game for J. Teague,,125-110,,
1:04.0,,,125-110,,M. Hezonja misses 3-pt shot from 27 ft
1:02.0,Defensive rebound by J. Young,,125-110,,
0:55.0,J. Young makes 2-pt shot from 20 ft,2,127-110,,
0:33.0,,,127-112,2,M. Hezonja makes 2-pt shot from 4 ft (assist by D. Rudez)
0:07.0,C. Miles misses 3-pt shot from 25 ft,,127-112,,
0:06.0,,,127-112,,Defensive rebound by B. Biyombo
0:00.0,End of 4th quarter,,,,End of 4th quarter
