time,LA Clippers,pts.away,score,pts.home,Washington
3:03.0,,,106-108,2,M. Gortat makes 2-pt shot from 1 ft (assist by M. Morris)
3:03.0,,,106-108,,Shooting foul by A. Rivers (drawn by M. Gortat)
3:03.0,,,106-109,1,M. Gortat makes free throw 1 of 1
2:49.0,Turnover by B. Griffin (lost ball; steal by O. Porter),,106-109,,
2:45.0,Personal foul by C. Paul (drawn by J. Wall),,106-109,,
2:45.0,,,106-109,,J. Wall misses free throw 1 of 2
2:45.0,,,106-109,,Offensive rebound by Team
2:45.0,,,106-110,1,J. Wall makes free throw 2 of 2
2:31.0,C. Paul misses 2-pt shot from 21 ft,,106-110,,
2:31.0,,,106-110,,Defensive rebound by Team
2:15.0,,,106-110,,M. Morris misses 2-pt shot from 21 ft
2:13.0,Defensive rebound by D. Jordan,,106-110,,
1:56.0,C. Paul misses 2-pt shot from 3 ft,,106-110,,
1:55.0,Offensive rebound by D. Jordan,,106-110,,
1:55.0,Shooting foul by M. Morris (drawn by D. Jordan),,106-110,,
1:55.0,D. Jordan makes free throw 1 of 2,1,107-110,,
1:55.0,D. Jordan makes free throw 2 of 2,1,108-110,,
1:55.0,L. Mbah a Moute enters the game for J. Redick,,107-110,,
1:41.0,,,108-112,2,M. Morris makes 2-pt shot from 18 ft (assist by J. Wall)
1:41.0,LA Clippers full timeout,,108-112,,
1:41.0,J. Redick enters the game for L. Mbah a Moute,,108-112,,
1:41.0,J. Crawford enters the game for A. Rivers,,108-112,,
1:29.0,J. Redick misses 2-pt shot from 1 ft,,108-112,,
1:29.0,Offensive rebound by D. Jordan,,108-112,,
1:29.0,Shooting foul by M. Gortat (drawn by D. Jordan),,108-112,,
1:29.0,D. Jordan misses free throw 1 of 2,,108-112,,
1:29.0,Offensive rebound by Team,,108-112,,
1:29.0,D. Jordan misses free throw 2 of 2,,108-112,,
1:29.0,A. Rivers enters the game for J. Redick,,108-112,,
1:29.0,L. Mbah a Moute enters the game for J. Crawford,,108-112,,
1:26.0,,,108-112,,Defensive rebound by B. Beal
1:06.0,,,108-114,2,M. Morris makes 2-pt shot from 10 ft (assist by J. Wall)
1:06.0,LA Clippers full timeout,,108-114,,
1:06.0,Technical foul by Team,,108-114,,
1:06.0,Technical foul by Team,,108-114,,
1:06.0,,,108-115,1,B. Beal makes technical free throw
1:06.0,,,108-116,1,B. Beal makes technical free throw
1:06.0,J. Crawford enters the game for L. Mbah a Moute,,108-114,,
1:06.0,J. Redick enters the game for A. Rivers,,108-114,,
1:00.0,C. Paul makes 2-pt shot from 1 ft,2,110-116,,
0:43.0,Personal foul by C. Paul (drawn by J. Wall),,110-116,,
0:43.0,,,110-116,,J. Wall misses free throw 1 of 2
0:43.0,,,110-116,,Offensive rebound by Team
0:43.0,,,110-116,,J. Wall misses free throw 2 of 2
0:41.0,Defensive rebound by D. Jordan,,110-116,,
0:29.0,J. Redick misses 3-pt shot from 26 ft,,110-116,,
0:29.0,Offensive rebound by B. Griffin,,110-116,,
0:29.0,Turnover by B. Griffin (step out of bounds),,110-116,,
0:29.0,,,110-116,,Washington full timeout
0:29.0,A. Rivers enters the game for J. Crawford,,110-116,,
0:29.0,L. Mbah a Moute enters the game for J. Redick,,110-116,,
0:29.0,,,110-116,,M. Thornton enters the game for M. Gortat
0:24.0,,,110-116,,Washington full timeout
0:18.0,Personal foul by A. Rivers (drawn by B. Beal),,110-116,,
0:18.0,,,110-116,,B. Beal misses free throw 1 of 2
0:18.0,,,110-116,,Offensive rebound by Team
0:18.0,,,110-117,1,B. Beal makes free throw 2 of 2
0:18.0,J. Crawford enters the game for A. Rivers,,110-116,,
0:18.0,J. Redick enters the game for L. Mbah a Moute,,110-116,,
0:11.0,C. Paul misses 3-pt shot from 25 ft,,110-117,,
0:10.0,,,110-117,,Defensive rebound by M. Morris
0:00.0,End of 4th quarter,,,,End of 4th quarter
