time,LA Lakers,pts.away,score,pts.home,Orlando
4:22.0,,,84-101,,Shooting block foul by N. Vucevic (drawn by L. Deng)
4:22.0,L. Deng makes free throw 1 of 2,1,85-101,,
4:22.0,L. Deng makes free throw 2 of 2,1,86-101,,
4:22.0,,,85-101,,D. Augustin enters the game for J. Meeks
4:01.0,,,86-101,,E. Payton misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by L. Williams,,86-101,,
3:53.0,L. Williams misses 2-pt shot from 7 ft,,86-101,,
3:49.0,,,86-101,,Defensive rebound by N. Vucevic
3:45.0,,,86-103,2,S. Ibaka makes 2-pt shot at rim (assist by N. Vucevic)
3:34.0,N. Young misses 3-pt shot from 25 ft,,86-103,,
3:32.0,,,86-103,,Defensive rebound by N. Vucevic
3:29.0,,,86-105,2,S. Ibaka makes 2-pt shot from 1 ft (assist by E. Payton)
3:19.0,Shooting foul by C. Watson,,86-105,,
3:19.0,L. Williams makes free throw 1 of 2,1,87-105,,
3:19.0,L. Williams makes free throw 2 of 2,1,88-105,,
3:05.0,,,88-105,,E. Payton misses 2-pt shot from 3 ft (block by D. Russell)
3:05.0,,,88-105,,Offensive rebound by Team
3:05.0,Jump ball: E. Payton vs. D. Russell,,,,Jump ball: E. Payton vs. D. Russell
2:58.0,,,88-107,2,C. Watson makes 2-pt shot from 1 ft (assist by S. Ibaka)
2:43.0,Turnover by J. Clarkson (bad pass),,88-107,,
2:43.0,,,88-107,,Orlando full timeout
2:43.0,B. Ingram enters the game for L. Deng,,88-107,,
2:43.0,I. Zubac enters the game for N. Young,,88-107,,
2:43.0,M. Huertas enters the game for J. Clarkson,,88-107,,
2:43.0,T. Robinson enters the game for L. Williams,,88-107,,
2:43.0,,,88-107,,C. Wilcox enters the game for S. Ibaka
2:43.0,,,88-107,,D. Rudez enters the game for D. Augustin
2:43.0,,,88-107,,S. Zimmerman enters the game for E. Payton
2:28.0,,,88-109,2,N. Vucevic makes 2-pt shot from 2 ft
2:06.0,D. Russell misses 2-pt shot from 9 ft,,88-109,,
2:04.0,,,88-109,,Defensive rebound by N. Vucevic
1:49.0,,,88-109,,N. Vucevic misses 2-pt shot from 8 ft
1:48.0,Defensive rebound by T. Robinson,,88-109,,
1:41.0,,,88-109,,Personal foul by C. Wilcox
1:41.0,,,88-109,,M. Hezonja enters the game for N. Vucevic
1:29.0,Turnover by M. Huertas (bad pass; steal by S. Zimmerman),,88-109,,
1:23.0,,,88-109,,C. Wilcox misses 3-pt shot from 26 ft
1:21.0,Defensive rebound by M. Huertas,,88-109,,
1:16.0,M. Huertas misses 3-pt shot from 25 ft,,88-109,,
1:14.0,,,88-109,,Defensive rebound by C. Wilcox
0:56.0,,,88-109,,Turnover by D. Rudez (bad pass)
0:45.0,Shooting foul by S. Zimmerman (drawn by I. Zubac),,88-109,,
0:45.0,I. Zubac makes free throw 1 of 2,1,89-109,,
0:45.0,I. Zubac makes free throw 2 of 2,1,90-109,,
0:45.0,M. World Peace enters the game for T. Robinson,,88-109,,
0:31.0,,,90-109,,S. Zimmerman misses 2-pt shot from 18 ft
0:29.0,Defensive rebound by I. Zubac,,90-109,,
0:24.0,D. Russell misses 3-pt shot from 25 ft,,90-109,,
0:21.0,,,90-109,,Defensive rebound by S. Zimmerman
0:00.0,End of 4th quarter,,,,End of 4th quarter
