time,Denver,pts.away,score,pts.home,Philadelphia
8:07.0,Turnover by W. Barton (offensive foul),,84-74,,
8:07.0,,,84-74,,R. Holmes enters the game for J. Embiid
8:07.0,D. Gallinari enters the game for D. Arthur,,84-74,,
8:07.0,J. Nurkic enters the game for J. Murray,,84-74,,
7:57.0,,,84-74,,S. Rodriguez misses 3-pt shot from 25 ft
7:55.0,,,84-74,,Offensive rebound by E. Ilyasova
7:55.0,,,84-74,,E. Ilyasova misses 2-pt shot from 2 ft
7:53.0,,,84-74,,Offensive rebound by E. Ilyasova
7:53.0,,,84-76,2,E. Ilyasova makes 2-pt shot from 1 ft
7:36.0,W. Chandler makes 2-pt shot from 7 ft (assist by W. Barton),2,86-76,,
7:23.0,,,86-76,,G. Henderson misses 2-pt shot from 9 ft
7:20.0,Defensive rebound by W. Chandler,,86-76,,
7:08.0,W. Chandler misses 2-pt shot from 12 ft,,86-76,,
7:03.0,,,86-76,,Defensive rebound by E. Ilyasova
6:52.0,,,86-76,,N. Stauskas misses 2-pt shot from 4 ft (block by W. Barton)
6:50.0,,,86-76,,Offensive rebound by R. Holmes
6:46.0,,,86-78,2,R. Holmes makes 2-pt shot from 6 ft
6:25.0,W. Chandler makes 3-pt shot from 26 ft (assist by J. Nelson),3,89-78,,
6:10.0,,,89-78,,Turnover by R. Holmes (bad pass; steal by J. Nelson)
6:01.0,D. Gallinari misses 3-pt shot from 26 ft,,89-78,,
5:59.0,Offensive rebound by J. Nurkic,,89-78,,
5:48.0,Turnover by D. Gallinari (lost ball; steal by S. Rodriguez),,89-78,,
5:32.0,,,89-81,3,S. Rodriguez makes 3-pt shot from 25 ft (assist by N. Stauskas)
5:19.0,,,89-81,,Personal foul by S. Rodriguez (drawn by W. Chandler)
5:19.0,Official timeout,,89-81,,
5:19.0,,,89-81,,D. Saric enters the game for G. Henderson
5:09.0,Shooting foul by R. Holmes (drawn by W. Chandler),,89-81,,
5:09.0,W. Chandler makes free throw 1 of 2,1,90-81,,
5:09.0,W. Chandler makes free throw 2 of 2,1,91-81,,
4:59.0,,,91-81,,N. Stauskas misses 3-pt shot from 28 ft
4:57.0,,,91-81,,Offensive rebound by R. Holmes
4:52.0,,,91-84,3,S. Rodriguez makes 3-pt shot from 26 ft (assist by R. Holmes)
4:31.0,Turnover by W. Barton (lost ball; steal by E. Ilyasova),,91-84,,
4:30.0,Personal foul by W. Barton (drawn by E. Ilyasova),,91-84,,
4:30.0,D. Arthur enters the game for J. Nurkic,,91-84,,
4:04.0,,,91-84,,S. Rodriguez misses 3-pt shot from 26 ft
4:03.0,Defensive rebound by W. Chandler,,91-84,,
3:50.0,J. Nelson misses 3-pt shot from 25 ft,,91-84,,
3:46.0,,,91-84,,Defensive rebound by N. Stauskas
3:38.0,,,91-87,3,N. Stauskas makes 3-pt shot from 26 ft (assist by E. Ilyasova)
3:38.0,Denver full timeout,,91-87,,
3:38.0,,,91-87,,J. Embiid enters the game for R. Holmes
3:18.0,D. Gallinari makes 2-pt shot from 16 ft (assist by D. Arthur),2,93-87,,
2:57.0,,,93-87,,D. Saric misses 3-pt shot from 26 ft
2:55.0,,,93-87,,Offensive rebound by N. Stauskas
2:42.0,,,93-87,,Shooting foul by W. Chandler (drawn by D. Saric)
2:42.0,,,93-87,,D. Saric misses free throw 1 of 2
2:42.0,,,93-87,,Offensive rebound by Team
2:42.0,,,93-88,1,D. Saric makes free throw 2 of 2
2:27.0,,,93-88,,G. Henderson enters the game for N. Stauskas
2:17.0,D. Arthur makes 3-pt shot from 27 ft (assist by W. Chandler),3,96-88,,
2:04.0,,,96-88,,Shooting foul by J. Nelson (drawn by J. Embiid)
2:04.0,,,96-89,1,J. Embiid makes free throw 1 of 2
2:04.0,,,96-90,1,J. Embiid makes free throw 2 of 2
1:54.0,,,96-90,,Violation by J. Embiid (def goaltending)
1:54.0,J. Nelson makes 2-pt shot from 1 ft,2,98-90,,
1:44.0,,,98-93,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by G. Henderson)
1:27.0,W. Barton misses 2-pt shot from 1 ft,,98-93,,
1:26.0,,,98-93,,Defensive rebound by E. Ilyasova
1:25.0,,,98-93,,Turnover by E. Ilyasova (bad pass; steal by J. Nelson)
1:22.0,J. Nelson makes 2-pt shot from 1 ft,2,100-93,,
1:15.0,,,100-96,3,J. Embiid makes 3-pt shot from 27 ft (assist by S. Rodriguez)
0:50.0,W. Barton makes 3-pt shot from 26 ft (assist by D. Gallinari),3,103-96,,
0:50.0,,,103-96,,Philadelphia full timeout
0:50.0,,,103-96,,N. Stauskas enters the game for G. Henderson
0:42.0,,,103-98,2,J. Embiid makes 2-pt shot from 22 ft (assist by N. Stauskas)
0:39.0,,,103-98,,Personal foul by S. Rodriguez (drawn by D. Gallinari)
0:21.0,J. Nelson misses 2-pt shot from 21 ft,,103-98,,
0:18.0,Offensive rebound by J. Nelson,,103-98,,
0:13.0,,,103-98,,Personal foul by D. Saric (drawn by W. Barton)
0:13.0,W. Barton misses free throw 1 of 2,,103-98,,
0:13.0,Offensive rebound by Team,,103-98,,
0:13.0,W. Barton makes free throw 2 of 2,1,104-98,,
0:13.0,,,104-98,,Philadelphia full timeout
0:13.0,,,104-98,,Turnover by Team (5 sec inbounds)
0:11.0,,,104-98,,Personal foul by N. Stauskas (drawn by W. Barton)
0:11.0,W. Barton makes free throw 1 of 2,1,105-98,,
0:11.0,W. Barton makes free throw 2 of 2,1,106-98,,
0:11.0,,,106-98,,Philadelphia full timeout
0:11.0,,,106-98,,Turnover by D. Saric (bad pass)
0:00.0,End of 4th quarter,,,,End of 4th quarter
