time,Chicago,pts.away,score,pts.home,Washington
3:20.0,Defensive rebound by T. Gibson,,92-95,,
2:59.0,T. Gibson misses 2-pt shot from 1 ft (block by M. Gortat),,92-95,,
2:59.0,,,92-95,,Defensive rebound by Team
2:59.0,M. Carter-Williams enters the game for D. McDermott,,92-95,,
2:48.0,,,92-95,,M. Gortat misses 2-pt shot from 1 ft
2:47.0,Defensive rebound by M. Carter-Williams,,92-95,,
2:29.0,D. Valentine misses 3-pt shot from 28 ft,,92-95,,
2:28.0,,,92-95,,Defensive rebound by M. Gortat
2:22.0,,,92-95,,Offensive foul by J. Smith
2:22.0,,,92-95,,Turnover by J. Smith (offensive foul)
2:09.0,M. Carter-Williams misses 3-pt shot from 25 ft,,92-95,,
2:09.0,Offensive rebound by T. Gibson,,92-95,,
2:08.0,T. Gibson makes 2-pt shot from 1 ft,2,94-95,,
2:08.0,Shooting foul by J. Wall (drawn by T. Gibson),,94-95,,
2:08.0,T. Gibson makes free throw 1 of 1,1,95-95,,
1:54.0,,,95-95,,J. Wall misses 2-pt shot from 12 ft
1:54.0,,,95-95,,Offensive rebound by M. Gortat
1:53.0,,,95-97,2,M. Gortat makes 2-pt shot from 2 ft
1:33.0,R. Rondo makes 2-pt shot from 16 ft,2,97-97,,
1:21.0,,,97-97,,B. Beal misses 2-pt shot from 2 ft (block by T. Gibson)
1:19.0,Defensive rebound by M. Carter-Williams,,97-97,,
0:58.0,R. Rondo misses 2-pt shot from 14 ft,,97-97,,
0:58.0,Offensive rebound by Team,,97-97,,
0:58.0,,,97-97,,Loose ball foul by M. Gortat (drawn by R. Lopez)
0:58.0,R. Lopez makes free throw 1 of 2,1,98-97,,
0:58.0,R. Lopez makes free throw 2 of 2,1,99-97,,
0:58.0,,,99-97,,Washington full timeout
0:47.0,,,99-99,2,J. Wall makes 2-pt shot from 18 ft
0:47.0,Chicago full timeout,,99-99,,
0:47.0,D. McDermott enters the game for T. Gibson,,99-99,,
0:47.0,,,99-99,,K. Oubre enters the game for J. Smith
0:30.0,M. Carter-Williams misses 2-pt shot from 16 ft,,99-99,,
0:29.0,,,99-99,,Defensive rebound by O. Porter
0:06.0,,,99-101,2,J. Wall makes 2-pt shot from 16 ft
0:05.0,Chicago full timeout,,99-101,,
0:03.0,D. McDermott misses 3-pt shot from 29 ft,,99-101,,
0:02.0,,,99-101,,Defensive rebound by J. Wall
0:01.0,,,99-101,,Washington full timeout
0:01.0,,,99-101,,J. Smith enters the game for B. Beal
0:01.0,Jump ball: R. Lopez vs. J. Wall (M. Gortat gains possession),,,,Jump ball: R. Lopez vs. J. Wall (M. Gortat gains possession)
0:00.0,End of 4th quarter,,,,End of 4th quarter
