time,Oklahoma City,pts.away,score,pts.home,Detroit
5:36.0,Defensive rebound by J. Lauvergne,,77-92,,
5:29.0,A. Morrow makes 2-pt shot from 18 ft (assist by R. Westbrook),2,79-92,,
5:01.0,,,79-92,,K. Caldwell-Pope misses 2-pt shot from 17 ft
5:00.0,Defensive rebound by J. Lauvergne,,79-92,,
4:48.0,A. Morrow misses 2-pt shot from 3 ft (block by I. Smith),,79-92,,
4:46.0,Offensive rebound by A. Morrow,,79-92,,
4:44.0,A. Morrow makes 2-pt shot from 1 ft,2,81-92,,
4:30.0,Personal foul by R. Westbrook (drawn by J. Leuer),,81-92,,
4:30.0,Official timeout,,81-92,,
4:17.0,,,81-92,,M. Morris misses 2-pt shot from 18 ft
4:17.0,,,81-92,,Offensive rebound by Team
4:17.0,Loose ball foul by J. Lauvergne (drawn by A. Baynes),,81-92,,
4:01.0,,,81-94,2,K. Caldwell-Pope makes 2-pt shot at rim
3:48.0,D. Sabonis misses 3-pt shot from 26 ft,,81-94,,
3:48.0,Offensive rebound by R. Westbrook,,81-94,,
3:40.0,J. Lauvergne makes 3-pt shot from 27 ft (assist by A. Morrow),3,84-94,,
3:16.0,,,84-94,,K. Caldwell-Pope misses 2-pt shot from 23 ft
3:16.0,Defensive rebound by R. Westbrook,,84-94,,
3:10.0,A. Morrow misses 3-pt shot from 26 ft,,84-94,,
3:10.0,,,84-94,,Defensive rebound by K. Caldwell-Pope
3:04.0,,,84-96,2,K. Caldwell-Pope makes 2-pt shot from 5 ft
3:04.0,,,84-96,,Shooting foul by A. Roberson (drawn by K. Caldwell-Pope)
3:04.0,,,84-97,1,K. Caldwell-Pope makes free throw 1 of 1
3:04.0,,,84-96,,T. Harris enters the game for J. Leuer
2:55.0,D. Sabonis misses 3-pt shot from 23 ft,,84-97,,
2:54.0,,,84-97,,Defensive rebound by I. Smith
2:51.0,,,84-99,2,T. Harris makes 2-pt shot at rim (assist by I. Smith)
2:51.0,Oklahoma City full timeout,,84-99,,
2:45.0,Turnover by R. Westbrook (bad pass; steal by I. Smith),,84-99,,
2:41.0,,,84-99,,K. Caldwell-Pope misses 2-pt shot from 2 ft (block by A. Morrow)
2:39.0,Defensive rebound by R. Westbrook,,84-99,,
2:30.0,A. Morrow makes 2-pt shot from 5 ft (assist by R. Westbrook),2,86-99,,
2:07.0,Personal foul by R. Westbrook (drawn by A. Baynes),,86-99,,
2:07.0,S. Christon enters the game for R. Westbrook,,86-99,,
2:07.0,,,86-99,,J. Leuer enters the game for A. Baynes
1:55.0,,,86-101,2,I. Smith makes 2-pt shot from 1 ft
1:41.0,J. Lauvergne misses 2-pt shot from 6 ft (block by T. Harris),,86-101,,
1:40.0,Offensive rebound by Team,,86-101,,
1:40.0,A. Abrines enters the game for A. Roberson,,86-101,,
1:30.0,J. Lauvergne misses 2-pt shot from 6 ft,,86-101,,
1:29.0,,,86-101,,Defensive rebound by J. Leuer
1:17.0,,,86-101,,Shooting foul by A. Abrines (drawn by I. Smith)
1:17.0,,,86-101,,I. Smith misses free throw 1 of 2
1:17.0,,,86-101,,Offensive rebound by Team
1:17.0,,,86-102,1,I. Smith makes free throw 2 of 2
1:17.0,,,86-101,,S. Johnson enters the game for T. Harris
1:17.0,,,86-101,,H. Ellenson enters the game for M. Morris
1:17.0,,,86-101,,D. Hilliard enters the game for K. Caldwell-Pope
1:06.0,Offensive foul by D. Sabonis,,86-102,,
1:06.0,Turnover by D. Sabonis (offensive foul),,86-102,,
0:55.0,,,86-104,2,D. Hilliard makes 2-pt shot from 2 ft
0:46.0,Shooting foul by D. Hilliard (drawn by A. Abrines),,86-104,,
0:46.0,A. Abrines makes free throw 1 of 2,1,87-104,,
0:46.0,A. Abrines makes free throw 2 of 2,1,88-104,,
0:25.0,,,88-104,,H. Ellenson misses 2-pt shot from 9 ft
0:24.0,Defensive rebound by J. Lauvergne,,88-104,,
0:18.0,D. Sabonis misses 2-pt shot from 1 ft,,88-104,,
0:16.0,Offensive rebound by A. Morrow,,88-104,,
0:16.0,Turnover by J. Lauvergne (offensive goaltending),,88-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
