time,Charlotte,pts.away,score,pts.home,Oklahoma City
3:16.0,,,105-93,,R. Westbrook misses 2-pt shot from 1 ft (block by M. Williams)
3:15.0,,,105-93,,Offensive rebound by Team
3:15.0,,,105-93,,Oklahoma City full timeout
3:11.0,,,105-93,,R. Westbrook misses 3-pt shot from 25 ft
3:11.0,,,105-93,,Offensive rebound by Team
3:05.0,,,105-93,,V. Oladipo misses 2-pt shot from 18 ft
3:04.0,Defensive rebound by N. Batum,,105-93,,
2:52.0,K. Walker misses 2-pt shot from 2 ft (block by A. Roberson),,105-93,,
2:52.0,Offensive rebound by Team,,105-93,,
2:42.0,K. Walker makes 3-pt shot from 26 ft,3,108-93,,
2:30.0,,,108-96,3,R. Westbrook makes 3-pt shot from 26 ft
2:10.0,K. Walker misses 3-pt shot from 26 ft,,108-96,,
2:10.0,,,108-96,,Defensive rebound by R. Westbrook
2:01.0,,,108-96,,R. Westbrook misses 2-pt shot from 2 ft
2:00.0,,,108-96,,Offensive rebound by S. Adams
1:57.0,,,108-96,,Turnover by S. Adams (bad pass; steal by N. Batum)
1:52.0,Shooting foul by V. Oladipo (drawn by M. Williams),,108-96,,
1:52.0,M. Williams makes free throw 1 of 2,1,109-96,,
1:52.0,M. Williams makes free throw 2 of 2,1,110-96,,
1:35.0,,,110-99,3,R. Westbrook makes 3-pt shot from 25 ft
1:35.0,,,110-99,,Shooting foul by M. Kidd-Gilchrist (drawn by R. Westbrook)
1:35.0,,,110-99,,Turnover by R. Westbrook (lane violation.)
1:33.0,,,110-99,,Personal take foul by A. Roberson (drawn by K. Walker)
1:33.0,K. Walker makes free throw 1 of 2,1,111-99,,
1:33.0,K. Walker misses free throw 2 of 2,,111-99,,
1:32.0,,,111-99,,Defensive rebound by A. Roberson
1:25.0,,,111-99,,R. Westbrook misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by M. Williams,,111-99,,
1:23.0,,,111-99,,Personal take foul by R. Westbrook (drawn by N. Batum)
1:23.0,N. Batum makes free throw 1 of 2,1,112-99,,
1:23.0,N. Batum makes free throw 2 of 2,1,113-99,,
1:23.0,,,112-99,,A. Abrines enters the game for S. Adams
1:23.0,,,112-99,,D. Sabonis enters the game for V. Oladipo
1:23.0,,,112-99,,J. Grant enters the game for R. Westbrook
1:11.0,,,113-101,2,A. Roberson makes 2-pt shot from 4 ft
0:48.0,K. Walker misses 3-pt shot from 25 ft,,113-101,,
0:46.0,,,113-101,,Defensive rebound by A. Roberson
0:33.0,,,113-101,,D. Sabonis misses 2-pt shot from 13 ft
0:33.0,Defensive rebound by N. Batum,,113-101,,
0:09.0,Turnover by Team (shot clock),,113-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
