time,Houston,pts.away,score,pts.home,Detroit
2:15.0,Offensive rebound by Team,,93-93,,
2:15.0,J. Harden misses free throw 2 of 3,,93-93,,
2:15.0,Offensive rebound by Team,,93-93,,
2:15.0,J. Harden makes free throw 3 of 3,1,94-93,,
1:49.0,,,94-93,,M. Morris misses 3-pt shot from 26 ft
1:49.0,Defensive rebound by T. Ariza,,94-93,,
1:26.0,E. Gordon misses 3-pt shot from 26 ft,,94-93,,
1:25.0,Offensive rebound by J. Harden,,94-93,,
1:06.0,J. Harden makes 2-pt shot from 19 ft,2,96-93,,
1:06.0,,,96-93,,Detroit full timeout
0:50.0,,,96-93,,K. Caldwell-Pope misses 2-pt shot from 1 ft
0:50.0,,,96-93,,Offensive rebound by A. Drummond
0:47.0,,,96-95,2,A. Drummond makes 2-pt shot from 1 ft
0:41.0,T. Ariza misses 3-pt shot from 23 ft,,96-95,,
0:40.0,,,96-95,,Defensive rebound by I. Smith
0:20.0,,,96-95,,I. Smith misses 2-pt shot from 1 ft
0:20.0,Defensive rebound by J. Harden,,96-95,,
0:20.0,,,96-95,,Personal foul by I. Smith (drawn by J. Harden)
0:16.0,Houston full timeout,,96-95,,
0:16.0,Houston full timeout,,96-95,,
0:16.0,,,96-95,,S. Johnson enters the game for I. Smith
0:16.0,N. Hilario enters the game for C. Capela,,96-95,,
0:15.0,,,96-95,,Personal take foul by J. Leuer (drawn by J. Harden)
0:15.0,J. Harden misses free throw 1 of 2,,96-95,,
0:15.0,Offensive rebound by Team,,96-95,,
0:15.0,J. Harden makes free throw 2 of 2,1,97-95,,
0:15.0,,,96-95,,I. Smith enters the game for S. Johnson
0:15.0,C. Capela enters the game for N. Hilario,,96-95,,
0:15.0,P. Beverley enters the game for R. Anderson,,96-95,,
0:12.0,Personal foul by J. Harden (drawn by M. Morris),,97-95,,
0:12.0,,,97-95,,Detroit full timeout
0:12.0,,,97-95,,T. Harris enters the game for I. Smith
0:12.0,,,97-95,,B. Udrih enters the game for J. Leuer
0:09.0,,,97-95,,Shooting foul by C. Capela (drawn by K. Caldwell-Pope)
0:09.0,,,97-96,1,K. Caldwell-Pope makes free throw 1 of 2
0:09.0,,,97-96,,K. Caldwell-Pope misses free throw 2 of 2
0:09.0,R. Anderson enters the game for C. Capela,,97-96,,
0:09.0,N. Hilario enters the game for P. Beverley,,97-96,,
0:09.0,,,97-96,,J. Leuer enters the game for T. Harris
0:09.0,,,97-96,,S. Johnson enters the game for B. Udrih
0:08.0,Defensive rebound by Team,,97-96,,
0:07.0,Houston full timeout,,97-96,,
0:07.0,,,97-96,,T. Harris enters the game for J. Leuer
0:06.0,,,97-96,,Personal foul by K. Caldwell-Pope (drawn by J. Harden)
0:06.0,J. Harden makes free throw 1 of 2,1,98-96,,
0:06.0,J. Harden misses free throw 2 of 2,,98-96,,
0:06.0,,,98-96,,B. Udrih enters the game for S. Johnson
0:06.0,P. Beverley enters the game for R. Anderson,,98-96,,
0:06.0,C. Capela enters the game for N. Hilario,,98-96,,
0:05.0,,,98-96,,Defensive rebound by A. Drummond
0:05.0,Personal foul by C. Capela (drawn by A. Drummond),,98-96,,
0:05.0,,,98-96,,A. Drummond misses free throw 1 of 2
0:05.0,,,98-96,,Offensive rebound by Team
0:05.0,,,98-96,,A. Drummond misses free throw 2 of 2
0:05.0,,,98-96,,S. Johnson enters the game for T. Harris
0:05.0,,,98-96,,J. Leuer enters the game for B. Udrih
0:05.0,N. Hilario enters the game for C. Capela,,98-96,,
0:05.0,R. Anderson enters the game for P. Beverley,,98-96,,
0:04.0,Defensive rebound by J. Harden,,98-96,,
0:03.0,,,98-96,,Personal foul by S. Johnson (drawn by J. Harden)
0:03.0,J. Harden misses free throw 1 of 2,,98-96,,
0:03.0,Offensive rebound by Team,,98-96,,
0:03.0,J. Harden makes free throw 2 of 2,1,99-96,,
0:03.0,P. Beverley enters the game for R. Anderson,,98-96,,
0:03.0,C. Capela enters the game for N. Hilario,,98-96,,
0:01.0,,,99-96,,K. Caldwell-Pope misses 3-pt shot from 50 ft
0:00.0,,,99-96,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
