time,Golden State,pts.away,score,pts.home,Sacramento
0:16.0,,,98-98,,Defensive rebound by M. Barnes
0:16.0,,,98-98,,Sacramento full timeout
0:03.0,,,98-98,,D. Cousins misses 2-pt shot from 21 ft
0:01.0,Defensive rebound by A. Iguodala,,98-98,,
0:01.0,Golden State full timeout,,98-98,,
0:01.0,Golden State full timeout,,98-98,,
0:00.0,K. Thompson misses 2-pt shot from 20 ft,,98-98,,
0:00.0,Offensive rebound by Team,,98-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:44.0,Personal foul by A. Iguodala (drawn by A. Afflalo),,98-98,,
4:29.0,,,98-101,3,M. Barnes makes 3-pt shot from 25 ft (assist by D. Cousins)
4:11.0,K. Thompson misses 3-pt shot from 26 ft,,98-101,,
4:10.0,,,98-101,,Defensive rebound by M. Barnes
3:55.0,,,98-103,2,D. Cousins makes 2-pt shot from 1 ft
3:36.0,Turnover by D. Green (bad pass; steal by A. Afflalo),,98-103,,
3:16.0,Jump ball: D. Cousins vs. D. Green (M. Barnes gains possession),,,,Jump ball: D. Cousins vs. D. Green (M. Barnes gains possession)
3:12.0,,,98-103,,M. Barnes misses 2-pt shot from 16 ft (block by K. Durant)
3:10.0,Defensive rebound by D. Green,,98-103,,
3:09.0,Turnover by D. Green (bad pass),,98-103,,
3:00.0,,,98-103,,Sacramento full timeout
2:56.0,,,98-105,2,D. Cousins makes 2-pt shot from 3 ft
2:39.0,Shooting foul by D. Cousins (drawn by D. Green),,98-105,,
2:39.0,D. Green misses free throw 1 of 2,,98-105,,
2:39.0,Offensive rebound by Team,,98-105,,
2:39.0,D. Green makes free throw 2 of 2,1,99-105,,
2:24.0,,,99-105,,Turnover by D. Cousins (lost ball; steal by D. Green)
2:23.0,,,99-105,,Personal foul by D. Cousins (drawn by D. Green)
2:11.0,S. Curry makes 3-pt shot from 28 ft,3,102-105,,
1:45.0,,,102-107,2,D. Cousins makes 2-pt shot from 10 ft
1:35.0,Shooting foul by D. Cousins (drawn by S. Curry),,102-107,,
1:35.0,S. Curry makes free throw 1 of 2,1,103-107,,
1:35.0,S. Curry makes free throw 2 of 2,1,104-107,,
1:13.0,,,104-107,,D. Cousins misses 2-pt shot from 16 ft
1:12.0,Defensive rebound by K. Durant,,104-107,,
1:05.0,K. Thompson misses 3-pt shot from 24 ft,,104-107,,
1:05.0,,,104-107,,Defensive rebound by M. Barnes
0:44.0,,,104-107,,Turnover by D. Collison (bad pass; steal by A. Iguodala)
0:41.0,D. Green makes 2-pt shot at rim,2,106-107,,
0:19.0,,,106-107,,D. Cousins misses 2-pt shot from 15 ft
0:18.0,Defensive rebound by K. Thompson,,106-107,,
0:07.0,S. Curry misses 2-pt shot from 4 ft,,106-107,,
0:06.0,Offensive rebound by Team,,106-107,,
0:06.0,Golden State full timeout,,106-107,,
0:05.0,S. Curry misses 2-pt shot from 4 ft,,106-107,,
0:03.0,,,106-107,,Defensive rebound by D. Collison
0:03.0,Personal foul by A. Iguodala (drawn by D. Collison),,106-107,,
0:03.0,Personal foul by S. Curry (drawn by D. Collison),,106-107,,
0:03.0,,,106-108,1,D. Collison makes free throw 1 of 2
0:03.0,,,106-109,1,D. Collison makes free throw 2 of 2
0:03.0,Golden State full timeout,,106-109,,
0:03.0,,,106-107,,T. Lawson enters the game for A. Tolliver
0:03.0,,,106-109,,A. Tolliver enters the game for T. Lawson
0:00.0,D. Green misses 3-pt shot from 27 ft,,106-109,,
0:00.0,Offensive rebound by Team,,106-109,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
