time,Philadelphia,pts.away,score,pts.home,Indiana
5:02.0,T. McConnell misses 2-pt shot from 11 ft,,78-103,,
5:01.0,,,78-103,,Defensive rebound by P. George
4:56.0,,,78-103,,K. Seraphin enters the game for P. George
4:41.0,,,78-103,,M. Ellis misses 2-pt shot from 21 ft
4:41.0,,,78-103,,Offensive rebound by M. Turner
4:14.0,,,78-103,,Turnover by Team (shot clock)
3:57.0,J. Anderson misses 2-pt shot from 20 ft,,78-103,,
3:56.0,,,78-103,,Defensive rebound by M. Turner
3:48.0,,,78-103,,K. Seraphin misses 2-pt shot from 6 ft
3:47.0,Defensive rebound by J. Anderson,,78-103,,
3:35.0,T. Luwawu-Cabarrot makes 3-pt shot from 23 ft (assist by J. Anderson),3,81-103,,
3:18.0,,,81-105,2,A. Brooks makes 2-pt shot from 19 ft
3:17.0,Philadelphia full timeout,,81-105,,
3:17.0,,,81-105,,J. Young enters the game for M. Turner
3:17.0,,,81-105,,R. Christmas enters the game for M. Ellis
3:17.0,S. Rodriguez enters the game for T. McConnell,,81-105,,
3:02.0,T. Luwawu-Cabarrot makes 3-pt shot from 26 ft (assist by S. Long),3,84-105,,
2:43.0,,,84-105,,A. Brooks misses 2-pt shot from 14 ft
2:42.0,Defensive rebound by S. Long,,84-105,,
2:27.0,S. Long makes 2-pt shot from 1 ft,2,86-105,,
2:27.0,Shooting foul by R. Christmas (drawn by S. Long),,86-105,,
2:27.0,S. Long makes free throw 1 of 1,1,87-105,,
2:13.0,,,87-105,,C. Miles misses 2-pt shot from 19 ft
2:12.0,Defensive rebound by J. Anderson,,87-105,,
2:01.0,R. Holmes misses 3-pt shot from 26 ft,,87-105,,
2:00.0,,,87-105,,Defensive rebound by C. Miles
1:42.0,,,87-105,,J. Young misses 2-pt shot from 3 ft
1:41.0,Defensive rebound by R. Holmes,,87-105,,
1:37.0,Shooting foul by A. Brooks (drawn by R. Holmes),,87-105,,
1:37.0,R. Holmes makes free throw 1 of 2,1,88-105,,
1:37.0,R. Holmes makes free throw 2 of 2,1,89-105,,
1:21.0,,,89-105,,K. Seraphin misses 2-pt shot from 3 ft (block by R. Holmes)
1:21.0,,,89-105,,Offensive rebound by R. Christmas
1:21.0,,,89-107,2,R. Christmas makes 2-pt shot at rim
1:15.0,Turnover by T. Luwawu-Cabarrot (offensive foul),,89-107,,
1:15.0,Offensive charge foul by T. Luwawu-Cabarrot,,89-107,,
1:00.0,,,89-107,,Turnover by C. Miles (bad pass; steal by S. Long)
0:54.0,S. Rodriguez makes 3-pt shot from 26 ft (assist by T. Luwawu-Cabarrot),3,92-107,,
0:33.0,,,92-107,,J. Young misses 2-pt shot from 1 ft (block by J. Anderson)
0:33.0,Defensive rebound by T. Luwawu-Cabarrot,,92-107,,
0:29.0,R. Holmes makes 2-pt shot at rim (assist by T. Luwawu-Cabarrot),2,94-107,,
0:05.0,,,94-107,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
