time,Miami,pts.away,score,pts.home,LA Clippers
6:42.0,,,72-96,,J. Redick misses 2-pt shot from 5 ft
6:40.0,,,72-96,,Offensive rebound by B. Bass
6:34.0,,,72-96,,Turnover by B. Bass (bad pass; steal by D. Williams)
6:28.0,G. Dragic makes 2-pt shot from 2 ft (assist by T. Johnson),2,74-96,,
6:11.0,,,74-96,,J. Crawford misses 3-pt shot from 26 ft
6:09.0,Defensive rebound by H. Whiteside,,74-96,,
5:57.0,G. Dragic misses 3-pt shot from 26 ft,,74-96,,
5:53.0,,,74-96,,Defensive rebound by B. Bass
5:40.0,,,74-96,,M. Speights misses 3-pt shot from 24 ft
5:39.0,Defensive rebound by G. Dragic,,74-96,,
5:24.0,,,74-96,,LA Clippers full timeout
5:24.0,Jump ball: M. Speights vs. H. Whiteside (T. Johnson gains possession),,,,Jump ball: M. Speights vs. H. Whiteside (T. Johnson gains possession)
5:18.0,,,74-96,,Personal foul by M. Speights (drawn by T. Johnson)
5:18.0,,,74-96,,D. Jordan enters the game for M. Speights
5:07.0,D. Williams misses 2-pt shot from 19 ft,,74-96,,
5:06.0,,,74-96,,Defensive rebound by W. Johnson
4:56.0,,,74-96,,Turnover by J. Redick (lost ball)
4:56.0,,,74-96,,R. Felton enters the game for J. Redick
4:38.0,H. Whiteside makes 2-pt shot at rim (assist by D. Williams),2,76-96,,
4:17.0,Violation by D. Williams (kicked ball),,76-96,,
4:07.0,Personal foul by D. Williams (drawn by B. Bass),,76-96,,
3:57.0,,,76-96,,J. Crawford misses 3-pt shot from 27 ft
3:56.0,Defensive rebound by T. Johnson,,76-96,,
3:47.0,T. Johnson misses 2-pt shot from 7 ft,,76-96,,
3:45.0,Offensive rebound by H. Whiteside,,76-96,,
3:44.0,H. Whiteside makes 2-pt shot from 4 ft,2,78-96,,
3:23.0,,,78-96,,R. Felton misses 3-pt shot from 28 ft
3:22.0,Defensive rebound by H. Whiteside,,78-96,,
3:12.0,G. Dragic makes 2-pt shot from 16 ft,2,80-96,,
2:49.0,,,80-96,,W. Johnson misses 3-pt shot from 25 ft
2:49.0,Defensive rebound by Team,,80-96,,
2:49.0,,,80-96,,Loose ball foul by D. Jordan (drawn by H. Whiteside)
2:49.0,Miami full timeout,,80-96,,
2:31.0,D. Williams makes 2-pt shot from 16 ft,2,82-96,,
2:11.0,,,82-96,,Shooting foul by D. Williams (drawn by B. Bass)
2:11.0,,,82-97,1,B. Bass makes free throw 1 of 2
2:11.0,,,82-98,1,B. Bass makes free throw 2 of 2
1:59.0,T. Johnson makes 2-pt shot at rim (assist by D. Williams),2,84-98,,
1:43.0,,,84-98,,J. Crawford misses 2-pt shot from 10 ft
1:40.0,Defensive rebound by T. Johnson,,84-98,,
1:30.0,R. McGruder misses 3-pt shot from 24 ft,,84-98,,
1:29.0,,,84-98,,Defensive rebound by W. Johnson
1:08.0,,,84-98,,R. Felton misses 2-pt shot from 12 ft
1:05.0,Defensive rebound by H. Whiteside,,84-98,,
0:58.0,G. Dragic makes 2-pt shot from 11 ft,2,86-98,,
0:36.0,,,86-98,,R. Felton misses 2-pt shot from 3 ft
0:33.0,Defensive rebound by D. Williams,,86-98,,
0:25.0,G. Dragic misses 3-pt shot from 27 ft,,86-98,,
0:21.0,,,86-98,,Defensive rebound by D. Jordan
0:00.0,End of 4th quarter,,,,End of 4th quarter
