time,Denver,pts.away,score,pts.home,Detroit
5:08.0,Shooting foul by T. Harris,,72-96,,
5:08.0,J. Hernangomez makes free throw 1 of 2,1,73-96,,
5:08.0,J. Hernangomez makes free throw 2 of 2,1,74-96,,
4:54.0,,,74-96,,Turnover by S. Johnson (bad pass; steal by J. Nurkic)
4:41.0,Turnover by J. Nurkic (bad pass; steal by I. Smith),,74-96,,
4:26.0,,,74-96,,S. Johnson misses 3-pt shot from 27 ft
4:26.0,,,74-96,,Offensive rebound by M. Morris
4:21.0,,,74-96,,T. Harris misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by J. Hernangomez,,74-96,,
4:14.0,J. Murray misses 2-pt shot from 17 ft,,74-96,,
4:14.0,,,74-96,,Defensive rebound by T. Harris
3:52.0,,,74-96,,Turnover by Team (shot clock)
3:52.0,M. Miller enters the game for J. Nurkic,,74-96,,
3:38.0,J. Murray makes 2-pt shot from 1 ft,2,76-96,,
3:18.0,,,76-96,,I. Smith misses 2-pt shot from 9 ft
3:18.0,Defensive rebound by D. Arthur,,76-96,,
3:15.0,M. Beasley misses 2-pt shot from 2 ft (block by T. Harris),,76-96,,
3:14.0,Offensive rebound by Team,,76-96,,
3:02.0,D. Arthur misses 2-pt shot from 16 ft,,76-96,,
3:02.0,,,76-96,,Defensive rebound by I. Smith
2:37.0,,,76-98,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
2:28.0,D. Arthur makes 3-pt shot from 26 ft (assist by J. Murray),3,79-98,,
2:28.0,,,79-98,,Detroit full timeout
2:28.0,,,79-98,,B. Marjanovic enters the game for T. Harris
2:28.0,,,79-98,,H. Ellenson enters the game for M. Morris
2:28.0,,,79-98,,D. Hilliard enters the game for A. Drummond
2:28.0,,,79-98,,B. Udrih enters the game for I. Smith
2:28.0,,,79-98,,M. Gbinije enters the game for S. Johnson
2:04.0,,,79-98,,M. Gbinije misses 2-pt shot from 17 ft
2:02.0,Defensive rebound by M. Miller,,79-98,,
1:51.0,M. Beasley misses 2-pt shot from 18 ft,,79-98,,
1:51.0,,,79-98,,Defensive rebound by H. Ellenson
1:34.0,,,79-100,2,B. Marjanovic makes 2-pt shot from 8 ft (assist by D. Hilliard)
1:20.0,J. Hernangomez makes 3-pt shot from 27 ft (assist by M. Miller),3,82-100,,
1:06.0,,,82-100,,B. Marjanovic misses 2-pt shot from 13 ft
1:06.0,Defensive rebound by D. Arthur,,82-100,,
0:57.0,J. Murray makes 2-pt shot from 15 ft,2,84-100,,
0:42.0,,,84-103,3,B. Udrih makes 3-pt shot from 24 ft (assist by D. Hilliard)
0:32.0,J. Hernangomez misses 3-pt shot from 26 ft,,84-103,,
0:32.0,,,84-103,,Defensive rebound by B. Marjanovic
0:22.0,,,84-103,,D. Hilliard misses 3-pt shot from 26 ft
0:22.0,Defensive rebound by Team,,84-103,,
0:12.0,J. Murray makes 2-pt shot from 1 ft,2,86-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
