time,Dallas,pts.away,score,pts.home,Minnesota
7:53.0,,,53-67,,Offensive rebound by Team
7:53.0,,,53-68,1,G. Dieng makes free throw 2 of 2
7:53.0,A. Bogut enters the game for D. Nowitzki,,53-67,,
7:43.0,H. Barnes makes 3-pt shot from 24 ft (assist by D. Williams),3,56-68,,
7:27.0,,,56-68,,K. Towns misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by H. Barnes,,56-68,,
7:18.0,H. Barnes misses 3-pt shot from 24 ft,,56-68,,
7:17.0,,,56-68,,Defensive rebound by K. Towns
6:57.0,,,56-68,,Z. LaVine misses 2-pt shot from 20 ft
6:55.0,,,56-68,,Offensive rebound by A. Wiggins
6:46.0,,,56-68,,A. Wiggins misses 2-pt shot from 18 ft (block by A. Bogut)
6:45.0,,,56-68,,Offensive rebound by A. Wiggins
6:40.0,,,56-68,,Offensive charge foul by A. Wiggins
6:40.0,,,56-68,,Turnover by A. Wiggins (offensive foul)
6:40.0,,,56-68,,N. Bjelica enters the game for G. Dieng
6:23.0,,,56-68,,Personal foul by Z. LaVine (drawn by W. Matthews)
6:13.0,S. Curry makes 3-pt shot from 25 ft (assist by W. Matthews),3,59-68,,
5:52.0,,,59-70,2,A. Wiggins makes 2-pt shot from 15 ft
5:37.0,H. Barnes makes 2-pt shot from 12 ft,2,61-70,,
5:09.0,,,61-70,,Z. LaVine misses 3-pt shot from 25 ft
5:08.0,Defensive rebound by W. Matthews,,61-70,,
4:57.0,H. Barnes misses 2-pt shot at rim,,61-70,,
4:55.0,Offensive rebound by A. Bogut,,61-70,,
4:55.0,A. Bogut misses 2-pt shot from 1 ft,,61-70,,
4:54.0,Offensive rebound by A. Bogut,,61-70,,
4:54.0,A. Bogut makes 2-pt shot from 1 ft,2,63-70,,
4:38.0,,,63-70,,Offensive foul by K. Towns
4:38.0,,,63-70,,Turnover by K. Towns (offensive foul)
4:38.0,,,63-70,,K. Dunn enters the game for R. Rubio
4:17.0,S. Curry misses 2-pt shot from 1 ft (block by K. Towns),,63-70,,
4:16.0,Offensive rebound by Team,,63-70,,
4:16.0,,,63-70,,Personal foul by N. Bjelica (drawn by W. Matthews)
4:10.0,D. Williams makes 2-pt shot at rim,2,65-70,,
3:51.0,,,65-70,,Turnover by K. Dunn (bad pass)
3:27.0,S. Curry misses 3-pt shot from 25 ft,,65-70,,
3:21.0,Offensive rebound by D. Williams,,65-70,,
3:10.0,W. Matthews misses 2-pt shot from 2 ft (block by K. Towns),,65-70,,
3:08.0,,,65-70,,Defensive rebound by Z. LaVine
2:56.0,,,65-70,,Offensive charge foul by K. Towns
2:56.0,,,65-70,,Turnover by K. Towns (offensive foul)
2:56.0,,,65-70,,Minnesota full timeout
2:56.0,S. Mejri enters the game for H. Barnes,,65-70,,
2:56.0,D. Nowitzki enters the game for A. Bogut,,65-70,,
2:56.0,D. Harris enters the game for D. Williams,,65-70,,
2:56.0,J. Barea enters the game for S. Curry,,65-70,,
2:56.0,,,65-70,,S. Muhammad enters the game for Z. LaVine
2:44.0,W. Matthews misses 3-pt shot from 24 ft,,65-70,,
2:43.0,,,65-70,,Defensive rebound by N. Bjelica
2:24.0,,,65-70,,K. Dunn misses 3-pt shot from 25 ft
2:23.0,,,65-70,,Offensive rebound by A. Wiggins
2:23.0,,,65-70,,Shooting foul by S. Mejri (drawn by A. Wiggins)
2:23.0,,,65-71,1,A. Wiggins makes free throw 1 of 2
2:23.0,,,65-71,,A. Wiggins misses free throw 2 of 2
2:21.0,,,65-71,,Offensive rebound by N. Bjelica
2:17.0,,,65-71,,S. Muhammad misses 3-pt shot from 26 ft
2:17.0,Defensive rebound by Team,,65-71,,
2:00.0,D. Nowitzki makes 3-pt shot from 23 ft (assist by J. Barea),3,68-71,,
1:46.0,,,68-71,,Turnover by K. Dunn (lost ball)
1:31.0,D. Harris misses 3-pt shot from 22 ft,,68-71,,
1:30.0,,,68-71,,Defensive rebound by K. Towns
1:19.0,,,68-73,2,K. Towns makes 2-pt shot from 1 ft
0:52.0,S. Mejri makes 2-pt shot from 1 ft (assist by D. Harris),2,70-73,,
0:40.0,,,70-75,2,K. Towns makes 2-pt shot from 17 ft (assist by K. Dunn)
0:24.0,D. Nowitzki misses 2-pt shot from 1 ft (block by K. Towns),,70-75,,
0:22.0,,,70-75,,Defensive rebound by S. Muhammad
0:19.0,,,70-77,2,S. Muhammad makes 2-pt shot at rim (assist by N. Bjelica)
0:01.0,S. Mejri misses 2-pt shot from 4 ft,,70-77,,
0:00.0,,,70-77,,Defensive rebound by A. Wiggins
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,D. Finney-Smith makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,73-77,,
11:18.0,,,73-79,2,G. Dieng makes 2-pt shot from 17 ft (assist by N. Bjelica)
11:09.0,,,73-79,,Personal foul by Z. LaVine (drawn by D. Harris)
11:09.0,,,73-79,,T. Jones enters the game for Z. LaVine
11:06.0,,,73-79,,Personal foul by T. Jones (drawn by D. Harris)
11:01.0,D. Harris misses 2-pt shot from 2 ft,,73-79,,
11:00.0,,,73-79,,Defensive rebound by N. Bjelica
11:00.0,Personal foul by S. Mejri (drawn by N. Bjelica),,73-79,,
10:38.0,,,73-79,,K. Dunn misses 2-pt shot from 21 ft
10:37.0,Defensive rebound by S. Mejri,,73-79,,
10:18.0,,,73-79,,Personal foul by K. Dunn
10:07.0,D. Nowitzki makes 2-pt shot from 13 ft,2,75-79,,
9:38.0,,,75-79,,G. Dieng misses 2-pt shot from 20 ft
9:37.0,Defensive rebound by D. Nowitzki,,75-79,,
9:30.0,,,75-79,,Personal foul by K. Dunn (drawn by D. Nowitzki)
9:30.0,,,75-79,,R. Rubio enters the game for K. Dunn
9:23.0,D. Nowitzki misses 3-pt shot from 25 ft,,75-79,,
9:22.0,,,75-79,,Defensive rebound by R. Rubio
