time,Brooklyn,pts.away,score,pts.home,Milwaukee
9:00.0,Shooting foul by M. Beasley (drawn by R. Hollis-Jefferson),,84-85,,
9:00.0,R. Hollis-Jefferson misses free throw 1 of 1,,84-85,,
9:00.0,,,84-85,,G. Antetokounmpo enters the game for J. Terry
9:00.0,,,84-85,,J. Parker enters the game for M. Brogdon
8:57.0,Offensive rebound by L. Scola,,84-85,,
8:57.0,L. Scola makes 2-pt shot from 1 ft,2,86-85,,
8:36.0,,,86-85,,G. Antetokounmpo misses 2-pt shot from 11 ft
8:36.0,Defensive rebound by Team,,86-85,,
8:36.0,,,86-85,,Loose ball foul by M. Beasley (drawn by R. Hollis-Jefferson)
8:36.0,Official timeout,,86-85,,
8:36.0,,,86-85,,M. Dellavedova enters the game for M. Beasley
8:36.0,B. Bogdanovic enters the game for J. Hamilton,,86-85,,
8:13.0,R. Hollis-Jefferson misses 2-pt shot from 15 ft,,86-85,,
8:11.0,,,86-85,,Defensive rebound by G. Antetokounmpo
7:52.0,,,86-87,2,M. Dellavedova makes 2-pt shot from 7 ft
7:40.0,R. Foye misses 3-pt shot from 25 ft,,86-87,,
7:39.0,Offensive rebound by R. Hollis-Jefferson,,86-87,,
7:30.0,Shooting foul by G. Monroe (drawn by B. Bogdanovic),,86-87,,
7:30.0,B. Bogdanovic makes free throw 1 of 2,1,87-87,,
7:30.0,B. Bogdanovic makes free throw 2 of 2,1,88-87,,
7:30.0,,,87-87,,J. Henson enters the game for G. Monroe
7:30.0,A. Bennett enters the game for R. Foye,,87-87,,
7:30.0,S. Kilpatrick enters the game for R. Hollis-Jefferson,,87-87,,
7:18.0,,,88-87,,J. Henson misses 2-pt shot from 5 ft
7:17.0,Defensive rebound by A. Bennett,,88-87,,
7:07.0,A. Bennett misses 3-pt shot from 25 ft,,88-87,,
7:07.0,,,88-87,,Defensive rebound by Team
7:07.0,I. Whitehead enters the game for J. Harris,,88-87,,
7:07.0,B. Lopez enters the game for L. Scola,,88-87,,
6:55.0,,,88-87,,M. Teletovic misses 3-pt shot from 27 ft
6:54.0,Defensive rebound by I. Whitehead,,88-87,,
6:37.0,I. Whitehead misses 3-pt shot from 28 ft,,88-87,,
6:35.0,,,88-87,,Defensive rebound by M. Teletovic
6:29.0,,,88-89,2,M. Dellavedova makes 2-pt shot at rim
6:18.0,B. Bogdanovic misses 2-pt shot at rim (block by G. Antetokounmpo),,88-89,,
6:16.0,,,88-89,,Defensive rebound by J. Parker
6:13.0,,,88-89,,Shooting foul by I. Whitehead (drawn by G. Antetokounmpo)
6:13.0,,,88-89,,G. Antetokounmpo misses free throw 1 of 2
6:13.0,,,88-89,,Offensive rebound by Team
6:13.0,,,88-90,1,G. Antetokounmpo makes free throw 2 of 2
5:52.0,B. Lopez makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,91-90,,
5:33.0,,,91-92,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
5:20.0,B. Lopez makes 3-pt shot from 30 ft (assist by S. Kilpatrick),3,94-92,,
5:02.0,,,94-92,,Shooting foul by I. Whitehead (drawn by J. Henson)
5:02.0,,,94-92,,Milwaukee full timeout
5:02.0,,,94-93,1,J. Henson makes free throw 1 of 2
5:02.0,,,94-94,1,J. Henson makes free throw 2 of 2
5:02.0,J. Harris enters the game for A. Bennett,,94-92,,
5:02.0,R. Hollis-Jefferson enters the game for I. Whitehead,,94-92,,
5:02.0,,,94-92,,T. Snell enters the game for M. Teletovic
4:48.0,B. Lopez misses 2-pt shot from 7 ft,,94-94,,
4:47.0,,,94-94,,Defensive rebound by J. Parker
4:35.0,,,94-94,,M. Dellavedova misses 3-pt shot from 29 ft
4:34.0,,,94-94,,Offensive rebound by J. Parker
4:33.0,,,94-94,,Shooting foul by J. Harris (drawn by J. Parker)
4:33.0,,,94-95,1,J. Parker makes free throw 1 of 2
4:33.0,,,94-95,,J. Parker misses free throw 2 of 2
4:32.0,Defensive rebound by R. Hollis-Jefferson,,94-95,,
4:12.0,B. Bogdanovic misses 2-pt shot from 14 ft (block by J. Henson),,94-95,,
4:12.0,Offensive rebound by Team,,94-95,,
4:12.0,Brooklyn full timeout,,94-95,,
4:08.0,B. Lopez misses 3-pt shot from 30 ft,,94-95,,
4:06.0,,,94-95,,Defensive rebound by T. Snell
3:51.0,,,94-97,2,M. Dellavedova makes 2-pt shot from 8 ft
3:30.0,B. Lopez misses 2-pt shot from 4 ft (block by G. Antetokounmpo),,94-97,,
3:26.0,,,94-97,,Defensive rebound by G. Antetokounmpo
3:19.0,,,94-97,,T. Snell misses 3-pt shot from 26 ft
3:17.0,Defensive rebound by R. Hollis-Jefferson,,94-97,,
3:04.0,S. Kilpatrick misses 2-pt shot from 15 ft,,94-97,,
3:02.0,,,94-97,,Defensive rebound by J. Henson
2:42.0,,,94-99,2,G. Antetokounmpo makes 2-pt shot from 7 ft
2:41.0,Brooklyn full timeout,,94-99,,
2:29.0,Shooting foul by G. Antetokounmpo (drawn by B. Lopez),,94-99,,
2:29.0,B. Lopez misses free throw 1 of 2,,94-99,,
2:29.0,Offensive rebound by Team,,94-99,,
2:29.0,B. Lopez makes free throw 2 of 2,1,95-99,,
2:10.0,,,95-101,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
1:52.0,B. Lopez misses 2-pt shot at rim (block by J. Henson),,95-101,,
1:50.0,,,95-101,,Defensive rebound by J. Henson
1:43.0,Shooting block foul by J. Harris (drawn by M. Dellavedova),,95-101,,
1:43.0,,,95-102,1,M. Dellavedova makes free throw 1 of 2
1:43.0,,,95-103,1,M. Dellavedova makes free throw 2 of 2
1:43.0,R. Foye enters the game for R. Hollis-Jefferson,,95-102,,
1:33.0,S. Kilpatrick misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,95-103,,
1:32.0,Offensive rebound by Team,,95-103,,
1:19.0,J. Harris makes 2-pt shot from 4 ft (assist by S. Kilpatrick),2,97-103,,
1:08.0,Shooting block foul by J. Harris (drawn by J. Parker),,97-103,,
1:08.0,,,97-103,,J. Parker misses free throw 1 of 2
1:08.0,,,97-103,,Offensive rebound by Team
1:08.0,,,97-104,1,J. Parker makes free throw 2 of 2
0:58.0,,,97-104,,Personal foul by T. Snell (drawn by S. Kilpatrick)
0:58.0,S. Kilpatrick misses free throw 1 of 2,,97-104,,
0:58.0,Offensive rebound by Team,,97-104,,
0:58.0,S. Kilpatrick makes free throw 2 of 2,1,98-104,,
0:58.0,R. Hollis-Jefferson enters the game for R. Foye,,97-104,,
0:37.0,,,98-106,2,M. Dellavedova makes 2-pt shot from 6 ft
0:37.0,Brooklyn full timeout,,98-106,,
0:37.0,R. Foye enters the game for R. Hollis-Jefferson,,98-106,,
0:32.0,B. Bogdanovic misses 2-pt shot from 1 ft,,98-106,,
0:30.0,,,98-106,,Defensive rebound by G. Antetokounmpo
0:30.0,Personal foul by R. Foye (drawn by G. Antetokounmpo),,98-106,,
0:30.0,,,98-107,1,G. Antetokounmpo makes free throw 1 of 2
0:30.0,,,98-107,,G. Antetokounmpo misses free throw 2 of 2
0:30.0,Defensive rebound by B. Lopez,,98-107,,
0:23.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,100-107,,
0:23.0,Personal take foul by B. Bogdanovic (drawn by G. Antetokounmpo),,100-107,,
0:23.0,,,100-107,,G. Antetokounmpo misses free throw 1 of 2
0:23.0,,,100-107,,Offensive rebound by Team
0:23.0,,,100-108,1,G. Antetokounmpo makes free throw 2 of 2
0:07.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by R. Foye),3,103-108,,
0:07.0,Personal take foul by B. Lopez (drawn by J. Henson),,103-108,,
0:07.0,,,103-109,1,J. Henson makes free throw 1 of 2
0:07.0,,,103-110,1,J. Henson makes free throw 2 of 2
0:07.0,Brooklyn full timeout,,103-110,,
0:03.0,Turnover by R. Foye (bad pass; steal by J. Parker),,103-110,,
0:03.0,Personal foul by B. Lopez (drawn by M. Dellavedova),,103-110,,
0:03.0,,,103-111,1,M. Dellavedova makes free throw 1 of 2
0:03.0,,,103-112,1,M. Dellavedova makes free throw 2 of 2
0:00.0,J. Harris misses 3-pt shot from 27 ft,,103-112,,
0:00.0,Offensive rebound by Team,,103-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
