time,Utah,pts.away,score,pts.home,Philadelphia
4:17.0,J. Johnson makes 3-pt shot from 25 ft (assist by G. Hayward),3,100-79,,
3:59.0,,,100-79,,J. Okafor misses 2-pt shot from 4 ft
3:58.0,Defensive rebound by J. Johnson,,100-79,,
3:46.0,Turnover by J. Ingles (bad pass; steal by T. McConnell),,100-79,,
3:40.0,,,100-79,,N. Stauskas misses 2-pt shot from 6 ft (block by R. Gobert)
3:39.0,,,100-79,,Offensive rebound by Team
3:37.0,,,100-79,,H. Thompson misses 3-pt shot from 26 ft
3:35.0,Defensive rebound by J. Johnson,,100-79,,
3:32.0,Shooting foul by J. Okafor (drawn by G. Hayward),,100-79,,
3:32.0,G. Hayward makes free throw 1 of 2,1,101-79,,
3:32.0,G. Hayward makes free throw 2 of 2,1,102-79,,
3:32.0,,,101-79,,T. Luwawu-Cabarrot enters the game for N. Stauskas
3:23.0,,,102-79,,H. Thompson misses 3-pt shot from 26 ft
3:21.0,Defensive rebound by G. Hayward,,102-79,,
3:04.0,J. Ingles misses 2-pt shot from 14 ft,,102-79,,
3:02.0,Offensive rebound by Team,,102-79,,
3:02.0,,,102-79,,R. Holmes enters the game for J. Okafor
2:43.0,D. Exum makes 3-pt shot from 24 ft (assist by G. Hayward),3,105-79,,
2:18.0,,,105-79,,Shooting foul by R. Gobert (drawn by T. Luwawu-Cabarrot)
2:18.0,Official timeout,,105-79,,
2:18.0,,,105-79,,T. Luwawu-Cabarrot misses free throw 1 of 2
2:18.0,,,105-79,,Offensive rebound by Team
2:18.0,,,105-79,,T. Luwawu-Cabarrot misses free throw 2 of 2
2:18.0,J. Withey enters the game for G. Hayward,,105-79,,
2:18.0,R. Neto enters the game for R. Gobert,,105-79,,
2:18.0,J. Bolomboy enters the game for J. Johnson,,105-79,,
2:18.0,,,105-79,,N. Stauskas enters the game for H. Thompson
2:16.0,Defensive rebound by J. Bolomboy,,105-79,,
2:03.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Ingles),,105-79,,
2:03.0,J. Ingles makes free throw 1 of 2,1,106-79,,
2:03.0,J. Ingles misses free throw 2 of 2,,106-79,,
2:02.0,,,106-79,,Defensive rebound by Team
1:44.0,,,106-81,2,T. Luwawu-Cabarrot makes 2-pt shot at rim (assist by N. Stauskas)
1:24.0,J. Ingles misses 2-pt shot from 16 ft,,106-81,,
1:23.0,,,106-81,,Defensive rebound by T. Luwawu-Cabarrot
1:11.0,,,106-81,,E. Ilyasova misses 2-pt shot from 3 ft (block by J. Bolomboy)
1:08.0,Defensive rebound by J. Bolomboy,,106-81,,
0:46.0,R. Neto misses 2-pt shot from 19 ft,,106-81,,
0:45.0,,,106-81,,Defensive rebound by N. Stauskas
0:36.0,,,106-81,,R. Holmes misses 2-pt shot from 8 ft
0:35.0,Defensive rebound by J. Bolomboy,,106-81,,
0:27.0,D. Exum makes 3-pt shot from 26 ft (assist by R. Neto),3,109-81,,
0:13.0,,,109-84,3,R. Holmes makes 3-pt shot from 24 ft (assist by T. McConnell)
0:00.0,End of 4th quarter,,,,End of 4th quarter
