time,Portland,pts.away,score,pts.home,Boston
6:00.0,D. Lillard misses 3-pt shot from 26 ft,,97-96,,
5:59.0,,,97-96,,Defensive rebound by A. Johnson
5:39.0,,,97-96,,Turnover by J. Crowder (bad pass; steal by A. Aminu)
5:37.0,,,97-96,,Personal foul by J. Crowder (drawn by E. Turner)
5:37.0,Technical foul by E. Turner,,97-96,,
5:37.0,,,97-97,1,I. Thomas makes technical free throw
5:37.0,E. Turner makes free throw 1 of 2,1,98-97,,
5:37.0,E. Turner makes free throw 2 of 2,1,99-97,,
5:16.0,,,99-97,,M. Smart misses 3-pt shot from 25 ft
5:14.0,,,99-97,,Offensive rebound by A. Johnson
5:09.0,,,99-97,,J. Crowder misses 2-pt shot from 14 ft
5:08.0,Defensive rebound by M. Plumlee,,99-97,,
4:49.0,D. Lillard makes 3-pt shot from 29 ft,3,102-97,,
4:35.0,,,102-100,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Johnson)
4:11.0,D. Lillard misses 3-pt shot from 27 ft,,102-100,,
4:10.0,,,102-100,,Defensive rebound by A. Horford
4:02.0,,,102-100,,M. Smart misses 2-pt shot from 4 ft (block by A. Aminu)
4:01.0,Defensive rebound by E. Turner,,102-100,,
3:58.0,Shooting foul by A. Horford (drawn by M. Plumlee),,102-100,,
3:58.0,M. Plumlee makes free throw 1 of 2,1,103-100,,
3:58.0,M. Plumlee misses free throw 2 of 2,,103-100,,
3:57.0,,,103-100,,Defensive rebound by J. Crowder
3:36.0,Personal foul by E. Turner (drawn by I. Thomas),,103-100,,
3:36.0,,,103-101,1,I. Thomas makes free throw 1 of 2
3:36.0,,,103-102,1,I. Thomas makes free throw 2 of 2
3:16.0,E. Turner makes 2-pt shot from 17 ft,2,105-102,,
2:57.0,,,105-104,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Johnson)
2:34.0,E. Turner misses 2-pt shot from 18 ft,,105-104,,
2:33.0,,,105-104,,Defensive rebound by M. Smart
2:23.0,,,105-107,3,A. Horford makes 3-pt shot from 26 ft (assist by I. Thomas)
1:57.0,D. Lillard makes 2-pt shot from 6 ft,2,107-107,,
1:37.0,,,107-107,,M. Smart misses 3-pt shot from 23 ft
1:36.0,,,107-107,,Offensive rebound by A. Johnson
1:31.0,,,107-107,,I. Thomas misses 3-pt shot from 25 ft
1:30.0,,,107-107,,Offensive rebound by A. Johnson
1:30.0,Personal foul by E. Turner (drawn by A. Johnson),,107-107,,
1:30.0,Official timeout,,107-107,,
1:30.0,,,107-107,,A. Johnson misses free throw 1 of 2
1:30.0,,,107-107,,Offensive rebound by Team
1:30.0,,,107-108,1,A. Johnson makes free throw 2 of 2
1:16.0,,,107-108,,Personal foul by M. Smart (drawn by D. Lillard)
1:16.0,D. Lillard makes free throw 1 of 2,1,108-108,,
1:16.0,D. Lillard makes free throw 2 of 2,1,109-108,,
1:02.0,,,109-108,,I. Thomas misses 2-pt shot from 3 ft
1:01.0,Defensive rebound by A. Aminu,,109-108,,
0:46.0,C. McCollum makes 2-pt shot from 16 ft (assist by E. Turner),2,111-108,,
0:46.0,,,111-108,,Boston full timeout
0:46.0,,,111-108,,T. Rozier enters the game for A. Johnson
0:40.0,,,111-110,2,I. Thomas makes 2-pt shot from 1 ft
0:28.0,C. McCollum misses 2-pt shot from 11 ft,,111-110,,
0:26.0,,,111-110,,Defensive rebound by Team
0:26.0,A. Crabbe enters the game for M. Plumlee,,111-110,,
0:15.0,,,111-110,,I. Thomas misses 2-pt shot from 20 ft
0:13.0,Defensive rebound by A. Crabbe,,111-110,,
0:11.0,,,111-110,,Personal foul by M. Smart (drawn by D. Lillard)
0:11.0,D. Lillard makes free throw 1 of 2,1,112-110,,
0:11.0,D. Lillard makes free throw 2 of 2,1,113-110,,
0:11.0,,,113-110,,Boston full timeout
0:11.0,S. Napier enters the game for E. Turner,,113-110,,
0:08.0,,,113-113,3,T. Rozier makes 3-pt shot from 27 ft (assist by M. Smart)
0:08.0,Portland full timeout,,113-113,,
0:08.0,M. Plumlee enters the game for S. Napier,,113-113,,
0:08.0,,,113-113,,A. Johnson enters the game for T. Rozier
0:01.0,D. Lillard misses 2-pt shot from 19 ft,,113-113,,
0:00.0,Offensive rebound by Team,,113-113,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,,,113-113,,Loose ball foul by A. Johnson (drawn by M. Plumlee)
4:41.0,D. Lillard misses 2-pt shot from 19 ft,,113-113,,
4:40.0,,,113-113,,Defensive rebound by A. Horford
4:26.0,,,113-113,,Offensive foul by A. Johnson
4:26.0,,,113-113,,Turnover by A. Johnson (offensive foul)
4:17.0,Shooting foul by A. Horford (drawn by C. McCollum),,113-113,,
4:17.0,C. McCollum makes free throw 1 of 2,1,114-113,,
4:17.0,C. McCollum makes free throw 2 of 2,1,115-113,,
4:03.0,,,115-113,,I. Thomas misses 3-pt shot from 26 ft
4:01.0,Defensive rebound by A. Aminu,,115-113,,
3:47.0,Turnover by D. Lillard (bad pass),,115-113,,
3:31.0,,,115-113,,I. Thomas misses 2-pt shot from 12 ft
3:30.0,,,115-113,,Offensive rebound by A. Johnson
3:14.0,,,115-113,,M. Smart misses 3-pt shot from 26 ft
3:13.0,Defensive rebound by D. Lillard,,115-113,,
3:03.0,D. Lillard makes 2-pt shot from 13 ft,2,117-113,,
2:40.0,,,117-115,2,A. Horford makes 2-pt shot from 8 ft
2:18.0,Turnover by E. Turner (lost ball),,117-115,,
1:59.0,,,117-115,,Turnover by A. Johnson (lost ball)
1:41.0,Turnover by M. Plumlee (lost ball; steal by A. Johnson),,117-115,,
1:29.0,,,117-115,,J. Crowder misses 3-pt shot from 23 ft
1:28.0,,,117-115,,Offensive rebound by M. Smart
1:24.0,,,117-118,3,I. Thomas makes 3-pt shot from 25 ft (assist by M. Smart)
1:05.0,C. McCollum misses 3-pt shot from 27 ft,,117-118,,
1:04.0,Offensive rebound by Team,,117-118,,
0:59.0,Shooting foul by A. Horford (drawn by A. Aminu),,117-118,,
0:59.0,A. Aminu makes free throw 1 of 2,1,118-118,,
0:59.0,A. Aminu makes free throw 2 of 2,1,119-118,,
0:59.0,,,119-118,,Boston full timeout
0:59.0,,,119-118,,Turnover by M. Smart (bad pass)
0:59.0,,,119-118,,T. Rozier enters the game for A. Johnson
0:59.0,,,119-118,,A. Johnson enters the game for T. Rozier
0:47.0,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee),2,121-118,,
0:47.0,Shooting foul by J. Crowder (drawn by D. Lillard),,121-118,,
0:47.0,D. Lillard makes free throw 1 of 1,1,122-118,,
0:47.0,,,122-118,,Boston full timeout
0:47.0,,,122-118,,T. Rozier enters the game for A. Johnson
0:47.0,A. Crabbe enters the game for M. Plumlee,,122-118,,
0:45.0,,,122-118,,Shooting foul by A. Aminu (drawn by I. Thomas)
0:45.0,,,122-119,1,I. Thomas makes free throw 1 of 2
0:45.0,,,122-120,1,I. Thomas makes free throw 2 of 2
0:45.0,Portland full timeout,,122-120,,
0:45.0,M. Plumlee enters the game for A. Crabbe,,122-119,,
0:45.0,,,122-119,,A. Johnson enters the game for T. Rozier
0:24.0,M. Plumlee makes 2-pt shot from 1 ft (assist by C. McCollum),2,124-120,,
0:14.0,,,124-120,,A. Horford misses 2-pt shot from 3 ft
0:14.0,Defensive rebound by M. Plumlee,,124-120,,
0:14.0,,,124-120,,Personal take foul by A. Horford (drawn by M. Plumlee)
0:14.0,M. Plumlee makes free throw 1 of 2,1,125-120,,
0:14.0,M. Plumlee misses free throw 2 of 2,,125-120,,
0:14.0,,,124-120,,T. Rozier enters the game for A. Horford
0:13.0,,,125-120,,Defensive rebound by J. Crowder
0:07.0,,,125-123,3,I. Thomas makes 3-pt shot from 27 ft
0:02.0,,,125-123,,Personal take foul by T. Rozier (drawn by D. Lillard)
0:02.0,D. Lillard makes free throw 1 of 2,1,126-123,,
0:02.0,D. Lillard makes free throw 2 of 2,1,127-123,,
0:02.0,,,127-123,,Boston full timeout
0:02.0,,,126-123,,K. Olynyk enters the game for A. Johnson
0:01.0,,,127-123,,J. Crowder misses 3-pt shot from 26 ft
0:00.0,,,127-123,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
