time,San Antonio,pts.away,score,pts.home,Miami
4:54.0,,,91-91,,Personal foul by J. Winslow (drawn by D. Dedmon)
4:54.0,,,91-91,,Miami full timeout
4:54.0,,,91-91,,W. Reed enters the game for H. Whiteside
4:49.0,P. Mills makes 3-pt shot from 25 ft (assist by D. Dedmon),3,94-91,,
4:24.0,,,94-91,,Turnover by J. Winslow (lost ball; steal by M. Ginobili)
4:24.0,Turnover by M. Ginobili (lost ball; steal by J. Winslow),,94-91,,
4:15.0,,,94-91,,J. Winslow misses 2-pt shot from 4 ft
4:14.0,,,94-91,,Offensive rebound by J. Winslow
4:07.0,,,94-91,,Shooting foul by P. Mills (drawn by G. Dragic)
4:07.0,,,94-92,1,G. Dragic makes free throw 1 of 3
4:07.0,,,94-92,,G. Dragic misses free throw 2 of 3
4:07.0,,,94-92,,Offensive rebound by Team
4:07.0,,,94-93,1,G. Dragic makes free throw 3 of 3
3:54.0,Shooting foul by J. Winslow (drawn by K. Leonard),,94-93,,
3:54.0,K. Leonard makes free throw 1 of 2,1,95-93,,
3:54.0,K. Leonard makes free throw 2 of 2,1,96-93,,
3:54.0,P. Gasol enters the game for D. Dedmon,,95-93,,
3:38.0,,,96-93,,G. Dragic misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by Team,,96-93,,
3:36.0,,,96-93,,Violation by T. Johnson (kicked ball)
3:26.0,K. Leonard makes 2-pt shot from 18 ft,2,98-93,,
3:08.0,,,98-95,2,G. Dragic makes 2-pt shot from 2 ft (assist by T. Johnson)
2:55.0,,,98-95,,Personal foul by J. Winslow (drawn by K. Leonard)
2:51.0,P. Gasol misses 2-pt shot from 2 ft,,98-95,,
2:50.0,Offensive rebound by P. Gasol,,98-95,,
2:49.0,P. Gasol misses 2-pt shot from 1 ft,,98-95,,
2:47.0,,,98-95,,Defensive rebound by G. Dragic
2:38.0,,,98-95,,Turnover by D. Waiters (bad pass)
2:26.0,,,98-95,,Personal foul by W. Reed (drawn by K. Leonard)
2:26.0,K. Leonard makes free throw 1 of 2,1,99-95,,
2:26.0,K. Leonard misses free throw 2 of 2,,99-95,,
2:25.0,,,99-95,,Defensive rebound by G. Dragic
2:05.0,,,99-97,2,T. Johnson makes 2-pt shot from 12 ft
1:51.0,San Antonio full timeout,,99-97,,
1:51.0,,,99-97,,H. Whiteside enters the game for W. Reed
1:41.0,K. Leonard makes 2-pt shot from 17 ft,2,101-97,,
1:18.0,,,101-97,,J. Winslow misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by P. Gasol,,101-97,,
0:59.0,Turnover by K. Leonard (bad pass; steal by G. Dragic),,101-97,,
0:55.0,,,101-99,2,G. Dragic makes 2-pt shot from 1 ft
0:39.0,Shooting foul by D. Waiters (drawn by K. Leonard),,101-99,,
0:39.0,K. Leonard makes free throw 1 of 2,1,102-99,,
0:39.0,K. Leonard makes free throw 2 of 2,1,103-99,,
0:39.0,,,103-99,,Miami full timeout
0:31.0,,,103-99,,Turnover by H. Whiteside (lost ball; steal by K. Leonard)
0:21.0,,,103-99,,Personal foul by T. Johnson (drawn by K. Leonard)
0:21.0,K. Leonard misses free throw 1 of 2,,103-99,,
0:21.0,Offensive rebound by Team,,103-99,,
0:21.0,K. Leonard makes free throw 2 of 2,1,104-99,,
0:21.0,,,104-99,,Miami full timeout
0:21.0,D. Dedmon enters the game for P. Gasol,,104-99,,
0:21.0,,,104-99,,L. Babbitt enters the game for H. Whiteside
0:21.0,K. Anderson enters the game for D. Dedmon,,104-99,,
0:13.0,,,104-99,,L. Babbitt misses 3-pt shot from 25 ft
0:11.0,Defensive rebound by M. Ginobili,,104-99,,
0:05.0,,,104-99,,Personal foul by L. Babbitt (drawn by K. Leonard)
0:05.0,K. Leonard makes free throw 1 of 2,1,105-99,,
0:05.0,K. Leonard makes free throw 2 of 2,1,106-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
