time,Cleveland,pts.away,score,pts.home,Houston
1:44.0,Offensive rebound by T. Thompson,,107-116,,
1:42.0,K. Irving misses 3-pt shot from 24 ft,,107-116,,
1:42.0,Offensive rebound by Team,,107-116,,
1:42.0,,,107-116,,Loose ball foul by R. Anderson (drawn by T. Thompson)
1:28.0,K. Irving misses 3-pt shot from 26 ft,,107-116,,
1:27.0,,,107-116,,Defensive rebound by R. Anderson
1:05.0,,,107-116,,P. Beverley misses 3-pt shot from 23 ft
1:05.0,Defensive rebound by Team,,107-116,,
0:49.0,K. Irving makes 3-pt shot from 26 ft,3,110-116,,
0:28.0,,,110-116,,R. Anderson misses 2-pt shot from 20 ft
0:27.0,Defensive rebound by T. Thompson,,110-116,,
0:20.0,,,110-116,,Personal foul by N. Hilario (drawn by K. Irving)
0:20.0,K. Irving makes free throw 1 of 2,1,111-116,,
0:20.0,K. Irving makes free throw 2 of 2,1,112-116,,
0:16.0,,,112-116,,Shooting foul by T. Thompson (drawn by J. Harden)
0:16.0,,,112-116,,J. Harden misses free throw 1 of 2
0:16.0,,,112-116,,Offensive rebound by Team
0:16.0,,,112-117,1,J. Harden makes free throw 2 of 2
0:09.0,L. James misses 3-pt shot from 31 ft,,112-117,,
0:08.0,,,112-117,,Defensive rebound by T. Ariza
0:00.0,End of 4th quarter,,,,End of 4th quarter
