time,New York,pts.away,score,pts.home,Denver
9:54.0,,,56-66,,Turnover by E. Mudiay (lost ball; steal by K. Porzingis)
9:43.0,C. Anthony makes 2-pt shot from 17 ft,2,58-66,,
9:31.0,,,58-66,,D. Gallinari misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by K. Porzingis,,58-66,,
9:21.0,Turnover by B. Jennings (lost ball; steal by G. Harris),,58-66,,
9:20.0,Personal take foul by C. Lee (drawn by N. Jokic),,58-66,,
9:13.0,,,58-66,,Loose ball foul by W. Chandler (drawn by B. Jennings)
9:13.0,,,58-66,,Turnover by W. Chandler (offensive foul)
8:58.0,C. Lee makes 3-pt shot from 25 ft (assist by B. Jennings),3,61-66,,
8:58.0,,,61-66,,Denver full timeout
8:52.0,Personal foul by J. Noah (drawn by N. Jokic),,61-66,,
8:40.0,,,61-66,,G. Harris misses 2-pt shot from 8 ft
8:40.0,Defensive rebound by Team,,61-66,,
8:40.0,,,61-66,,Loose ball foul by N. Jokic (drawn by C. Lee)
8:31.0,Turnover by B. Jennings (lost ball; steal by E. Mudiay),,61-66,,
8:25.0,,,61-68,2,E. Mudiay makes 2-pt shot at rim
8:11.0,C. Anthony makes 2-pt shot from 17 ft (assist by C. Lee),2,63-68,,
7:57.0,Personal foul by J. Noah (drawn by N. Jokic),,63-68,,
7:50.0,,,63-68,,N. Jokic misses 2-pt shot from 8 ft
7:49.0,,,63-68,,Offensive rebound by N. Jokic
7:48.0,,,63-70,2,N. Jokic makes 2-pt shot from 2 ft
7:40.0,,,63-70,,Personal foul by W. Chandler (drawn by C. Anthony)
7:32.0,B. Jennings makes 3-pt shot from 25 ft,3,66-70,,
7:11.0,,,66-73,3,E. Mudiay makes 3-pt shot from 25 ft (assist by D. Gallinari)
6:59.0,C. Anthony misses 2-pt shot from 15 ft,,66-73,,
6:57.0,,,66-73,,Defensive rebound by E. Mudiay
6:49.0,,,66-73,,G. Harris misses 3-pt shot from 26 ft
6:47.0,Defensive rebound by J. Noah,,66-73,,
6:38.0,C. Lee misses 2-pt shot from 16 ft,,66-73,,
6:36.0,,,66-73,,Defensive rebound by N. Jokic
6:28.0,,,66-75,2,E. Mudiay makes 2-pt shot from 10 ft
6:16.0,K. Porzingis misses 2-pt shot from 3 ft,,66-75,,
6:15.0,Offensive rebound by J. Noah,,66-75,,
6:14.0,J. Noah misses 2-pt shot from 2 ft,,66-75,,
6:13.0,,,66-75,,Defensive rebound by G. Harris
6:11.0,,,66-75,,Shooting foul by K. Porzingis (drawn by D. Gallinari)
6:11.0,,,66-76,1,D. Gallinari makes free throw 1 of 2
6:11.0,,,66-77,1,D. Gallinari makes free throw 2 of 2
6:11.0,,,66-76,,K. Faried enters the game for N. Jokic
5:57.0,Shooting foul by W. Chandler (drawn by C. Anthony),,66-77,,
5:57.0,C. Anthony makes free throw 1 of 2,1,67-77,,
5:57.0,C. Anthony misses free throw 2 of 2,,67-77,,
5:57.0,W. Hernangomez enters the game for J. Noah,,67-77,,
5:57.0,,,67-77,,W. Barton enters the game for W. Chandler
5:56.0,Offensive rebound by W. Hernangomez,,67-77,,
5:56.0,W. Hernangomez makes 2-pt shot from 1 ft,2,69-77,,
5:32.0,,,69-79,2,K. Faried makes 2-pt shot at rim (assist by D. Gallinari)
5:17.0,Turnover by C. Anthony (lost ball; steal by W. Barton),,69-79,,
5:11.0,,,69-81,2,G. Harris makes 2-pt shot at rim
5:04.0,B. Jennings misses 3-pt shot from 24 ft,,69-81,,
5:03.0,,,69-81,,Defensive rebound by Team
5:03.0,L. Thomas enters the game for K. Porzingis,,69-81,,
4:50.0,Personal foul by W. Hernangomez (drawn by K. Faried),,69-81,,
4:50.0,,,69-82,1,K. Faried makes free throw 1 of 2
4:50.0,,,69-83,1,K. Faried makes free throw 2 of 2
4:37.0,C. Lee misses 2-pt shot from 2 ft (block by K. Faried),,69-83,,
4:36.0,,,69-83,,Defensive rebound by W. Barton
4:28.0,,,69-85,2,K. Faried makes 2-pt shot at rim (assist by D. Gallinari)
4:09.0,,,69-85,,Violation by W. Barton (def goaltending)
4:09.0,L. Thomas makes 2-pt shot from 3 ft,2,71-85,,
3:57.0,Personal foul by C. Lee (drawn by G. Harris),,71-85,,
3:57.0,,,71-85,,G. Harris misses free throw 1 of 2
3:57.0,,,71-85,,Offensive rebound by Team
3:57.0,,,71-86,1,G. Harris makes free throw 2 of 2
3:57.0,,,71-85,,J. Nelson enters the game for E. Mudiay
3:38.0,C. Anthony misses 2-pt shot from 6 ft (block by K. Faried),,71-86,,
3:37.0,,,71-86,,Defensive rebound by W. Barton
3:37.0,Loose ball foul by C. Anthony (drawn by W. Barton),,71-86,,
3:37.0,,,71-87,1,W. Barton makes free throw 1 of 2
3:37.0,,,71-88,1,W. Barton makes free throw 2 of 2
3:23.0,W. Hernangomez makes 2-pt shot from 1 ft (assist by B. Jennings),2,73-88,,
3:08.0,,,73-88,,D. Gallinari misses 3-pt shot from 26 ft
3:07.0,,,73-88,,Offensive rebound by K. Faried
3:00.0,,,73-91,3,W. Barton makes 3-pt shot from 27 ft (assist by J. Nelson)
2:47.0,,,73-91,,Personal foul by K. Faried (drawn by W. Hernangomez)
2:47.0,New York full timeout,,73-91,,
2:47.0,W. Hernangomez makes free throw 1 of 2,1,74-91,,
2:47.0,W. Hernangomez makes free throw 2 of 2,1,75-91,,
2:47.0,,,73-91,,J. Murray enters the game for G. Harris
2:28.0,,,75-93,2,D. Gallinari makes 2-pt shot from 22 ft
2:19.0,Offensive foul by C. Anthony,,75-93,,
2:19.0,Turnover by C. Anthony (offensive foul),,75-93,,
2:08.0,,,75-93,,J. Nelson misses 2-pt shot from 2 ft (block by W. Hernangomez)
2:07.0,,,75-93,,Offensive rebound by K. Faried
2:06.0,,,75-93,,Shooting foul by C. Lee (drawn by K. Faried)
2:06.0,,,75-93,,K. Faried misses free throw 1 of 2
2:06.0,,,75-93,,Offensive rebound by Team
2:06.0,,,75-94,1,K. Faried makes free throw 2 of 2
2:06.0,J. Holiday enters the game for C. Lee,,75-93,,
2:06.0,K. Porzingis enters the game for C. Anthony,,75-93,,
1:46.0,L. Thomas misses 2-pt shot from 3 ft (block by K. Faried),,75-94,,
1:43.0,,,75-94,,Defensive rebound by W. Barton
1:37.0,,,75-96,2,W. Barton makes 2-pt shot from 2 ft
1:29.0,,,75-96,,Personal foul by J. Nelson (drawn by B. Jennings)
1:29.0,B. Jennings makes free throw 1 of 2,1,76-96,,
1:29.0,B. Jennings makes free throw 2 of 2,1,77-96,,
1:08.0,,,77-96,,Turnover by J. Nelson (traveling)
0:58.0,Offensive foul by B. Jennings,,77-96,,
0:58.0,Turnover by B. Jennings (offensive foul),,77-96,,
0:58.0,,,77-96,,D. Arthur enters the game for D. Gallinari
0:37.0,,,77-96,,J. Nelson misses 2-pt shot from 4 ft
0:35.0,Defensive rebound by J. Holiday,,77-96,,
0:22.0,J. Holiday makes 3-pt shot from 25 ft (assist by W. Hernangomez),3,80-96,,
0:04.0,,,80-96,,Shooting foul by J. Holiday (drawn by K. Faried)
0:04.0,,,80-96,,K. Faried misses free throw 1 of 2
0:04.0,,,80-96,,Offensive rebound by Team
0:04.0,,,80-96,,K. Faried misses free throw 2 of 2
0:02.0,Defensive rebound by K. Porzingis,,80-96,,
0:01.0,B. Jennings misses 3-pt shot from 58 ft,,80-96,,
0:00.0,Offensive rebound by Team,,80-96,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,R. Baker misses 3-pt shot from 25 ft (block by D. Arthur),,80-96,,
11:36.0,Offensive rebound by Team,,80-96,,
11:36.0,Turnover by Team (shot clock),,80-96,,
11:31.0,Violation by R. Baker (kicked ball),,80-96,,
11:24.0,Personal foul by J. Holiday (drawn by W. Barton),,80-96,,
11:10.0,,,80-98,2,W. Barton makes 2-pt shot from 1 ft
10:52.0,Shooting foul by D. Arthur (drawn by K. Porzingis),,80-98,,
10:52.0,K. Porzingis makes free throw 1 of 2,1,81-98,,
10:52.0,K. Porzingis makes free throw 2 of 2,1,82-98,,
10:30.0,,,82-98,,D. Arthur misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by W. Hernangomez,,82-98,,
10:12.0,R. Baker misses 3-pt shot from 25 ft,,82-98,,
10:11.0,,,82-98,,Defensive rebound by W. Barton
9:49.0,,,82-98,,J. Murray misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by W. Hernangomez,,82-98,,
9:37.0,K. Porzingis makes 2-pt shot from 15 ft,2,84-98,,
9:21.0,,,84-98,,Shooting foul by W. Hernangomez (drawn by W. Barton)
9:21.0,,,84-98,,W. Barton misses free throw 1 of 2
9:21.0,,,84-98,,Offensive rebound by Team
9:21.0,,,84-98,,W. Barton misses free throw 2 of 2
9:21.0,C. Anthony enters the game for W. Hernangomez,,84-98,,
9:21.0,,,84-98,,E. Mudiay enters the game for J. Nelson
9:21.0,,,84-98,,W. Chandler enters the game for J. Murray
