time,Washington,pts.away,score,pts.home,Minnesota
4:22.0,Shooting foul by B. Rush (drawn by J. Wall),,96-102,,
4:22.0,J. Wall misses free throw 1 of 2,,96-102,,
4:22.0,Offensive rebound by Team,,96-102,,
4:22.0,J. Wall makes free throw 2 of 2,1,97-102,,
4:06.0,,,97-105,3,K. Towns makes 3-pt shot from 25 ft (assist by R. Rubio)
3:41.0,O. Porter misses 2-pt shot from 2 ft,,97-105,,
3:40.0,,,97-105,,Defensive rebound by K. Towns
3:24.0,,,97-105,,A. Wiggins misses 3-pt shot from 25 ft
3:24.0,,,97-105,,Offensive rebound by Team
3:24.0,Loose ball foul by I. Mahinmi (drawn by K. Towns),,97-105,,
3:24.0,,,97-106,1,K. Towns makes free throw 1 of 2
3:24.0,,,97-107,1,K. Towns makes free throw 2 of 2
3:24.0,B. Bogdanovic enters the game for I. Mahinmi,,97-105,,
3:16.0,B. Beal misses 3-pt shot from 24 ft,,97-107,,
3:15.0,,,97-107,,Defensive rebound by B. Rush
2:57.0,,,97-107,,K. Towns misses 2-pt shot from 19 ft
2:56.0,Defensive rebound by B. Beal,,97-107,,
2:42.0,Shooting foul by R. Rubio (drawn by J. Wall),,97-107,,
2:42.0,,,97-107,,Minnesota full timeout
2:42.0,J. Wall makes free throw 1 of 2,1,98-107,,
2:42.0,J. Wall misses free throw 2 of 2,,98-107,,
2:41.0,,,98-107,,Defensive rebound by A. Wiggins
2:25.0,,,98-110,3,K. Towns makes 3-pt shot from 25 ft (assist by R. Rubio)
2:11.0,B. Beal misses 3-pt shot from 23 ft,,98-110,,
2:09.0,Offensive rebound by B. Beal,,98-110,,
2:02.0,B. Beal makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,101-110,,
1:42.0,,,101-110,,K. Towns misses 3-pt shot from 24 ft
1:41.0,,,101-110,,Offensive rebound by R. Rubio
1:24.0,,,101-112,2,R. Rubio makes 2-pt shot from 11 ft
1:17.0,J. Wall misses 2-pt shot from 5 ft (block by A. Wiggins),,101-112,,
1:16.0,,,101-112,,Defensive rebound by Team
0:56.0,,,101-114,2,A. Wiggins makes 2-pt shot from 21 ft
0:56.0,Washington full timeout,,101-114,,
0:50.0,B. Beal misses 3-pt shot from 25 ft,,101-114,,
0:49.0,,,101-114,,Defensive rebound by K. Towns
0:39.0,,,101-116,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
0:39.0,,,101-116,,Shooting foul by B. Beal (drawn by K. Towns)
0:39.0,,,101-117,1,K. Towns makes free throw 1 of 1
0:39.0,B. Jennings enters the game for M. Morris,,101-116,,
0:39.0,S. Mac enters the game for O. Porter,,101-116,,
0:39.0,J. Smith enters the game for B. Beal,,101-116,,
0:39.0,T. Satoransky enters the game for J. Wall,,101-116,,
0:39.0,K. Oubre enters the game for B. Bogdanovic,,101-116,,
0:39.0,,,101-116,,T. Jones enters the game for A. Wiggins
0:39.0,,,101-116,,K. Dunn enters the game for R. Rubio
0:31.0,K. Oubre makes 3-pt shot from 25 ft (assist by B. Jennings),3,104-117,,
0:10.0,,,104-117,,T. Jones misses 2-pt shot from 18 ft
0:09.0,,,104-117,,Offensive rebound by K. Towns
0:09.0,,,104-119,2,K. Towns makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
