time,Utah,pts.away,score,pts.home,Memphis
0:25.0,,,77-85,1,M. Gasol makes free throw 3 of 3
0:25.0,Utah full timeout,,77-85,,
0:25.0,,,77-84,,T. Allen enters the game for Z. Randolph
0:18.0,Shooting foul by V. Carter (drawn by T. Lyles),,77-85,,
0:18.0,T. Lyles makes free throw 1 of 3,1,78-85,,
0:18.0,T. Lyles misses free throw 2 of 3,,78-85,,
0:18.0,Offensive rebound by Team,,78-85,,
0:18.0,T. Lyles makes free throw 3 of 3,1,79-85,,
0:18.0,,,78-85,,Z. Randolph enters the game for T. Allen
0:18.0,J. Ingles enters the game for R. Hood,,78-85,,
0:13.0,,,79-85,,Memphis full timeout
0:13.0,R. Hood enters the game for T. Lyles,,79-85,,
0:13.0,,,79-85,,T. Daniels enters the game for Z. Randolph
0:12.0,,,79-87,2,M. Conley makes 2-pt shot from 3 ft (assist by V. Carter)
0:12.0,,,79-87,,Shooting foul by G. Hill (drawn by M. Conley)
0:12.0,,,79-88,1,M. Conley makes free throw 1 of 1
0:12.0,Utah full timeout,,79-88,,
0:12.0,,,79-87,,T. Allen enters the game for T. Daniels
0:09.0,R. Hood misses 3-pt shot from 25 ft,,79-88,,
0:09.0,,,79-88,,Defensive rebound by J. Ennis
0:00.0,End of 4th quarter,,,,End of 4th quarter
