time,Orlando,pts.away,score,pts.home,LA Lakers
5:20.0,J. Meeks enters the game for A. Gordon,,85-97,,
5:02.0,,,85-97,,J. Clarkson misses 2-pt shot from 4 ft
5:00.0,Defensive rebound by D. Augustin,,85-97,,
4:57.0,J. Meeks misses 2-pt shot from 4 ft (block by B. Ingram),,85-97,,
4:55.0,Offensive rebound by S. Ibaka,,85-97,,
4:52.0,S. Ibaka misses 2-pt shot from 3 ft (block by D. Russell),,85-97,,
4:51.0,,,85-97,,Defensive rebound by D. Russell
4:50.0,,,85-97,,Shooting foul by E. Fournier (drawn by J. Randle)
4:50.0,,,85-98,1,J. Randle makes free throw 1 of 2
4:50.0,,,85-99,1,J. Randle makes free throw 2 of 2
4:38.0,S. Ibaka misses 3-pt shot from 26 ft,,85-99,,
4:37.0,,,85-99,,Defensive rebound by D. Russell
4:22.0,,,85-101,2,B. Ingram makes 2-pt shot from 9 ft (assist by D. Russell)
4:22.0,,,85-101,,Shooting foul by D. Augustin (drawn by B. Ingram)
4:22.0,,,85-102,1,B. Ingram makes free throw 1 of 1
4:22.0,N. Vucevic enters the game for J. Green,,85-101,,
4:10.0,Shooting foul by D. Russell (drawn by E. Fournier),,85-102,,
4:10.0,E. Fournier makes free throw 1 of 2,1,86-102,,
4:10.0,E. Fournier makes free throw 2 of 2,1,87-102,,
4:02.0,Personal foul by E. Fournier (drawn by B. Ingram),,87-102,,
4:02.0,,,87-102,,B. Ingram misses free throw 1 of 2
4:02.0,,,87-102,,Offensive rebound by Team
4:02.0,,,87-103,1,B. Ingram makes free throw 2 of 2
3:51.0,Shooting foul by J. Randle (drawn by S. Ibaka),,87-103,,
3:51.0,S. Ibaka makes free throw 1 of 2,1,88-103,,
3:51.0,S. Ibaka makes free throw 2 of 2,1,89-103,,
3:36.0,,,89-103,,Turnover by D. Russell (lost ball; steal by E. Fournier)
3:32.0,E. Fournier makes 2-pt shot from 2 ft (assist by J. Meeks),2,91-103,,
3:14.0,,,91-103,,J. Clarkson misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by N. Vucevic,,91-103,,
3:03.0,J. Meeks misses 3-pt shot from 25 ft,,91-103,,
3:02.0,Offensive rebound by S. Ibaka,,91-103,,
3:00.0,S. Ibaka makes 2-pt shot from 5 ft,2,93-103,,
2:40.0,,,93-105,2,J. Randle makes 2-pt shot from 2 ft (assist by B. Ingram)
2:20.0,E. Fournier misses 3-pt shot from 25 ft,,93-105,,
2:15.0,,,93-105,,Defensive rebound by D. Russell
2:03.0,,,93-105,,Turnover by D. Russell (lost ball; steal by E. Fournier)
1:58.0,E. Fournier misses 2-pt shot at rim (block by J. Randle),,93-105,,
1:56.0,Offensive rebound by S. Ibaka,,93-105,,
1:53.0,Turnover by S. Ibaka (lost ball; steal by J. Randle),,93-105,,
1:32.0,,,93-107,2,D. Russell makes 2-pt shot from 1 ft (assist by J. Clarkson)
1:32.0,Orlando full timeout,,93-107,,
1:27.0,,,93-107,,Personal foul by D. Russell (drawn by D. Augustin)
1:23.0,Turnover by J. Meeks (bad pass; steal by D. Russell),,93-107,,
1:19.0,,,93-109,2,D. Russell makes 2-pt shot from 1 ft
1:14.0,D. Augustin misses 3-pt shot from 25 ft,,93-109,,
1:09.0,,,93-109,,Defensive rebound by J. Randle
0:53.0,,,93-109,,Turnover by B. Ingram (step out of bounds)
0:53.0,Orlando full timeout,,93-109,,
0:53.0,D. Rudez enters the game for S. Ibaka,,93-109,,
0:53.0,C. Watson enters the game for E. Fournier,,93-109,,
0:53.0,C. Wilcox enters the game for N. Vucevic,,93-109,,
0:53.0,M. Hezonja enters the game for D. Augustin,,93-109,,
0:53.0,A. Gordon enters the game for J. Meeks,,93-109,,
0:40.0,A. Gordon misses 3-pt shot from 24 ft,,93-109,,
0:37.0,,,93-109,,Defensive rebound by J. Clarkson
0:17.0,,,93-111,2,L. Deng makes 2-pt shot from 20 ft (assist by J. Clarkson)
0:12.0,C. Watson misses 2-pt shot from 19 ft,,93-111,,
0:10.0,Offensive rebound by M. Hezonja,,93-111,,
0:09.0,M. Hezonja misses 2-pt shot from 2 ft,,93-111,,
0:08.0,Offensive rebound by M. Hezonja,,93-111,,
0:07.0,Shooting foul by J. Randle (drawn by M. Hezonja),,93-111,,
0:07.0,M. Hezonja makes free throw 1 of 2,1,94-111,,
0:07.0,M. Hezonja makes free throw 2 of 2,1,95-111,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
