time,LA Clippers,pts.away,score,pts.home,Sacramento
6:33.0,Turnover by A. Rivers (lost ball; steal by T. Lawson),,34-34,,
6:28.0,,,34-34,,T. Lawson misses 2-pt shot from 16 ft
6:28.0,Defensive rebound by Team,,34-34,,
6:28.0,J. Redick enters the game for R. Felton,,34-34,,
6:28.0,,,34-34,,D. Cousins enters the game for K. Koufos
6:08.0,A. Rivers misses 3-pt shot from 24 ft,,34-34,,
6:07.0,Offensive rebound by D. Jordan,,34-34,,
5:56.0,J. Redick misses 3-pt shot from 23 ft,,34-34,,
5:55.0,Offensive rebound by A. Rivers,,34-34,,
5:44.0,J. Crawford misses 2-pt shot from 9 ft,,34-34,,
5:43.0,,,34-34,,Defensive rebound by R. Gay
5:25.0,,,34-34,,A. Afflalo misses 2-pt shot from 10 ft
5:24.0,Defensive rebound by C. Paul,,34-34,,
5:14.0,C. Paul makes 2-pt shot from 17 ft,2,36-34,,
4:52.0,,,36-34,,Shooting foul by D. Jordan (drawn by D. Cousins)
4:52.0,,,36-34,,D. Cousins misses free throw 1 of 2
4:52.0,,,36-34,,Offensive rebound by Team
4:52.0,,,36-35,1,D. Cousins makes free throw 2 of 2
4:52.0,,,36-34,,D. Collison enters the game for T. Lawson
4:41.0,Turnover by J. Crawford (bad pass; steal by D. Cousins),,36-35,,
4:35.0,,,36-35,,Turnover by D. Cousins (lost ball; steal by C. Paul)
4:30.0,A. Rivers misses 2-pt shot from 2 ft,,36-35,,
4:29.0,,,36-35,,Defensive rebound by D. Collison
4:23.0,,,36-35,,R. Gay misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by D. Jordan,,36-35,,
4:16.0,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul),3,39-35,,
3:54.0,,,39-35,,D. Cousins misses 2-pt shot from 6 ft
3:54.0,Defensive rebound by D. Jordan,,39-35,,
3:34.0,J. Redick makes 2-pt shot from 4 ft,2,41-35,,
3:09.0,,,41-37,2,D. Collison makes 2-pt shot from 3 ft (assist by D. Cousins)
3:08.0,LA Clippers full timeout,,41-37,,
3:08.0,,,41-37,,T. Lawson enters the game for G. Temple
3:08.0,,,41-37,,M. Barnes enters the game for A. Afflalo
3:08.0,L. Mbah a Moute enters the game for C. Paul,,41-37,,
2:52.0,J. Crawford misses 3-pt shot from 26 ft,,41-37,,
2:51.0,,,41-37,,Defensive rebound by M. Barnes
2:27.0,,,41-37,,D. Cousins misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by J. Redick,,41-37,,
2:17.0,D. Jordan makes 2-pt shot from 2 ft (assist by J. Crawford),2,43-37,,
2:17.0,Shooting foul by M. Barnes (drawn by D. Jordan),,43-37,,
2:17.0,D. Jordan makes free throw 1 of 1,1,44-37,,
2:02.0,,,44-37,,R. Gay misses 2-pt shot from 13 ft
2:02.0,Defensive rebound by D. Jordan,,44-37,,
1:53.0,D. Jordan makes 2-pt shot at rim (assist by A. Rivers),2,46-37,,
1:21.0,,,46-39,2,T. Lawson makes 2-pt shot from 3 ft (assist by D. Cousins)
1:04.0,A. Rivers makes 2-pt shot from 5 ft,2,48-39,,
0:56.0,,,48-39,,M. Barnes misses 2-pt shot from 4 ft (block by J. Crawford)
0:55.0,,,48-39,,Offensive rebound by D. Collison
0:55.0,,,48-39,,D. Collison misses 2-pt shot from 3 ft
0:53.0,Defensive rebound by D. Jordan,,48-39,,
0:49.0,A. Rivers makes 2-pt shot from 2 ft (assist by D. Jordan),2,50-39,,
0:34.0,,,50-39,,M. Barnes misses 2-pt shot from 3 ft
0:33.0,Defensive rebound by D. Jordan,,50-39,,
0:30.0,J. Redick makes 3-pt shot from 24 ft (assist by J. Crawford),3,53-39,,
0:12.0,Personal foul by A. Rivers (drawn by D. Collison),,53-39,,
0:03.0,,,53-39,,Shooting foul by J. Redick (drawn by D. Cousins)
0:03.0,,,53-39,,D. Cousins misses free throw 1 of 3
0:03.0,,,53-39,,Offensive rebound by Team
0:03.0,LA Clippers full timeout,,53-39,,
0:03.0,,,53-40,1,D. Cousins makes free throw 2 of 3
0:03.0,,,53-41,1,D. Cousins makes free throw 3 of 3
0:03.0,C. Paul enters the game for L. Mbah a Moute,,53-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,L. Mbah a Moute misses 2-pt shot from 8 ft,,53-41,,
11:38.0,,,53-41,,Defensive rebound by T. Lawson
11:21.0,,,53-44,3,D. Collison makes 3-pt shot from 26 ft (assist by D. Cousins)
10:55.0,D. Jordan makes 2-pt shot at rim (assist by J. Redick),2,55-44,,
10:38.0,,,55-44,,D. Cousins misses 2-pt shot from 18 ft
10:38.0,Defensive rebound by D. Jordan,,55-44,,
10:34.0,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul),2,57-44,,
10:04.0,,,57-46,2,T. Lawson makes 2-pt shot from 19 ft
9:47.0,J. Redick misses 3-pt shot from 25 ft,,57-46,,
9:46.0,,,57-46,,Defensive rebound by D. Cousins
9:38.0,,,57-46,,Shooting foul by J. Redick (drawn by R. Gay)
9:38.0,,,57-47,1,R. Gay makes free throw 1 of 2
9:38.0,,,57-48,1,R. Gay makes free throw 2 of 2
9:26.0,Turnover by C. Paul (bad pass),,57-48,,
9:05.0,,,57-48,,M. Barnes misses 3-pt shot from 25 ft
9:04.0,,,57-48,,Offensive rebound by R. Gay
9:02.0,,,57-50,2,R. Gay makes 2-pt shot from 2 ft
8:39.0,Turnover by A. Rivers (traveling),,57-50,,
8:39.0,Violation by Team (jump ball),,57-50,,
8:22.0,,,57-52,2,D. Cousins makes 2-pt shot from 17 ft (assist by M. Barnes)
8:22.0,LA Clippers full timeout,,57-52,,
8:05.0,J. Redick makes 3-pt shot from 24 ft (assist by A. Rivers),3,60-52,,
7:44.0,,,60-54,2,R. Gay makes 2-pt shot from 7 ft
7:28.0,J. Redick makes 3-pt shot from 23 ft (assist by D. Jordan),3,63-54,,
7:09.0,,,63-54,,T. Lawson misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by J. Redick,,63-54,,
6:52.0,L. Mbah a Moute misses 2-pt shot from 3 ft (block by D. Cousins),,63-54,,
6:51.0,,,63-54,,Defensive rebound by T. Lawson
6:35.0,,,63-57,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Gay)
6:15.0,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul),2,65-57,,
5:58.0,,,65-60,3,M. Barnes makes 3-pt shot from 24 ft (assist by D. Cousins)
5:50.0,,,65-60,,Personal foul by M. Barnes (drawn by C. Paul)
5:42.0,Turnover by C. Paul (lost ball),,65-60,,
5:42.0,,,65-60,,G. Temple enters the game for T. Lawson
5:42.0,J. Crawford enters the game for C. Paul,,65-60,,
5:41.0,Jump ball: R. Gay vs. D. Jordan,,,,Jump ball: R. Gay vs. D. Jordan
5:21.0,Def 3 sec tech foul by L. Mbah a Moute,,65-60,,
5:21.0,,,65-61,1,D. Cousins makes technical free throw
5:15.0,Personal foul by D. Jordan (drawn by D. Cousins),,65-61,,
5:06.0,,,65-63,2,G. Temple makes 2-pt shot from 19 ft (assist by M. Barnes)
4:39.0,J. Crawford misses 3-pt shot from 27 ft,,65-63,,
4:38.0,,,65-63,,Defensive rebound by M. Barnes
4:29.0,,,65-63,,Turnover by D. Cousins (lost ball; steal by J. Crawford)
4:25.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,67-63,,
4:23.0,Technical foul by D. Jordan,,67-63,,
4:23.0,,,67-64,1,D. Collison makes technical free throw
4:23.0,,,67-64,,A. Afflalo enters the game for R. Gay
4:14.0,,,67-66,2,D. Collison makes 2-pt shot from 15 ft
3:52.0,J. Crawford makes 2-pt shot from 17 ft,2,69-66,,
3:52.0,Shooting foul by D. Collison (drawn by J. Crawford),,69-66,,
3:52.0,J. Crawford misses free throw 1 of 1,,69-66,,
3:52.0,R. Felton enters the game for L. Mbah a Moute,,69-66,,
