time,Miami,pts.away,score,pts.home,Dallas
0:25.0,J. Johnson misses 3-pt shot from 27 ft,,89-92,,
0:24.0,,,89-92,,Defensive rebound by W. Matthews
0:24.0,Personal foul by G. Dragic (drawn by W. Matthews),,89-92,,
0:24.0,,,89-93,1,W. Matthews makes free throw 1 of 2
0:24.0,,,89-94,1,W. Matthews makes free throw 2 of 2
0:24.0,Miami full timeout,,89-94,,
0:24.0,,,89-93,,N. Noel enters the game for D. Nowitzki
0:24.0,W. Ellington enters the game for H. Whiteside,,89-94,,
0:22.0,G. Dragic misses 3-pt shot from 23 ft,,89-94,,
0:20.0,,,89-94,,Defensive rebound by W. Matthews
0:16.0,Personal take foul by D. Waiters (drawn by W. Matthews),,89-94,,
0:16.0,,,89-95,1,W. Matthews makes free throw 1 of 2
0:16.0,,,89-96,1,W. Matthews makes free throw 2 of 2
0:16.0,Miami full timeout,,89-96,,
0:16.0,H. Whiteside enters the game for W. Ellington,,89-95,,
0:16.0,W. Ellington enters the game for H. Whiteside,,89-96,,
0:10.0,J. Johnson misses 3-pt shot from 26 ft,,89-96,,
0:09.0,,,89-96,,Defensive rebound by N. Noel
0:00.0,End of 4th quarter,,,,End of 4th quarter
