time,Detroit,pts.away,score,pts.home,Brooklyn
3:42.0,,,93-101,2,B. Lopez makes 2-pt shot at rim (assist by B. Bogdanovic)
3:30.0,Turnover by I. Smith (lost ball; steal by S. Kilpatrick),,93-101,,
3:24.0,,,93-101,,T. Booker misses 2-pt shot from 2 ft
3:22.0,Defensive rebound by K. Caldwell-Pope,,93-101,,
3:13.0,T. Harris makes 2-pt shot from 4 ft (assist by I. Smith),2,95-101,,
2:57.0,,,95-103,2,J. Harris makes 2-pt shot from 6 ft (assist by S. Kilpatrick)
2:37.0,M. Morris makes 3-pt shot from 24 ft,3,98-103,,
2:21.0,,,98-103,,B. Bogdanovic misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by K. Caldwell-Pope,,98-103,,
2:13.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,98-103,,
2:12.0,,,98-103,,Defensive rebound by S. Kilpatrick
1:55.0,,,98-103,,J. Harris misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by M. Morris,,98-103,,
1:43.0,J. Leuer misses 3-pt shot from 24 ft,,98-103,,
1:42.0,,,98-103,,Defensive rebound by J. Harris
1:34.0,,,98-103,,Brooklyn full timeout
1:34.0,Detroit full timeout,,98-103,,
1:34.0,A. Baynes enters the game for J. Leuer,,98-103,,
1:22.0,,,98-103,,S. Kilpatrick misses 2-pt shot from 6 ft
1:21.0,Defensive rebound by A. Baynes,,98-103,,
1:20.0,Turnover by A. Baynes (lost ball; steal by T. Booker),,98-103,,
1:02.0,,,98-103,,Turnover by S. Kilpatrick (lost ball; steal by T. Harris)
0:58.0,K. Caldwell-Pope misses 2-pt shot from 1 ft (block by T. Booker),,98-103,,
0:55.0,,,98-103,,Defensive rebound by S. Kilpatrick
0:51.0,Personal foul by K. Caldwell-Pope (drawn by S. Kilpatrick),,98-103,,
0:51.0,S. Johnson enters the game for K. Caldwell-Pope,,98-103,,
0:46.0,Personal foul by M. Morris (drawn by B. Bogdanovic),,98-103,,
0:46.0,,,98-104,1,B. Bogdanovic makes free throw 1 of 2
0:46.0,,,98-105,1,B. Bogdanovic makes free throw 2 of 2
0:46.0,K. Caldwell-Pope enters the game for S. Johnson,,98-104,,
0:46.0,,,98-104,,R. Hollis-Jefferson enters the game for J. Harris
0:39.0,T. Harris makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,101-105,,
0:18.0,,,101-105,,S. Kilpatrick misses 2-pt shot from 3 ft
0:17.0,,,101-105,,Offensive rebound by T. Booker
0:15.0,Personal foul by M. Morris (drawn by B. Lopez),,101-105,,
0:15.0,,,101-106,1,B. Lopez makes free throw 1 of 2
0:15.0,,,101-107,1,B. Lopez makes free throw 2 of 2
0:15.0,Detroit full timeout,,101-107,,
0:15.0,,,101-107,,J. Harris enters the game for B. Lopez
0:15.0,B. Udrih enters the game for I. Smith,,101-107,,
0:11.0,M. Morris misses 3-pt shot from 26 ft,,101-107,,
0:10.0,,,101-107,,Defensive rebound by S. Kilpatrick
0:09.0,Personal foul by T. Harris (drawn by S. Kilpatrick),,101-107,,
0:09.0,,,101-108,1,S. Kilpatrick makes free throw 1 of 2
0:09.0,,,101-109,1,S. Kilpatrick makes free throw 2 of 2
0:09.0,Detroit full timeout,,101-109,,
0:06.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,101-109,,
0:05.0,,,101-109,,Defensive rebound by S. Kilpatrick
0:00.0,End of 4th quarter,,,,End of 4th quarter
