time,Boston,pts.away,score,pts.home,Portland
4:34.0,Offensive rebound by Team,,102-100,,
4:32.0,Turnover by I. Thomas (lost ball),,102-100,,
4:17.0,,,102-100,,C. McCollum misses 2-pt shot from 20 ft
4:17.0,Defensive rebound by J. Brown,,102-100,,
3:55.0,I. Thomas misses 3-pt shot from 26 ft,,102-100,,
3:53.0,Offensive rebound by J. Brown,,102-100,,
3:50.0,J. Brown makes 2-pt shot from 1 ft,2,104-100,,
3:27.0,,,104-102,2,D. Lillard makes 2-pt shot from 14 ft
3:02.0,,,104-102,,Personal foul by A. Crabbe (drawn by A. Horford)
3:02.0,T. Rozier enters the game for K. Olynyk,,104-102,,
2:54.0,I. Thomas makes 2-pt shot from 2 ft,2,106-102,,
2:39.0,,,106-102,,Shooting foul by A. Horford (drawn by D. Lillard)
2:39.0,Boston full timeout,,106-102,,
2:39.0,,,106-103,1,D. Lillard makes free throw 1 of 2
2:39.0,,,106-104,1,D. Lillard makes free throw 2 of 2
2:18.0,J. Brown misses 2-pt shot from 3 ft,,106-104,,
2:17.0,,,106-104,,Defensive rebound by A. Aminu
2:11.0,,,106-104,,Turnover by A. Aminu (lost ball; steal by M. Smart)
2:10.0,Shooting foul by C. McCollum (drawn by J. Brown),,106-104,,
2:10.0,J. Brown makes free throw 1 of 2,1,107-104,,
2:10.0,J. Brown makes free throw 2 of 2,1,108-104,,
1:51.0,,,108-104,,A. Aminu misses 3-pt shot from 23 ft
1:50.0,Defensive rebound by A. Horford,,108-104,,
1:41.0,Boston full timeout,,108-104,,
1:37.0,A. Horford misses 2-pt shot from 1 ft (block by M. Plumlee),,108-104,,
1:36.0,Offensive rebound by M. Smart,,108-104,,
1:36.0,M. Smart makes 2-pt shot from 1 ft,2,110-104,,
1:27.0,,,110-104,,Offensive charge foul by D. Lillard
1:27.0,,,110-104,,Turnover by D. Lillard (offensive foul)
1:12.0,Shooting foul by D. Lillard (drawn by J. Brown),,110-104,,
1:12.0,J. Brown makes free throw 1 of 2,1,111-104,,
1:12.0,J. Brown makes free throw 2 of 2,1,112-104,,
1:12.0,,,112-104,,Portland full timeout
1:12.0,Violation by Team (jump ball),,112-104,,
1:12.0,,,112-104,,P. Connaughton enters the game for M. Plumlee
1:12.0,,,112-104,,M. Leonard enters the game for A. Aminu
1:08.0,,,112-104,,C. McCollum misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by M. Smart,,112-104,,
1:00.0,I. Thomas makes 2-pt shot from 1 ft,2,114-104,,
0:48.0,,,114-107,3,A. Crabbe makes 3-pt shot from 25 ft (assist by M. Leonard)
0:46.0,,,114-107,,Personal take foul by C. McCollum (drawn by I. Thomas)
0:46.0,I. Thomas makes free throw 1 of 2,1,115-107,,
0:46.0,I. Thomas makes free throw 2 of 2,1,116-107,,
0:39.0,,,116-109,2,D. Lillard makes 2-pt shot from 1 ft
0:36.0,M. Smart makes 2-pt shot at rim (assist by J. Brown),2,118-109,,
0:30.0,,,118-111,2,C. McCollum makes 2-pt shot from 1 ft
0:28.0,,,118-111,,Personal take foul by C. McCollum (drawn by I. Thomas)
0:28.0,I. Thomas makes free throw 1 of 2,1,119-111,,
0:28.0,I. Thomas makes free throw 2 of 2,1,120-111,,
0:19.0,,,120-111,,D. Lillard misses 3-pt shot from 24 ft
0:19.0,Defensive rebound by I. Thomas,,120-111,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
