time,New Orleans,pts.away,score,pts.home,LA Lakers
2:44.0,New Orleans full timeout,,91-106,,
2:40.0,,,91-106,,M. World Peace misses 2-pt shot from 17 ft
2:35.0,Defensive rebound by C. Diallo,,91-106,,
2:23.0,A. Toupane misses 2-pt shot from 21 ft,,91-106,,
2:17.0,,,91-106,,Defensive rebound by L. Nance
2:00.0,,,91-106,,M. World Peace misses 2-pt shot from 2 ft
1:58.0,Defensive rebound by C. Diallo,,91-106,,
1:52.0,Turnover by A. Ajinca (lost ball; steal by T. Ennis),,91-106,,
1:44.0,,,91-106,,M. World Peace misses 3-pt shot from 24 ft
1:43.0,Defensive rebound by J. Crawford,,91-106,,
1:39.0,J. Crawford makes 2-pt shot from 1 ft,2,93-106,,
1:14.0,,,93-106,,M. World Peace misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by A. Ajinca,,93-106,,
1:01.0,J. Crawford makes 3-pt shot from 25 ft (assist by Q. Cook),3,96-106,,
0:40.0,,,96-108,2,D. Nwaba makes 2-pt shot at rim (assist by L. Nance)
0:31.0,Q. Cook misses 2-pt shot from 2 ft,,96-108,,
0:26.0,,,96-108,,Defensive rebound by L. Nance
0:07.0,,,96-108,,Turnover by Team (shot clock)
0:04.0,J. Crawford misses 3-pt shot from 26 ft,,96-108,,
0:01.0,,,96-108,,Defensive rebound by L. Nance
0:00.0,End of 4th quarter,,,,End of 4th quarter
