time,New Orleans,pts.away,score,pts.home,Washington
1:09.0,Turnover by J. Holiday (lost ball; steal by J. Wall),,91-102,,
1:09.0,,,91-102,,Washington full timeout
0:48.0,,,91-102,,J. Wall misses 2-pt shot from 19 ft
0:47.0,,,91-102,,Offensive rebound by Team
0:47.0,,,91-102,,J. Wall misses 3-pt shot from 19 ft
0:47.0,,,91-102,,Offensive rebound by Team
0:47.0,,,91-102,,Turnover by Team (shot clock)
0:36.0,T. Jones misses 3-pt shot from 30 ft,,91-102,,
0:36.0,,,91-102,,Defensive rebound by O. Porter
0:15.0,,,91-105,3,M. Morris makes 3-pt shot from 25 ft (assist by J. Wall)
0:00.0,End of 4th quarter,,,,End of 4th quarter
