time,Atlanta,pts.away,score,pts.home,Oklahoma City
3:54.0,D. Schroder makes free throw 1 of 2,1,99-104,,
3:54.0,D. Schroder makes free throw 2 of 2,1,100-104,,
3:38.0,,,100-104,,A. Morrow misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by K. Bazemore,,100-104,,
3:24.0,D. Schroder misses 2-pt shot from 1 ft (block by K. Singler),,100-104,,
3:24.0,Offensive rebound by Team,,100-104,,
3:24.0,,,100-104,,A. Roberson enters the game for A. Morrow
3:16.0,T. Sefolosha makes 2-pt shot from 10 ft (assist by K. Korver),2,102-104,,
2:56.0,,,102-104,,R. Westbrook misses 2-pt shot from 20 ft
2:56.0,Defensive rebound by D. Schroder,,102-104,,
2:48.0,K. Korver misses 3-pt shot from 25 ft,,102-104,,
2:46.0,Offensive rebound by D. Schroder,,102-104,,
2:36.0,Turnover by K. Bazemore (bad pass),,102-104,,
2:36.0,,,102-104,,Oklahoma City full timeout
2:15.0,,,102-106,2,R. Westbrook makes 2-pt shot from 15 ft
2:01.0,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder),2,104-106,,
1:44.0,,,104-106,,A. Roberson misses 2-pt shot from 3 ft
1:43.0,Defensive rebound by P. Millsap,,104-106,,
1:26.0,K. Bazemore makes 2-pt shot from 22 ft,2,106-106,,
1:07.0,,,106-106,,R. Westbrook misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by K. Bazemore,,106-106,,
0:49.0,D. Schroder makes 2-pt shot from 18 ft,2,108-106,,
0:49.0,,,108-106,,Oklahoma City full timeout
0:49.0,,,108-106,,A. Morrow enters the game for A. Roberson
0:32.0,,,108-108,2,R. Westbrook makes 2-pt shot from 12 ft
0:32.0,Atlanta full timeout,,108-108,,
0:32.0,,,108-108,,A. Roberson enters the game for A. Morrow
0:32.0,,,108-108,,S. Christon enters the game for S. Adams
0:13.0,P. Millsap makes 2-pt shot from 10 ft (assist by K. Korver),2,110-108,,
0:05.0,,,110-108,,R. Westbrook misses 2-pt shot from 5 ft
0:04.0,,,110-108,,Offensive rebound by R. Westbrook
0:03.0,,,110-108,,R. Westbrook misses 2-pt shot from 5 ft (block by K. Bazemore)
0:03.0,,,110-108,,Offensive rebound by Team
0:03.0,,,110-108,,Oklahoma City full timeout
0:03.0,,,110-108,,S. Adams enters the game for S. Christon
0:03.0,,,110-108,,A. Morrow enters the game for A. Roberson
0:02.0,,,110-108,,R. Westbrook misses 3-pt shot from 2 ft
0:00.0,,,110-108,,Offensive rebound by S. Adams
0:00.0,End of 4th quarter,,,,End of 4th quarter
