time,Brooklyn,pts.away,score,pts.home,Sacramento
5:06.0,S. Dinwiddie enters the game for I. Whitehead,,95-84,,
5:05.0,Jump ball: Q. Acy vs. T. Lawson (B. Lopez gains possession),,,,Jump ball: Q. Acy vs. T. Lawson (B. Lopez gains possession)
4:42.0,J. Lin misses 2-pt shot from 4 ft,,95-84,,
4:41.0,,,95-84,,Defensive rebound by K. Koufos
4:29.0,,,95-86,2,T. Evans makes 2-pt shot from 3 ft
4:29.0,Brooklyn full timeout,,95-86,,
4:29.0,T. Booker enters the game for Q. Acy,,95-86,,
4:10.0,J. Lin makes 2-pt shot from 3 ft (assist by T. Booker),2,97-86,,
3:46.0,,,97-86,,Shooting foul by T. Booker (drawn by T. Evans)
3:46.0,,,97-87,1,T. Evans makes free throw 1 of 2
3:46.0,,,97-88,1,T. Evans makes free throw 2 of 2
3:26.0,C. LeVert makes 2-pt shot from 4 ft (assist by T. Booker),2,99-88,,
3:15.0,,,99-91,3,T. Evans makes 3-pt shot from 26 ft (assist by T. Lawson)
3:01.0,B. Lopez misses 3-pt shot from 25 ft,,99-91,,
3:01.0,,,99-91,,Defensive rebound by T. Lawson
2:55.0,,,99-91,,T. Lawson misses 2-pt shot from 12 ft
2:55.0,Defensive rebound by T. Booker,,99-91,,
2:46.0,C. LeVert misses 2-pt shot from 2 ft,,99-91,,
2:45.0,Offensive rebound by B. Lopez,,99-91,,
2:45.0,B. Lopez misses 2-pt shot from 2 ft,,99-91,,
2:43.0,,,99-91,,Defensive rebound by T. Evans
2:34.0,,,99-93,2,T. Evans makes 2-pt shot from 18 ft
2:33.0,Brooklyn full timeout,,99-93,,
2:20.0,Offensive foul by B. Lopez,,99-93,,
2:20.0,Turnover by B. Lopez (offensive foul),,99-93,,
2:08.0,Personal foul by S. Dinwiddie (drawn by B. Hield),,99-93,,
2:00.0,,,99-93,,B. Hield misses 3-pt shot from 24 ft
1:59.0,Defensive rebound by C. LeVert,,99-93,,
1:47.0,B. Lopez makes 2-pt shot from 16 ft (assist by J. Lin),2,101-93,,
1:40.0,,,101-95,2,T. Lawson makes 2-pt shot from 11 ft
1:27.0,,,101-95,,Personal foul by D. Collison (drawn by J. Lin)
1:27.0,J. Lin makes free throw 1 of 2,1,102-95,,
1:27.0,J. Lin makes free throw 2 of 2,1,103-95,,
1:27.0,,,102-95,,A. Tolliver enters the game for T. Evans
1:18.0,,,103-97,2,T. Lawson makes 2-pt shot from 7 ft
0:58.0,J. Lin misses 3-pt shot from 25 ft,,103-97,,
0:58.0,Offensive rebound by C. LeVert,,103-97,,
0:45.0,Brooklyn full timeout,,103-97,,
0:37.0,Turnover by C. LeVert (lost ball; steal by B. Hield),,103-97,,
0:36.0,Personal foul by S. Dinwiddie (drawn by T. Lawson),,103-97,,
0:30.0,,,103-99,2,T. Lawson makes 2-pt shot from 2 ft
0:26.0,Brooklyn full timeout,,103-99,,
0:26.0,R. Foye enters the game for C. LeVert,,103-99,,
0:26.0,J. Hamilton enters the game for T. Booker,,103-99,,
0:22.0,,,103-99,,Personal foul by A. Tolliver (drawn by R. Foye)
0:22.0,R. Foye makes free throw 1 of 2,1,104-99,,
0:22.0,R. Foye makes free throw 2 of 2,1,105-99,,
0:22.0,T. Booker enters the game for J. Hamilton,,104-99,,
0:13.0,,,105-99,,A. Tolliver misses 2-pt shot from 5 ft
0:12.0,Defensive rebound by J. Lin,,105-99,,
0:12.0,,,105-99,,Personal foul by T. Lawson (drawn by J. Lin)
0:12.0,J. Lin makes free throw 1 of 2,1,106-99,,
0:12.0,J. Lin makes free throw 2 of 2,1,107-99,,
0:12.0,,,107-99,,Sacramento full timeout
0:05.0,,,107-99,,Shooting foul by B. Lopez (drawn by A. Tolliver)
0:05.0,,,107-100,1,A. Tolliver makes free throw 1 of 2
0:05.0,Violation by R. Foye (lane),,107-100,,
0:05.0,,,107-100,,A. Tolliver misses free throw 2 of 2
0:05.0,C. LeVert enters the game for T. Booker,,107-100,,
0:03.0,Defensive rebound by B. Lopez,,107-100,,
0:03.0,,,107-100,,Personal foul by B. Hield (drawn by B. Lopez)
0:03.0,B. Lopez makes free throw 1 of 2,1,108-100,,
0:03.0,B. Lopez makes free throw 2 of 2,1,109-100,,
0:03.0,I. Whitehead enters the game for J. Lin,,108-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
