time,Washington,pts.away,score,pts.home,Phoenix
11:06.0,,,97-92,,T. Ulis misses 2-pt shot from 17 ft
11:01.0,Defensive rebound by J. Smith,,97-92,,
10:55.0,T. Burke misses 2-pt shot from 15 ft,,97-92,,
10:50.0,,,97-92,,Defensive rebound by T. Ulis
10:45.0,Shooting block foul by J. Smith (drawn by A. Williams),,97-92,,
10:45.0,,,97-92,,A. Williams misses free throw 1 of 2
10:45.0,,,97-92,,Offensive rebound by Team
10:45.0,,,97-92,,A. Williams misses free throw 2 of 2
10:44.0,Defensive rebound by J. Smith,,97-92,,
10:26.0,T. Satoransky misses 3-pt shot from 25 ft,,97-92,,
10:24.0,,,97-92,,Defensive rebound by A. Williams
10:15.0,,,97-94,2,T. Ulis makes 2-pt shot from 12 ft
10:00.0,Shooting foul by A. Williams (drawn by B. Bogdanovic),,97-94,,
10:00.0,B. Bogdanovic makes free throw 1 of 2,1,98-94,,
10:00.0,B. Bogdanovic makes free throw 2 of 2,1,99-94,,
10:00.0,B. Beal enters the game for T. Burke,,98-94,,
10:00.0,,,98-94,,A. Len enters the game for A. Williams
9:50.0,,,99-96,2,A. Len makes 2-pt shot at rim (assist by T. Ulis)
9:33.0,I. Mahinmi misses 2-pt shot from 6 ft (block by M. Chriss),,99-96,,
9:29.0,,,99-96,,Defensive rebound by T. Ulis
9:16.0,,,99-99,3,L. Barbosa makes 3-pt shot from 25 ft
9:14.0,Washington full timeout,,99-99,,
8:58.0,I. Mahinmi makes 2-pt shot from 6 ft (assist by J. Smith),2,101-99,,
8:38.0,,,101-102,3,M. Chriss makes 3-pt shot from 26 ft (assist by L. Barbosa)
8:16.0,B. Beal misses 3-pt shot from 26 ft,,101-102,,
8:14.0,,,101-102,,Defensive rebound by M. Chriss
7:57.0,,,101-104,2,T. Ulis makes 2-pt shot from 1 ft
7:42.0,J. Wall enters the game for I. Mahinmi,,101-104,,
7:42.0,M. Gortat enters the game for J. Smith,,101-104,,
7:42.0,M. Morris enters the game for T. Satoransky,,101-104,,
7:38.0,B. Beal makes 2-pt shot from 1 ft,2,103-104,,
7:27.0,,,103-104,,T. Ulis misses 2-pt shot from 9 ft
7:25.0,Defensive rebound by J. Wall,,103-104,,
7:14.0,Turnover by J. Wall (bad pass; steal by A. Len),,103-104,,
7:08.0,,,103-104,,L. Barbosa misses 3-pt shot from 23 ft
7:04.0,Defensive rebound by M. Gortat,,103-104,,
7:01.0,B. Bogdanovic makes 2-pt shot at rim (assist by J. Wall),2,105-104,,
7:01.0,Shooting foul by A. Len (drawn by B. Bogdanovic),,105-104,,
7:01.0,B. Bogdanovic makes free throw 1 of 1,1,106-104,,
6:44.0,,,106-104,,Shooting foul by B. Beal (drawn by L. Barbosa)
6:44.0,,,106-105,1,L. Barbosa makes free throw 1 of 2
6:44.0,,,106-106,1,L. Barbosa makes free throw 2 of 2
6:44.0,,,106-105,,T. Warren enters the game for A. Len
6:29.0,,,106-106,,Shooting block foul by M. Chriss (drawn by J. Wall)
6:29.0,J. Wall makes free throw 1 of 2,1,107-106,,
6:29.0,J. Wall makes free throw 2 of 2,1,108-106,,
6:14.0,,,108-106,,Turnover by L. Barbosa (bad pass; steal by J. Wall)
6:10.0,M. Morris makes 2-pt shot from 1 ft (assist by J. Wall),2,110-106,,
6:10.0,,,110-106,,Phoenix full timeout
6:10.0,,,110-106,,D. Booker enters the game for L. Barbosa
5:53.0,,,110-108,2,D. Jones makes 2-pt shot at rim (assist by D. Booker)
5:35.0,B. Beal misses 2-pt shot from 3 ft,,110-108,,
5:30.0,,,110-108,,Defensive rebound by Team
5:16.0,,,110-110,2,T. Ulis makes 2-pt shot from 16 ft
4:56.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by M. Gortat),3,113-110,,
4:30.0,,,113-110,,T. Warren misses 3-pt shot from 24 ft
4:28.0,Defensive rebound by B. Bogdanovic,,113-110,,
4:17.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,115-110,,
4:06.0,,,115-110,,D. Booker misses 2-pt shot from 2 ft (block by J. Wall)
4:04.0,,,115-110,,Offensive rebound by M. Chriss
4:04.0,,,115-110,,Offensive charge foul by M. Chriss
4:04.0,,,115-110,,Turnover by M. Chriss (offensive foul)
4:04.0,,,115-110,,A. Williams enters the game for M. Chriss
4:04.0,,,115-110,,E. Bledsoe enters the game for D. Jones
3:54.0,J. Wall makes 2-pt shot from 1 ft,2,117-110,,
3:54.0,Shooting foul by A. Williams (drawn by J. Wall),,117-110,,
3:54.0,J. Wall makes free throw 1 of 1,1,118-110,,
3:54.0,,,117-110,,A. Len enters the game for A. Williams
3:30.0,,,118-110,,T. Warren misses 2-pt shot from 13 ft
3:28.0,,,118-110,,Offensive rebound by A. Len
3:28.0,,,118-112,2,A. Len makes 2-pt shot from 1 ft
3:03.0,B. Beal makes 2-pt shot from 2 ft (assist by M. Morris),2,120-112,,
2:56.0,,,120-112,,E. Bledsoe misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by J. Wall,,120-112,,
2:50.0,J. Wall makes 2-pt shot from 1 ft,2,122-112,,
2:46.0,,,122-112,,Phoenix full timeout
2:46.0,Official timeout,,122-112,,
2:46.0,,,122-112,,D. Jones enters the game for T. Ulis
2:39.0,,,122-112,,Turnover by A. Len (offensive goaltending)
2:21.0,J. Wall misses 2-pt shot from 17 ft,,122-112,,
2:18.0,,,122-112,,Defensive rebound by A. Len
2:12.0,,,122-112,,Shooting foul by M. Gortat (drawn by E. Bledsoe)
2:12.0,,,122-113,1,E. Bledsoe makes free throw 1 of 2
2:12.0,,,122-114,1,E. Bledsoe makes free throw 2 of 2
1:49.0,M. Gortat misses 2-pt shot from 14 ft,,122-114,,
1:46.0,,,122-114,,Defensive rebound by T. Warren
1:41.0,,,122-116,2,T. Warren makes 2-pt shot from 1 ft (assist by E. Bledsoe)
1:22.0,J. Wall misses 2-pt shot from 1 ft,,122-116,,
1:19.0,,,122-116,,Defensive rebound by A. Len
1:17.0,,,122-116,,T. Warren misses 2-pt shot from 2 ft (block by M. Gortat)
1:13.0,Defensive rebound by B. Bogdanovic,,122-116,,
1:06.0,Turnover by M. Morris (step out of bounds),,122-116,,
0:56.0,,,122-118,2,E. Bledsoe makes 2-pt shot from 1 ft
0:40.0,B. Beal makes 2-pt shot at rim,2,124-118,,
0:40.0,,,124-118,,Phoenix full timeout
0:40.0,,,124-118,,L. Barbosa enters the game for D. Jones
0:40.0,O. Porter enters the game for M. Gortat,,124-118,,
0:33.0,,,124-118,,E. Bledsoe misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by B. Bogdanovic,,124-118,,
0:29.0,,,124-118,,Personal block foul by L. Barbosa (drawn by B. Bogdanovic)
0:29.0,B. Bogdanovic makes free throw 1 of 2,1,125-118,,
0:29.0,B. Bogdanovic makes free throw 2 of 2,1,126-118,,
0:29.0,,,126-118,,Phoenix full timeout
0:21.0,,,126-121,3,D. Booker makes 3-pt shot from 25 ft (assist by T. Warren)
0:18.0,,,126-121,,Personal take foul by E. Bledsoe (drawn by J. Wall)
0:18.0,J. Wall misses free throw 1 of 2,,126-121,,
0:18.0,Offensive rebound by Team,,126-121,,
0:18.0,J. Wall makes free throw 2 of 2,1,127-121,,
0:14.0,,,127-123,2,D. Booker makes 2-pt shot from 1 ft
0:14.0,,,127-123,,Shooting foul by O. Porter (drawn by D. Booker)
0:14.0,,,127-124,1,D. Booker makes free throw 1 of 1
0:14.0,Washington full timeout,,127-124,,
0:14.0,M. Gortat enters the game for B. Bogdanovic,,127-123,,
0:14.0,,,127-124,,D. Jones enters the game for A. Len
0:14.0,B. Bogdanovic enters the game for M. Morris,,127-124,,
0:13.0,,,127-124,,Personal foul by L. Barbosa (drawn by B. Bogdanovic)
0:13.0,B. Bogdanovic makes free throw 1 of 2,1,128-124,,
0:13.0,B. Bogdanovic makes free throw 2 of 2,1,129-124,,
0:13.0,K. Oubre enters the game for M. Gortat,,128-124,,
0:13.0,,,128-124,,A. Len enters the game for D. Jones
0:07.0,,,129-127,3,D. Booker makes 3-pt shot from 32 ft
0:07.0,,,129-127,,Personal take foul by E. Bledsoe (drawn by J. Wall)
0:07.0,J. Wall makes free throw 1 of 2,1,130-127,,
0:07.0,J. Wall makes free throw 2 of 2,1,131-127,,
0:03.0,,,131-127,,D. Booker misses 3-pt shot from 57 ft
0:02.0,Defensive rebound by O. Porter,,131-127,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
