time,Indiana,pts.away,score,pts.home,Dallas
9:20.0,,,52-59,,Defensive rebound by S. Mejri
9:00.0,Personal block foul by M. Ellis (drawn by W. Matthews),,52-59,,
8:46.0,,,52-59,,Turnover by Team (shot clock)
8:26.0,P. George misses 2-pt shot from 3 ft,,52-59,,
8:25.0,,,52-59,,Defensive rebound by S. Mejri
8:09.0,,,52-61,2,H. Barnes makes 2-pt shot from 14 ft
7:48.0,,,52-61,,Shooting block foul by D. Finney-Smith (drawn by M. Turner)
7:48.0,M. Turner makes free throw 1 of 2,1,53-61,,
7:48.0,M. Turner makes free throw 2 of 2,1,54-61,,
7:35.0,,,54-61,,D. Finney-Smith misses 3-pt shot from 23 ft
7:34.0,,,54-61,,Offensive rebound by S. Mejri
7:31.0,,,54-64,3,W. Matthews makes 3-pt shot from 24 ft (assist by H. Barnes)
7:08.0,Shooting foul by H. Barnes (drawn by M. Turner),,54-64,,
7:08.0,M. Turner makes free throw 1 of 2,1,55-64,,
7:08.0,M. Turner makes free throw 2 of 2,1,56-64,,
6:51.0,,,56-64,,D. Williams misses 2-pt shot from 4 ft
6:50.0,,,56-64,,Offensive rebound by H. Barnes
6:50.0,,,56-66,2,H. Barnes makes 2-pt shot from 2 ft
6:50.0,,,56-66,,Shooting foul by P. George (drawn by H. Barnes)
6:50.0,,,56-67,1,H. Barnes makes free throw 1 of 1
6:39.0,P. George makes 2-pt shot at rim (assist by J. Teague),2,58-67,,
6:22.0,,,58-67,,Shooting foul by M. Ellis (drawn by W. Matthews)
6:22.0,,,58-68,1,W. Matthews makes free throw 1 of 2
6:22.0,,,58-68,,W. Matthews misses free throw 2 of 2
6:22.0,R. Stuckey enters the game for M. Ellis,,58-68,,
6:21.0,Defensive rebound by P. George,,58-68,,
6:08.0,,,58-68,,Shooting block foul by D. Williams (drawn by J. Teague)
6:08.0,J. Teague makes free throw 1 of 3,1,59-68,,
6:08.0,J. Teague makes free throw 2 of 3,1,60-68,,
6:08.0,J. Teague makes free throw 3 of 3,1,61-68,,
6:08.0,,,60-68,,S. Curry enters the game for D. Williams
5:46.0,,,61-71,3,D. Finney-Smith makes 3-pt shot from 25 ft (assist by W. Matthews)
5:36.0,J. Teague misses 2-pt shot from 1 ft (block by S. Mejri),,61-71,,
5:34.0,,,61-71,,Defensive rebound by D. Finney-Smith
5:19.0,,,61-74,3,W. Matthews makes 3-pt shot from 26 ft (assist by S. Curry)
5:19.0,Indiana full timeout,,61-74,,
5:19.0,,,61-74,,D. Harris enters the game for H. Barnes
5:19.0,,,61-74,,D. Powell enters the game for S. Mejri
5:19.0,A. Jefferson enters the game for M. Turner,,61-74,,
5:19.0,A. Brooks enters the game for J. Teague,,61-74,,
5:07.0,,,61-74,,Personal foul by D. Finney-Smith (drawn by P. George)
5:07.0,P. George makes free throw 1 of 2,1,62-74,,
5:07.0,P. George makes free throw 2 of 2,1,63-74,,
5:07.0,C. Miles enters the game for T. Young,,62-74,,
4:58.0,,,63-74,,S. Curry misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by A. Jefferson,,63-74,,
4:32.0,P. George misses 2-pt shot from 9 ft,,63-74,,
4:31.0,,,63-74,,Defensive rebound by D. Powell
4:20.0,,,63-76,2,W. Matthews makes 2-pt shot from 18 ft (assist by S. Curry)
4:03.0,Shooting foul by D. Powell (drawn by A. Jefferson),,63-76,,
4:03.0,A. Jefferson makes free throw 1 of 2,1,64-76,,
4:03.0,A. Jefferson makes free throw 2 of 2,1,65-76,,
3:50.0,,,65-76,,Turnover by D. Powell (lost ball; steal by C. Miles)
3:40.0,C. Miles makes 3-pt shot from 23 ft (assist by R. Stuckey),3,68-76,,
3:26.0,G. Robinson enters the game for P. George,,68-76,,
