time,Orlando,pts.away,score,pts.home,LA Clippers
3:49.0,Defensive rebound by N. Vucevic,,92-95,,
3:38.0,N. Vucevic misses 3-pt shot from 26 ft,,92-95,,
3:36.0,,,92-95,,Defensive rebound by A. Rivers
3:31.0,,,92-95,,Turnover by C. Paul (lost ball; steal by J. Meeks)
3:25.0,D. Augustin misses 2-pt shot from 2 ft (block by J. Redick),,92-95,,
3:21.0,,,92-95,,Defensive rebound by A. Rivers
3:16.0,,,92-98,3,J. Redick makes 3-pt shot from 29 ft (assist by C. Paul)
2:57.0,D. Augustin misses 3-pt shot from 26 ft,,92-98,,
2:56.0,,,92-98,,Defensive rebound by A. Rivers
2:34.0,,,92-98,,C. Paul misses 2-pt shot from 16 ft
2:30.0,Defensive rebound by J. Meeks,,92-98,,
2:15.0,N. Vucevic misses 2-pt shot from 7 ft,,92-98,,
2:15.0,Offensive rebound by Team,,92-98,,
2:15.0,Official timeout,,92-98,,
2:15.0,,,92-98,,L. Mbah a Moute enters the game for J. Crawford
2:15.0,J. Green enters the game for E. Fournier,,92-98,,
2:04.0,N. Vucevic misses 2-pt shot from 19 ft,,92-98,,
2:04.0,,,92-98,,Defensive rebound by C. Paul
2:04.0,,,92-98,,LA Clippers full timeout
2:04.0,,,92-98,,J. Crawford enters the game for L. Mbah a Moute
1:48.0,,,92-98,,J. Redick misses 3-pt shot from 26 ft
1:47.0,Defensive rebound by A. Gordon,,92-98,,
1:41.0,J. Meeks misses 2-pt shot from 2 ft,,92-98,,
1:40.0,Offensive rebound by N. Vucevic,,92-98,,
1:40.0,N. Vucevic makes 2-pt shot from 1 ft,2,94-98,,
1:19.0,,,94-100,2,J. Redick makes 2-pt shot from 16 ft (assist by A. Rivers)
1:19.0,Orlando full timeout,,94-100,,
1:19.0,,,94-100,,L. Mbah a Moute enters the game for J. Crawford
1:19.0,E. Fournier enters the game for J. Green,,94-100,,
1:09.0,E. Fournier misses 3-pt shot from 26 ft,,94-100,,
1:08.0,,,94-100,,Defensive rebound by C. Paul
0:50.0,,,94-103,3,C. Paul makes 3-pt shot from 26 ft
0:50.0,Orlando full timeout,,94-103,,
0:46.0,E. Fournier makes 2-pt shot from 1 ft (assist by N. Vucevic),2,96-103,,
0:44.0,Personal take foul by A. Gordon (drawn by C. Paul),,96-103,,
0:44.0,,,96-103,,J. Crawford enters the game for L. Mbah a Moute
0:39.0,Personal take foul by A. Gordon (drawn by J. Redick),,96-103,,
0:39.0,,,96-103,,J. Redick misses free throw 1 of 2
0:39.0,,,96-103,,Offensive rebound by Team
0:39.0,,,96-103,,J. Redick misses free throw 2 of 2
0:39.0,,,96-103,,L. Mbah a Moute enters the game for J. Crawford
0:38.0,Defensive rebound by N. Vucevic,,96-103,,
0:38.0,Orlando full timeout,,96-103,,
0:28.0,Turnover by A. Gordon (lost ball; steal by L. Mbah a Moute),,96-103,,
0:22.0,Personal take foul by N. Vucevic (drawn by C. Paul),,96-103,,
0:22.0,,,96-104,1,C. Paul makes free throw 1 of 2
0:22.0,,,96-105,1,C. Paul makes free throw 2 of 2
0:14.0,A. Gordon misses 3-pt shot from 27 ft,,96-105,,
0:13.0,,,96-105,,Defensive rebound by J. Redick
0:00.0,End of 4th quarter,,,,End of 4th quarter
