time,Milwaukee,pts.away,score,pts.home,Houston
4:48.0,,,82-98,,Offensive rebound by M. Harrell
4:47.0,,,82-100,2,M. Harrell makes 2-pt shot at rim
4:32.0,M. Beasley makes 2-pt shot from 18 ft (assist by G. Antetokounmpo),2,84-100,,
4:16.0,,,84-100,,J. Harden misses 3-pt shot from 26 ft
4:14.0,Defensive rebound by G. Antetokounmpo,,84-100,,
4:05.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,84-100,,
4:03.0,,,84-100,,Defensive rebound by T. Ariza
4:01.0,,,84-102,2,J. Harden makes 2-pt shot from 2 ft (assist by P. Beverley)
4:01.0,Violation by G. Antetokounmpo (def goaltending),,84-102,,
3:50.0,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,87-102,,
3:26.0,,,87-105,3,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden)
3:11.0,M. Beasley misses 2-pt shot from 22 ft,,87-105,,
3:10.0,,,87-105,,Defensive rebound by Team
2:55.0,,,87-108,3,P. Beverley makes 3-pt shot from 26 ft (assist by J. Harden)
2:42.0,Turnover by G. Antetokounmpo (traveling),,87-108,,
2:42.0,Official timeout,,87-108,,
2:42.0,M. Teletovic enters the game for G. Antetokounmpo,,87-108,,
2:42.0,R. Vaughn enters the game for J. Parker,,87-108,,
2:42.0,T. Maker enters the game for T. Snell,,87-108,,
2:42.0,M. Plumlee enters the game for M. Beasley,,87-108,,
2:30.0,,,87-108,,Turnover by J. Harden (bad pass; steal by R. Vaughn)
2:14.0,M. Teletovic misses 3-pt shot from 24 ft,,87-108,,
2:13.0,,,87-108,,Defensive rebound by P. Beverley
2:11.0,,,87-108,,Shooting foul by M. Teletovic (drawn by M. Harrell)
2:11.0,,,87-109,1,M. Harrell makes free throw 1 of 2
2:11.0,,,87-109,,M. Harrell misses free throw 2 of 2
2:11.0,Defensive rebound by T. Maker,,87-109,,
2:11.0,,,87-109,,S. Dekker enters the game for T. Ariza
2:11.0,,,87-109,,T. Ennis enters the game for P. Beverley
2:11.0,,,87-109,,K. McDaniels enters the game for J. Harden
2:11.0,,,87-109,,B. Brown enters the game for E. Gordon
1:54.0,R. Vaughn misses 2-pt shot from 15 ft (block by M. Harrell),,87-109,,
1:51.0,Offensive rebound by M. Brogdon,,87-109,,
1:48.0,T. Maker misses 3-pt shot from 25 ft,,87-109,,
1:47.0,,,87-109,,Defensive rebound by Team
1:47.0,,,87-109,,C. Capela enters the game for M. Harrell
1:33.0,,,87-109,,T. Ennis misses 2-pt shot from 3 ft
1:31.0,Defensive rebound by M. Plumlee,,87-109,,
1:20.0,T. Maker makes 2-pt shot from 9 ft (assist by M. Brogdon),2,89-109,,
1:20.0,Shooting foul by K. McDaniels (drawn by T. Maker),,89-109,,
1:20.0,T. Maker makes free throw 1 of 1,1,90-109,,
1:03.0,,,90-111,2,K. McDaniels makes 2-pt shot from 7 ft
0:50.0,M. Plumlee misses 2-pt shot at rim,,90-111,,
0:47.0,,,90-111,,Defensive rebound by B. Brown
0:27.0,,,90-111,,B. Brown misses 2-pt shot from 10 ft
0:26.0,Defensive rebound by T. Maker,,90-111,,
0:20.0,R. Vaughn misses 3-pt shot from 25 ft,,90-111,,
0:19.0,Offensive rebound by M. Brogdon,,90-111,,
0:17.0,R. Vaughn makes 2-pt shot from 2 ft (assist by M. Brogdon),2,92-111,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
