time,Houston,pts.away,score,pts.home,Chicago
2:08.0,J. Harden makes 3-pt shot from 26 ft (assist by N. Hilario),3,50-49,,
1:36.0,,,50-49,,D. Wade misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by N. Hilario,,50-49,,
1:32.0,J. Harden makes 3-pt shot from 25 ft,3,53-49,,
1:32.0,Shooting foul by M. Carter-Williams (drawn by J. Harden),,53-49,,
1:32.0,J. Harden makes free throw 1 of 1,1,54-49,,
1:10.0,,,54-49,,Turnover by R. Lopez (bad pass; steal by T. Ariza)
1:06.0,T. Ariza makes 2-pt shot from 2 ft,2,56-49,,
1:06.0,,,56-49,,Chicago full timeout
0:58.0,Personal foul by T. Ariza (drawn by J. Butler),,56-49,,
0:46.0,,,56-49,,R. Lopez misses 2-pt shot from 5 ft
0:45.0,Defensive rebound by J. Harden,,56-49,,
0:37.0,J. Harden misses 3-pt shot from 25 ft,,56-49,,
0:37.0,,,56-49,,Defensive rebound by Team
0:28.0,,,56-49,,D. Wade misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by T. Ariza,,56-49,,
0:25.0,Turnover by T. Ariza (bad pass),,56-49,,
0:00.0,,,56-49,,D. Wade misses 3-pt shot from 23 ft
0:00.0,,,56-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,56-49,,J. Grant misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by R. Anderson,,56-49,,
11:35.0,Shooting foul by R. Lopez (drawn by C. Capela),,56-49,,
11:35.0,C. Capela makes free throw 1 of 2,1,57-49,,
11:35.0,,,57-49,,Technical foul by R. Lopez (drawn by C. Capela)
11:35.0,J. Harden makes technical free throw,1,58-49,,
11:35.0,C. Capela makes free throw 2 of 2,1,59-49,,
11:15.0,,,59-49,,Turnover by R. Lopez (3 sec)
11:04.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,61-49,,
10:45.0,,,61-49,,J. Grant misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by Team,,61-49,,
10:31.0,J. Harden makes 3-pt shot from 27 ft (assist by C. Capela),3,64-49,,
10:31.0,,,64-49,,Chicago full timeout
10:31.0,,,64-49,,M. Carter-Williams enters the game for J. Grant
10:18.0,,,64-51,2,J. Butler makes 2-pt shot from 21 ft
10:00.0,J. Harden misses 2-pt shot from 1 ft,,64-51,,
9:59.0,,,64-51,,Defensive rebound by M. Carter-Williams
9:45.0,,,64-51,,Turnover by M. Carter-Williams (bad pass; steal by J. Harden)
9:20.0,R. Anderson makes 3-pt shot from 26 ft (assist by T. Ariza),3,67-51,,
9:02.0,,,67-51,,Offensive foul by R. Lopez
9:02.0,,,67-51,,Turnover by R. Lopez (offensive foul)
9:02.0,,,67-51,,J. Lauvergne enters the game for R. Lopez
8:51.0,C. Capela misses 2-pt shot at rim,,67-51,,
8:50.0,,,67-51,,Defensive rebound by J. Lauvergne
8:34.0,,,67-51,,J. Lauvergne misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by P. Beverley,,67-51,,
8:23.0,R. Anderson misses 2-pt shot from 18 ft,,67-51,,
8:22.0,,,67-51,,Defensive rebound by J. Lauvergne
8:17.0,,,67-51,,Offensive foul by B. Portis
8:17.0,,,67-51,,Turnover by B. Portis (offensive foul)
8:08.0,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden),3,70-51,,
7:45.0,,,70-51,,M. Carter-Williams misses 2-pt shot from 12 ft (block by P. Beverley)
7:42.0,Defensive rebound by J. Harden,,70-51,,
7:39.0,P. Beverley misses 3-pt shot from 23 ft,,70-51,,
7:38.0,Offensive rebound by C. Capela,,70-51,,
7:32.0,R. Anderson makes 3-pt shot from 23 ft (assist by P. Beverley),3,73-51,,
7:31.0,,,73-51,,Chicago full timeout
7:31.0,,,73-51,,P. Zipser enters the game for B. Portis
7:25.0,Personal foul by P. Beverley (drawn by M. Carter-Williams),,73-51,,
7:09.0,,,73-51,,P. Zipser misses 2-pt shot from 18 ft
7:08.0,Defensive rebound by J. Harden,,73-51,,
7:00.0,R. Anderson misses 3-pt shot from 25 ft,,73-51,,
6:59.0,Offensive rebound by P. Beverley,,73-51,,
6:56.0,C. Capela makes 2-pt shot at rim (assist by P. Beverley),2,75-51,,
6:31.0,,,75-51,,J. Lauvergne misses 2-pt shot from 6 ft
6:31.0,,,75-51,,Offensive rebound by Team
6:31.0,Loose ball foul by P. Beverley (drawn by P. Zipser),,75-51,,
6:18.0,,,75-51,,M. Carter-Williams misses 3-pt shot from 23 ft
6:17.0,Defensive rebound by T. Ariza,,75-51,,
6:05.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,78-51,,
5:50.0,,,78-51,,D. Wade misses 3-pt shot from 26 ft
5:49.0,Defensive rebound by T. Ariza,,78-51,,
5:35.0,J. Harden misses 2-pt shot from 3 ft (block by P. Zipser),,78-51,,
5:33.0,,,78-51,,Defensive rebound by J. Butler
5:28.0,,,78-51,,J. Butler misses 2-pt shot from 1 ft
5:25.0,,,78-51,,Offensive rebound by J. Lauvergne
5:25.0,,,78-51,,J. Lauvergne misses 2-pt shot from 2 ft
5:24.0,Defensive rebound by P. Beverley,,78-51,,
5:21.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,80-51,,
5:06.0,,,80-53,2,J. Butler makes 2-pt shot from 2 ft (assist by D. Wade)
4:50.0,Turnover by P. Beverley (bad pass; steal by D. Wade),,80-53,,
4:50.0,Personal foul by J. Harden (drawn by J. Butler),,80-53,,
4:50.0,E. Gordon enters the game for C. Capela,,80-53,,
4:50.0,N. Hilario enters the game for P. Beverley,,80-53,,
4:50.0,,,80-53,,R. Rondo enters the game for D. Wade
4:50.0,,,80-53,,C. Felicio enters the game for M. Carter-Williams
4:50.0,,,80-53,,D. Valentine enters the game for J. Lauvergne
4:32.0,,,80-53,,C. Felicio misses 2-pt shot from 17 ft
4:31.0,Defensive rebound by J. Harden,,80-53,,
4:23.0,J. Harden misses 3-pt shot from 24 ft,,80-53,,
4:22.0,,,80-53,,Defensive rebound by D. Valentine
4:17.0,,,80-53,,Shooting foul by J. Harden (drawn by J. Butler)
4:17.0,,,80-54,1,J. Butler makes free throw 1 of 2
4:17.0,,,80-55,1,J. Butler makes free throw 2 of 2
3:59.0,J. Harden makes 2-pt shot from 2 ft,2,82-55,,
3:48.0,,,82-55,,P. Zipser misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by T. Ariza,,82-55,,
3:40.0,J. Harden misses 3-pt shot from 24 ft,,82-55,,
3:39.0,,,82-55,,Defensive rebound by D. Valentine
3:32.0,,,82-58,3,P. Zipser makes 3-pt shot from 23 ft (assist by D. Valentine)
3:06.0,R. Anderson misses 3-pt shot from 25 ft,,82-58,,
3:04.0,,,82-58,,Defensive rebound by C. Felicio
2:58.0,,,82-58,,P. Zipser misses 3-pt shot from 25 ft
2:57.0,Defensive rebound by J. Harden,,82-58,,
2:46.0,E. Gordon makes 2-pt shot from 3 ft (assist by J. Harden),2,84-58,,
2:25.0,,,84-58,,Turnover by C. Felicio (lost ball; steal by R. Anderson)
2:20.0,Turnover by J. Harden (bad pass; steal by D. Valentine),,84-58,,
2:13.0,,,84-58,,Turnover by R. Rondo (bad pass; steal by E. Gordon)
2:10.0,Houston full timeout,,84-58,,
2:10.0,L. Williams enters the game for T. Ariza,,84-58,,
2:10.0,S. Dekker enters the game for R. Anderson,,84-58,,
2:04.0,,,84-58,,Personal foul by R. Rondo (drawn by J. Harden)
1:57.0,E. Gordon makes 3-pt shot from 25 ft (assist by S. Dekker),3,87-58,,
1:35.0,,,87-61,3,R. Rondo makes 3-pt shot from 26 ft (assist by D. Valentine)
1:17.0,N. Hilario makes 2-pt shot from 17 ft (assist by J. Harden),2,89-61,,
0:54.0,,,89-61,,D. Valentine misses 3-pt shot from 24 ft
0:53.0,Defensive rebound by J. Harden,,89-61,,
0:43.0,L. Williams makes 3-pt shot from 23 ft (assist by E. Gordon),3,92-61,,
0:32.0,,,92-61,,J. Butler misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by S. Dekker,,92-61,,
0:22.0,Turnover by L. Williams (bad pass),,92-61,,
0:03.0,,,92-63,2,R. Rondo makes 2-pt shot from 2 ft
0:01.0,Turnover by S. Dekker (bad pass; steal by R. Rondo),,92-63,,
0:00.0,,,92-63,,J. Butler misses 2-pt shot from 22 ft
0:00.0,,,92-63,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,N. Hilario makes 2-pt shot from 17 ft (assist by E. Gordon),2,94-63,,
11:23.0,,,94-63,,B. Portis misses 3-pt shot from 24 ft
11:23.0,,,94-63,,Offensive rebound by Team
11:23.0,Loose ball foul by N. Hilario (drawn by C. Felicio),,94-63,,
11:10.0,,,94-63,,B. Portis misses 2-pt shot from 18 ft
11:08.0,Defensive rebound by N. Hilario,,94-63,,
10:59.0,E. Gordon misses 3-pt shot from 27 ft,,94-63,,
10:59.0,,,94-63,,Defensive rebound by C. Felicio
10:54.0,,,94-63,,Shooting foul by S. Dekker (drawn by B. Portis)
10:54.0,,,94-64,1,B. Portis makes free throw 1 of 2
10:54.0,,,94-65,1,B. Portis makes free throw 2 of 2
10:40.0,N. Hilario makes 2-pt shot from 16 ft (assist by P. Beverley),2,96-65,,
10:29.0,,,96-65,,C. Payne misses 2-pt shot from 18 ft
10:28.0,Defensive rebound by N. Hilario,,96-65,,
10:11.0,N. Hilario misses 2-pt shot from 17 ft,,96-65,,
10:10.0,,,96-65,,Defensive rebound by B. Portis
9:59.0,,,96-68,3,R. Rondo makes 3-pt shot from 25 ft
9:53.0,Shooting foul by C. Payne (drawn by L. Williams),,96-68,,
9:53.0,L. Williams makes free throw 1 of 3,1,97-68,,
