time,Detroit,pts.away,score,pts.home,Phoenix
7:39.0,Turnover by Team (shot clock),,89-84,,
7:32.0,,,89-86,2,E. Bledsoe makes 2-pt shot from 2 ft
7:23.0,Detroit full timeout,,89-86,,
7:23.0,I. Smith enters the game for B. Udrih,,89-86,,
7:14.0,,,89-86,,Personal foul by D. Booker (drawn by K. Caldwell-Pope)
7:14.0,T. Harris enters the game for J. Leuer,,89-86,,
6:58.0,Turnover by A. Drummond (lost ball; steal by J. Dudley),,89-86,,
6:48.0,,,89-88,2,E. Bledsoe makes 2-pt shot from 16 ft
6:32.0,,,89-88,,Def 3 sec tech foul by A. Len
6:32.0,K. Caldwell-Pope makes technical free throw,1,90-88,,
6:22.0,Turnover by I. Smith (bad pass; steal by D. Booker),,90-88,,
6:01.0,,,90-88,,J. Dudley misses 3-pt shot from 24 ft
5:58.0,Defensive rebound by M. Morris,,90-88,,
5:52.0,M. Morris misses 3-pt shot from 26 ft,,90-88,,
5:49.0,,,90-88,,Defensive rebound by E. Bledsoe
5:27.0,,,90-90,2,E. Bledsoe makes 2-pt shot from 8 ft
5:12.0,T. Harris misses 2-pt shot from 2 ft,,90-90,,
5:10.0,,,90-90,,Defensive rebound by A. Len
5:02.0,,,90-92,2,A. Len makes 2-pt shot at rim (assist by J. Dudley)
5:01.0,Detroit full timeout,,90-92,,
4:48.0,K. Caldwell-Pope misses 2-pt shot from 3 ft (block by D. Booker),,90-92,,
4:45.0,,,90-92,,Defensive rebound by A. Len
4:42.0,,,90-94,2,E. Bledsoe makes 2-pt shot from 1 ft
4:29.0,Offensive foul by K. Caldwell-Pope,,90-94,,
4:29.0,Turnover by K. Caldwell-Pope (offensive foul),,90-94,,
4:14.0,Personal foul by A. Drummond (drawn by D. Booker),,90-94,,
4:14.0,,,90-95,1,D. Booker makes free throw 1 of 2
4:14.0,,,90-96,1,D. Booker makes free throw 2 of 2
4:00.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by I. Smith),3,93-96,,
3:45.0,,,93-99,3,J. Dudley makes 3-pt shot from 25 ft (assist by E. Bledsoe)
3:28.0,Shooting foul by A. Len (drawn by I. Smith),,93-99,,
3:28.0,I. Smith misses free throw 1 of 2,,93-99,,
3:28.0,Offensive rebound by Team,,93-99,,
3:28.0,I. Smith makes free throw 2 of 2,1,94-99,,
3:28.0,J. Leuer enters the game for T. Harris,,93-99,,
3:11.0,,,94-99,,Turnover by J. Dudley (bad pass)
2:49.0,A. Drummond misses 2-pt shot from 6 ft,,94-99,,
2:47.0,,,94-99,,Defensive rebound by A. Len
2:30.0,,,94-99,,Turnover by T. Warren (traveling)
2:09.0,A. Drummond makes 2-pt shot from 7 ft (assist by I. Smith),2,96-99,,
1:42.0,,,96-99,,E. Bledsoe misses 2-pt shot from 13 ft
1:40.0,Defensive rebound by J. Leuer,,96-99,,
1:36.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,96-99,,
1:33.0,,,96-99,,Defensive rebound by Team
1:21.0,,,96-99,,Shooting foul by M. Morris
1:21.0,,,96-100,1,T. Warren makes free throw 1 of 2
1:21.0,,,96-101,1,T. Warren makes free throw 2 of 2
1:11.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,96-101,,
1:10.0,,,96-101,,Defensive rebound by E. Bledsoe
0:47.0,,,96-101,,D. Booker misses 2-pt shot from 15 ft (block by I. Smith)
0:47.0,,,96-101,,Offensive rebound by Team
0:47.0,,,96-101,,Turnover by Team (shot clock)
0:47.0,Detroit full timeout,,96-101,,
0:47.0,,,96-101,,P. Tucker enters the game for J. Dudley
0:47.0,T. Harris enters the game for J. Leuer,,96-101,,
0:40.0,Turnover by M. Morris (bad pass; steal by A. Len),,96-101,,
0:21.0,,,96-103,2,E. Bledsoe makes 2-pt shot from 7 ft
0:21.0,Detroit full timeout,,96-103,,
0:21.0,B. Udrih enters the game for I. Smith,,96-103,,
0:16.0,M. Morris makes 3-pt shot from 26 ft,3,99-103,,
0:16.0,,,99-103,,Phoenix full timeout
0:16.0,,,99-103,,J. Dudley enters the game for P. Tucker
0:16.0,S. Johnson enters the game for B. Udrih,,99-103,,
0:15.0,Personal take foul by A. Drummond (drawn by E. Bledsoe),,99-103,,
0:15.0,,,99-104,1,E. Bledsoe makes free throw 1 of 2
0:15.0,,,99-105,1,E. Bledsoe makes free throw 2 of 2
0:15.0,,,99-104,,P. Tucker enters the game for J. Dudley
0:15.0,I. Smith enters the game for S. Johnson,,99-104,,
0:08.0,,,99-105,,Personal foul by T. Warren
0:08.0,A. Drummond misses free throw 1 of 2,,99-105,,
0:08.0,Offensive rebound by Team,,99-105,,
0:08.0,A. Drummond makes free throw 2 of 2,1,100-105,,
0:07.0,Personal take foul by M. Morris,,100-105,,
0:07.0,,,100-106,1,T. Warren makes free throw 1 of 2
0:07.0,,,100-107,1,T. Warren makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
