time,Phoenix,pts.away,score,pts.home,Houston
2:49.0,,,44-68,1,R. Anderson makes free throw 2 of 2
2:49.0,L. Barbosa enters the game for M. Chriss,,44-67,,
2:37.0,L. Barbosa misses 3-pt shot from 24 ft,,44-68,,
2:36.0,,,44-68,,Defensive rebound by T. Ariza
2:20.0,,,44-70,2,R. Anderson makes 2-pt shot from 7 ft
2:06.0,Shooting foul by C. Capela (drawn by D. Booker),,44-70,,
2:06.0,D. Booker misses free throw 1 of 2,,44-70,,
2:06.0,Offensive rebound by Team,,44-70,,
2:06.0,D. Booker makes free throw 2 of 2,1,45-70,,
1:44.0,,,45-70,,Turnover by R. Anderson (lost ball; steal by T. Warren)
1:37.0,D. Booker misses 2-pt shot from 4 ft,,45-70,,
1:37.0,Offensive rebound by T. Warren,,45-70,,
1:37.0,T. Warren makes 2-pt shot from 2 ft,2,47-70,,
1:17.0,,,47-70,,Shooting foul by D. Booker (drawn by J. Harden)
1:17.0,,,47-71,1,J. Harden makes free throw 1 of 2
1:17.0,,,47-72,1,J. Harden makes free throw 2 of 2
0:58.0,D. Booker makes 2-pt shot from 12 ft,2,49-72,,
0:49.0,,,49-72,,T. Ariza misses 2-pt shot from 20 ft
0:48.0,Defensive rebound by A. Len,,49-72,,
0:45.0,Shooting foul by T. Ennis (drawn by D. Booker),,49-72,,
0:45.0,D. Booker makes free throw 1 of 2,1,50-72,,
0:45.0,D. Booker makes free throw 2 of 2,1,51-72,,
0:29.0,,,51-74,2,J. Harden makes 2-pt shot from 20 ft
0:14.0,D. Booker misses 2-pt shot from 4 ft,,51-74,,
0:13.0,,,51-74,,Defensive rebound by T. Ariza
0:05.0,Personal foul by D. Booker (drawn by J. Harden),,51-74,,
0:05.0,,,51-75,1,J. Harden makes free throw 1 of 3
0:05.0,,,51-76,1,J. Harden makes free throw 2 of 3
0:05.0,,,51-77,1,J. Harden makes free throw 3 of 3
0:01.0,L. Barbosa misses 2-pt shot from 23 ft,,51-77,,
0:00.0,Offensive rebound by A. Len,,51-77,,
0:00.0,A. Len makes 2-pt shot from 5 ft,2,53-77,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,B. Knight misses 2-pt shot from 21 ft,,53-77,,
11:45.0,,,53-77,,Defensive rebound by Team
11:32.0,,,53-77,,Shooting foul by D. Booker (drawn by J. Harden)
11:32.0,,,53-78,1,J. Harden makes free throw 1 of 3
11:32.0,,,53-79,1,J. Harden makes free throw 2 of 3
11:32.0,,,53-80,1,J. Harden makes free throw 3 of 3
11:22.0,Turnover by A. Len (lost ball),,53-80,,
11:10.0,,,53-80,,Turnover by C. Capela (lost ball)
11:01.0,Turnover by D. Booker (lost ball),,53-80,,
10:52.0,,,53-80,,Shooting foul by A. Len (drawn by R. Anderson)
10:52.0,,,53-81,1,R. Anderson makes free throw 1 of 2
10:52.0,,,53-82,1,R. Anderson makes free throw 2 of 2
10:41.0,Turnover by A. Len (offensive foul),,53-82,,
10:41.0,Offensive foul by A. Len,,53-82,,
10:41.0,P. Tucker enters the game for A. Len,,53-82,,
10:31.0,,,53-84,2,T. Ariza makes 2-pt shot from 11 ft (assist by J. Harden)
10:22.0,D. Booker misses 2-pt shot from 3 ft,,53-84,,
10:21.0,,,53-84,,Defensive rebound by C. Capela
10:18.0,,,53-86,2,P. Beverley makes 2-pt shot from 3 ft
10:18.0,Violation by M. Chriss (def goaltending),,53-86,,
10:18.0,Phoenix full timeout,,53-86,,
10:05.0,,,53-86,,Def 3 sec tech foul by J. Harden
10:05.0,D. Booker makes technical free throw,1,54-86,,
9:57.0,D. Booker misses 2-pt shot from 11 ft,,54-86,,
9:57.0,,,54-86,,Defensive rebound by P. Beverley
9:51.0,,,54-88,2,C. Capela makes 2-pt shot from 2 ft (assist by P. Beverley)
9:39.0,,,54-88,,Personal foul by P. Beverley (drawn by D. Booker)
9:26.0,B. Knight misses 2-pt shot from 19 ft,,54-88,,
9:25.0,Offensive rebound by M. Chriss,,54-88,,
9:25.0,M. Chriss misses 2-pt shot from 2 ft,,54-88,,
9:24.0,,,54-88,,Defensive rebound by R. Anderson
9:09.0,,,54-88,,C. Capela misses 2-pt shot from 6 ft
9:08.0,,,54-88,,Offensive rebound by C. Capela
9:03.0,,,54-91,3,J. Harden makes 3-pt shot from 28 ft (assist by C. Capela)
8:48.0,M. Chriss misses 3-pt shot from 22 ft,,54-91,,
8:48.0,,,54-91,,Defensive rebound by T. Ariza
8:40.0,,,54-91,,J. Harden misses 3-pt shot from 25 ft
8:39.0,,,54-91,,Offensive rebound by Team
8:34.0,,,54-91,,Turnover by T. Ariza (bad pass)
8:17.0,B. Knight makes 2-pt shot at rim (assist by P. Tucker),2,56-91,,
8:03.0,,,56-91,,Turnover by J. Harden (bad pass; steal by P. Tucker)
8:00.0,Shooting foul by P. Beverley (drawn by B. Knight),,56-91,,
8:00.0,B. Knight misses free throw 1 of 2,,56-91,,
8:00.0,Offensive rebound by Team,,56-91,,
8:00.0,B. Knight makes free throw 2 of 2,1,57-91,,
7:47.0,,,57-93,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
7:32.0,D. Booker makes 3-pt shot from 25 ft,3,60-93,,
7:24.0,,,60-93,,Turnover by J. Harden (dbl dribble)
7:14.0,B. Knight misses 2-pt shot from 15 ft,,60-93,,
7:13.0,,,60-93,,Defensive rebound by T. Ariza
7:04.0,,,60-95,2,C. Capela makes 2-pt shot from 1 ft (assist by R. Anderson)
6:43.0,B. Knight misses 3-pt shot from 25 ft,,60-95,,
6:43.0,Offensive rebound by Team,,60-95,,
6:43.0,Turnover by M. Chriss (illegal assist),,60-95,,
6:28.0,,,60-95,,T. Ariza misses 2-pt shot from 10 ft
6:27.0,Defensive rebound by T. Warren,,60-95,,
6:20.0,,,60-95,,Personal foul by P. Beverley (drawn by M. Chriss)
6:20.0,,,60-95,,N. Hilario enters the game for C. Capela
6:20.0,,,60-95,,C. Brewer enters the game for P. Beverley
6:11.0,M. Chriss misses 2-pt shot from 2 ft (block by N. Hilario),,60-95,,
6:11.0,Offensive rebound by Team,,60-95,,
6:10.0,,,60-95,,Personal foul by T. Ariza (drawn by M. Chriss)
6:01.0,M. Chriss makes 2-pt shot from 1 ft,2,62-95,,
5:46.0,Loose ball foul by T. Warren,,62-95,,
5:39.0,,,62-95,,N. Hilario misses 2-pt shot from 3 ft (block by P. Tucker)
5:39.0,Defensive rebound by P. Tucker,,62-95,,
5:36.0,Turnover by P. Tucker (bad pass; steal by T. Ariza),,62-95,,
5:28.0,,,62-98,3,J. Harden makes 3-pt shot from 23 ft (assist by T. Ariza)
5:18.0,D. Booker misses 3-pt shot from 27 ft,,62-98,,
5:18.0,,,62-98,,Defensive rebound by J. Harden
5:11.0,,,62-101,3,T. Ariza makes 3-pt shot from 25 ft (assist by C. Brewer)
5:10.0,Phoenix full timeout,,62-101,,
5:10.0,J. Dudley enters the game for T. Warren,,62-101,,
5:10.0,T. Ulis enters the game for M. Chriss,,62-101,,
5:10.0,L. Barbosa enters the game for D. Booker,,62-101,,
5:10.0,A. Williams enters the game for B. Knight,,62-101,,
4:51.0,A. Williams misses 2-pt shot from 6 ft,,62-101,,
4:49.0,Offensive rebound by P. Tucker,,62-101,,
4:48.0,P. Tucker misses 2-pt shot from 3 ft,,62-101,,
4:46.0,,,62-101,,Defensive rebound by N. Hilario
4:42.0,,,62-101,,Shooting foul by A. Williams (drawn by R. Anderson)
4:42.0,,,62-102,1,R. Anderson makes free throw 1 of 2
4:42.0,,,62-102,,R. Anderson misses free throw 2 of 2
4:42.0,Defensive rebound by P. Tucker,,62-102,,
4:17.0,P. Tucker misses 2-pt shot from 16 ft,,62-102,,
4:15.0,Offensive rebound by A. Williams,,62-102,,
4:14.0,,,62-102,,Personal block foul by N. Hilario (drawn by L. Barbosa)
4:14.0,L. Barbosa makes free throw 1 of 2,1,63-102,,
4:14.0,L. Barbosa makes free throw 2 of 2,1,64-102,,
3:57.0,,,64-102,,T. Ariza misses 3-pt shot from 24 ft
3:56.0,,,64-102,,Offensive rebound by R. Anderson
3:56.0,,,64-102,,R. Anderson misses 2-pt shot from 8 ft (block by A. Williams)
3:56.0,,,64-102,,Offensive rebound by Team
3:56.0,,,64-102,,S. Dekker enters the game for R. Anderson
3:51.0,,,64-102,,N. Hilario misses 2-pt shot from 12 ft
3:50.0,,,64-102,,Offensive rebound by T. Ariza
3:50.0,,,64-104,2,T. Ariza makes 2-pt shot from 2 ft
3:37.0,Turnover by T. Ulis (lost ball; steal by C. Brewer),,64-104,,
3:21.0,,,64-104,,C. Brewer misses 2-pt shot from 4 ft
3:21.0,Defensive rebound by A. Williams,,64-104,,
3:12.0,L. Barbosa makes 3-pt shot from 25 ft (assist by P. Tucker),3,67-104,,
3:01.0,,,67-104,,Turnover by J. Harden (lost ball; steal by J. Dudley)
2:56.0,L. Barbosa makes 2-pt shot from 1 ft,2,69-104,,
2:35.0,,,69-104,,T. Ariza misses 3-pt shot from 26 ft
2:34.0,Defensive rebound by P. Tucker,,69-104,,
2:18.0,A. Williams misses 2-pt shot from 6 ft,,69-104,,
2:17.0,,,69-104,,Defensive rebound by N. Hilario
2:17.0,Personal foul by A. Williams (drawn by J. Harden),,69-104,,
2:17.0,,,69-105,1,J. Harden makes free throw 1 of 2
2:17.0,,,69-106,1,J. Harden makes free throw 2 of 2
2:08.0,T. Ulis makes 2-pt shot from 9 ft,2,71-106,,
1:53.0,,,71-106,,S. Dekker misses 3-pt shot from 26 ft
1:52.0,Defensive rebound by L. Barbosa,,71-106,,
1:47.0,,,71-106,,Personal foul by C. Brewer (drawn by L. Barbosa)
1:47.0,L. Barbosa makes free throw 1 of 2,1,72-106,,
1:47.0,L. Barbosa misses free throw 2 of 2,,72-106,,
1:47.0,,,72-106,,Defensive rebound by N. Hilario
1:36.0,,,72-106,,J. Harden misses 3-pt shot from 26 ft
1:35.0,Defensive rebound by L. Barbosa,,72-106,,
1:25.0,L. Barbosa misses 2-pt shot from 10 ft,,72-106,,
1:24.0,,,72-106,,Defensive rebound by N. Hilario
1:17.0,,,72-106,,T. Ariza misses 2-pt shot from 2 ft
1:17.0,Defensive rebound by J. Dudley,,72-106,,
1:10.0,P. Tucker makes 3-pt shot from 24 ft (assist by T. Ulis),3,75-106,,
0:46.0,,,75-106,,C. Brewer misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by P. Tucker,,75-106,,
0:37.0,L. Barbosa makes 2-pt shot from 2 ft,2,77-106,,
0:28.0,,,77-109,3,J. Harden makes 3-pt shot from 25 ft
0:08.0,T. Ulis misses 2-pt shot from 14 ft,,77-109,,
0:07.0,,,77-109,,Defensive rebound by T. Ariza
0:03.0,,,77-111,2,S. Dekker makes 2-pt shot at rim (assist by J. Harden)
0:00.0,T. Ulis misses 3-pt shot from 26 ft,,77-111,,
0:00.0,Offensive rebound by Team,,77-111,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,77-111,,P. Beverley misses 2-pt shot from 3 ft
11:33.0,Defensive rebound by A. Len,,77-111,,
