time,San Antonio,pts.away,score,pts.home,LA Lakers
0:29.0,,,113-107,,N. Young misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by L. Aldridge,,113-107,,
0:28.0,,,113-107,,Personal take foul by L. Williams
0:27.0,,,113-107,,Personal take foul by N. Young (drawn by K. Leonard)
0:27.0,K. Leonard makes free throw 1 of 2,1,114-107,,
0:27.0,K. Leonard makes free throw 2 of 2,1,115-107,,
0:27.0,,,115-107,,LA Lakers full timeout
0:18.0,,,115-107,,L. Deng misses 2-pt shot from 2 ft
0:18.0,Defensive rebound by K. Leonard,,115-107,,
0:18.0,,,115-107,,Personal take foul by L. Deng (drawn by K. Leonard)
0:18.0,K. Leonard makes free throw 1 of 2,1,116-107,,
0:18.0,K. Leonard misses free throw 2 of 2,,116-107,,
0:18.0,D. Murray enters the game for L. Aldridge,,116-107,,
0:18.0,N. Laprovittola enters the game for D. Green,,116-107,,
0:18.0,K. Anderson enters the game for T. Parker,,116-107,,
0:18.0,D. Bertans enters the game for M. Ginobili,,116-107,,
0:16.0,,,116-107,,Defensive rebound by J. Randle
0:08.0,,,116-107,,L. Williams misses 3-pt shot from 28 ft
0:07.0,,,116-107,,Offensive rebound by L. Deng
0:05.0,,,116-107,,Turnover by L. Deng (lost ball; steal by K. Anderson)
0:00.0,End of 4th quarter,,,,End of 4th quarter
