time,Atlanta,pts.away,score,pts.home,San Antonio
5:36.0,D. Schroder misses 2-pt shot from 1 ft (block by K. Leonard),,87-91,,
5:35.0,,,87-91,,Defensive rebound by D. Dedmon
5:20.0,,,87-94,3,D. Green makes 3-pt shot from 24 ft (assist by P. Mills)
5:08.0,Atlanta full timeout,,87-94,,
5:08.0,T. Hardaway enters the game for T. Sefolosha,,87-94,,
5:08.0,,,87-94,,P. Gasol enters the game for D. Dedmon
5:00.0,T. Hardaway misses 3-pt shot from 25 ft,,87-94,,
4:59.0,,,87-94,,Defensive rebound by D. Green
4:36.0,,,87-94,,P. Gasol misses 2-pt shot from 11 ft (block by P. Millsap)
4:35.0,Defensive rebound by P. Millsap,,87-94,,
4:32.0,K. Bazemore makes 2-pt shot from 2 ft (assist by P. Millsap),2,89-94,,
4:14.0,,,89-97,3,P. Mills makes 3-pt shot from 23 ft (assist by K. Leonard)
3:59.0,,,89-97,,Violation by D. Lee (def goaltending)
3:59.0,D. Schroder makes 2-pt shot from 2 ft,2,91-97,,
3:46.0,Personal foul by K. Bazemore (drawn by K. Leonard),,91-97,,
3:46.0,T. Sefolosha enters the game for K. Bazemore,,91-97,,
3:32.0,,,91-97,,Turnover by Team (shot clock)
3:32.0,K. Bazemore enters the game for T. Sefolosha,,91-97,,
3:22.0,T. Hardaway misses 3-pt shot from 25 ft,,91-97,,
3:20.0,,,91-97,,Defensive rebound by Team
3:06.0,,,91-97,,K. Leonard misses 2-pt shot from 17 ft
3:05.0,Defensive rebound by K. Bazemore,,91-97,,
2:57.0,D. Schroder misses 3-pt shot from 25 ft,,91-97,,
2:55.0,,,91-97,,Defensive rebound by P. Mills
2:45.0,,,91-97,,Turnover by K. Leonard (traveling)
2:45.0,Official timeout,,91-97,,
2:45.0,E. Ilyasova enters the game for D. Howard,,91-97,,
2:32.0,D. Schroder misses 3-pt shot from 24 ft,,91-97,,
2:30.0,,,91-97,,Defensive rebound by P. Gasol
2:07.0,,,91-100,3,K. Leonard makes 3-pt shot from 26 ft
1:50.0,Turnover by K. Bazemore (lost ball),,91-100,,
1:36.0,,,91-102,2,P. Mills makes 2-pt shot from 18 ft
1:28.0,D. Schroder misses 2-pt shot from 6 ft,,91-102,,
1:27.0,,,91-102,,Defensive rebound by P. Gasol
1:13.0,Personal foul by K. Bazemore (drawn by K. Leonard),,91-102,,
1:04.0,,,91-102,,K. Leonard misses 2-pt shot from 17 ft
1:03.0,Defensive rebound by D. Schroder,,91-102,,
1:00.0,Atlanta full timeout,,91-102,,
0:55.0,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Schroder),3,94-102,,
0:48.0,,,94-102,,Offensive foul by P. Gasol
0:48.0,,,94-102,,Turnover by P. Gasol (offensive foul)
0:41.0,T. Hardaway misses 3-pt shot from 23 ft (block by D. Green),,94-102,,
0:41.0,Offensive rebound by Team,,94-102,,
0:41.0,Atlanta full timeout,,94-102,,
0:38.0,K. Bazemore makes 2-pt shot from 1 ft (assist by T. Hardaway),2,96-102,,
0:38.0,,,96-102,,Violation by K. Leonard (def goaltending)
0:35.0,Personal foul by K. Bazemore (drawn by K. Leonard),,96-102,,
0:35.0,,,96-103,1,K. Leonard makes free throw 1 of 2
0:35.0,,,96-104,1,K. Leonard makes free throw 2 of 2
0:35.0,T. Sefolosha enters the game for K. Bazemore,,96-102,,
0:35.0,,,96-103,,M. Ginobili enters the game for P. Gasol
0:28.0,P. Millsap misses 3-pt shot from 24 ft,,96-104,,
0:26.0,,,96-104,,Defensive rebound by K. Leonard
0:24.0,Personal take foul by P. Millsap (drawn by K. Leonard),,96-104,,
0:24.0,,,96-104,,K. Leonard misses free throw 1 of 2
0:24.0,,,96-104,,Offensive rebound by Team
0:24.0,,,96-105,1,K. Leonard makes free throw 2 of 2
0:24.0,Atlanta full timeout,,96-105,,
0:24.0,T. Waller-Prince enters the game for T. Sefolosha,,96-105,,
0:21.0,T. Waller-Prince makes 3-pt shot from 24 ft (assist by E. Ilyasova),3,99-105,,
0:21.0,,,99-105,,San Antonio full timeout
0:21.0,T. Sefolosha enters the game for E. Ilyasova,,99-105,,
0:21.0,,,99-105,,P. Gasol enters the game for D. Lee
0:18.0,Personal foul by P. Millsap (drawn by K. Leonard),,99-105,,
0:18.0,,,99-106,1,K. Leonard makes free throw 1 of 2
0:18.0,,,99-107,1,K. Leonard makes free throw 2 of 2
0:18.0,,,99-106,,K. Anderson enters the game for P. Gasol
0:13.0,T. Waller-Prince misses 3-pt shot from 23 ft,,99-107,,
0:08.0,Offensive rebound by T. Sefolosha,,99-107,,
0:08.0,T. Sefolosha misses 2-pt shot from 5 ft,,99-107,,
0:06.0,,,99-107,,Defensive rebound by D. Green
0:00.0,End of 4th quarter,,,,End of 4th quarter
