time,Oklahoma City,pts.away,score,pts.home,Boston
5:49.0,D. Sabonis enters the game for E. Kanter,,97-98,,
5:36.0,,,99-98,,J. Jerebko misses 2-pt shot from 2 ft (block by J. Grant)
5:36.0,,,99-98,,Offensive rebound by Team
5:28.0,,,99-100,2,A. Horford makes 2-pt shot from 6 ft (assist by I. Thomas)
5:10.0,Shooting foul by J. Jerebko (drawn by S. Adams),,99-100,,
5:10.0,S. Adams misses free throw 1 of 2,,99-100,,
5:10.0,Offensive rebound by Team,,99-100,,
5:10.0,S. Adams misses free throw 2 of 2,,99-100,,
5:10.0,,,99-100,,Defensive rebound by J. Crowder
4:55.0,,,99-100,,Shooting foul by J. Grant (drawn by A. Horford)
4:55.0,,,99-101,1,A. Horford makes free throw 1 of 2
4:55.0,,,99-102,1,A. Horford makes free throw 2 of 2
4:45.0,D. Sabonis misses 2-pt shot from 18 ft,,99-102,,
4:44.0,,,99-102,,Defensive rebound by J. Jerebko
4:26.0,,,99-102,,I. Thomas misses 2-pt shot from 1 ft
4:25.0,Defensive rebound by R. Westbrook,,99-102,,
4:16.0,R. Westbrook misses 2-pt shot from 18 ft,,99-102,,
4:15.0,,,99-102,,Defensive rebound by A. Bradley
4:02.0,,,99-102,,A. Bradley misses 2-pt shot from 19 ft
4:01.0,Defensive rebound by D. Sabonis,,99-102,,
3:55.0,Shooting foul by A. Horford (drawn by R. Westbrook),,99-102,,
3:55.0,R. Westbrook makes free throw 1 of 2,1,100-102,,
3:55.0,R. Westbrook misses free throw 2 of 2,,100-102,,
3:55.0,,,100-102,,Defensive rebound by J. Jerebko
3:37.0,,,100-104,2,A. Bradley makes 2-pt shot from 1 ft (assist by I. Thomas)
3:16.0,J. Grant makes 2-pt shot at rim (assist by A. Roberson),2,102-104,,
3:02.0,,,102-104,,I. Thomas misses 3-pt shot from 26 ft
3:02.0,Defensive rebound by J. Grant,,102-104,,
3:02.0,Oklahoma City full timeout,,102-104,,
2:50.0,R. Westbrook makes 2-pt shot from 6 ft,2,104-104,,
2:50.0,,,104-104,,Shooting block foul by I. Thomas (drawn by R. Westbrook)
2:50.0,R. Westbrook makes free throw 1 of 1,1,105-104,,
2:34.0,,,105-104,,Turnover by I. Thomas (bad pass; steal by S. Adams)
2:28.0,,,105-104,,Personal take foul by J. Jerebko (drawn by A. Roberson)
2:28.0,A. Roberson misses free throw 1 of 2,,105-104,,
2:28.0,Offensive rebound by Team,,105-104,,
2:28.0,A. Roberson misses free throw 2 of 2,,105-104,,
2:28.0,,,105-104,,Defensive rebound by M. Smart
2:28.0,,,105-104,,M. Smart enters the game for J. Jerebko
2:28.0,S. Christon enters the game for D. Sabonis,,105-104,,
2:13.0,,,105-104,,Boston full timeout
2:07.0,,,105-104,,A. Bradley misses 2-pt shot from 2 ft (block by S. Adams)
2:06.0,,,105-104,,Offensive rebound by A. Bradley
2:05.0,,,105-104,,A. Bradley misses 2-pt shot from 1 ft
2:04.0,Defensive rebound by S. Christon,,105-104,,
2:03.0,,,105-104,,Personal take foul by I. Thomas (drawn by A. Roberson)
2:03.0,A. Roberson misses free throw 1 of 2,,105-104,,
2:03.0,Offensive rebound by Team,,105-104,,
2:03.0,A. Roberson misses free throw 2 of 2,,105-104,,
2:03.0,,,105-104,,Defensive rebound by I. Thomas
1:39.0,,,105-104,,Turnover by I. Thomas (lost ball; steal by R. Westbrook)
1:36.0,R. Westbrook makes 2-pt shot from 1 ft,2,107-104,,
1:36.0,Shooting foul by A. Horford (drawn by R. Westbrook),,107-104,,
1:36.0,R. Westbrook misses free throw 1 of 1,,107-104,,
1:36.0,,,107-104,,Defensive rebound by J. Crowder
1:36.0,,,107-104,,Boston full timeout
1:29.0,,,107-104,,I. Thomas misses 3-pt shot from 25 ft
1:28.0,Defensive rebound by S. Adams,,107-104,,
1:13.0,R. Westbrook makes 3-pt shot from 27 ft,3,110-104,,
1:07.0,,,110-106,2,I. Thomas makes 2-pt shot from 1 ft
1:07.0,,,110-106,,Shooting foul by J. Grant (drawn by I. Thomas)
1:07.0,,,110-107,1,I. Thomas makes free throw 1 of 1
0:47.0,R. Westbrook makes 3-pt shot from 28 ft,3,113-107,,
0:34.0,,,113-107,,A. Bradley misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by S. Adams,,113-107,,
0:31.0,,,113-107,,Personal foul by J. Crowder (drawn by R. Westbrook)
0:31.0,R. Westbrook makes free throw 1 of 2,1,114-107,,
0:31.0,R. Westbrook makes free throw 2 of 2,1,115-107,,
0:31.0,,,115-107,,Boston full timeout
0:31.0,K. Singler enters the game for S. Adams,,115-107,,
0:23.0,,,115-107,,A. Horford misses 2-pt shot from 22 ft
0:22.0,,,115-107,,Offensive rebound by Team
0:19.0,,,115-110,3,A. Horford makes 3-pt shot from 26 ft (assist by M. Smart)
0:18.0,,,115-110,,Personal take foul by J. Crowder (drawn by R. Westbrook)
0:18.0,R. Westbrook makes free throw 1 of 2,1,116-110,,
0:18.0,R. Westbrook makes free throw 2 of 2,1,117-110,,
0:12.0,,,117-112,2,M. Smart makes 2-pt shot from 2 ft (assist by I. Thomas)
0:00.0,End of 4th quarter,,,,End of 4th quarter
