time,Boston,pts.away,score,pts.home,Denver
3:57.0,Personal foul by M. Smart (drawn by W. Chandler),,95-108,,
3:57.0,,,95-109,1,W. Chandler makes free throw 1 of 2
3:57.0,,,95-109,,W. Chandler misses free throw 2 of 2
3:56.0,Defensive rebound by Team,,95-109,,
3:46.0,Offensive foul by M. Smart,,95-109,,
3:46.0,Turnover by M. Smart (offensive foul),,95-109,,
3:46.0,J. Brown enters the game for M. Smart,,95-109,,
3:36.0,,,95-109,,Turnover by G. Harris (lost ball)
3:27.0,Turnover by I. Thomas (lost ball; steal by N. Jokic),,95-109,,
3:25.0,Personal foul by I. Thomas (drawn by N. Jokic),,95-109,,
3:25.0,,,95-109,,N. Jokic misses free throw 1 of 2
3:25.0,,,95-109,,Offensive rebound by Team
3:25.0,,,95-110,1,N. Jokic makes free throw 2 of 2
3:00.0,J. Brown misses 3-pt shot from 24 ft,,95-110,,
2:58.0,,,95-110,,Defensive rebound by Team
2:58.0,Boston full timeout,,95-110,,
2:58.0,Technical foul by I. Thomas,,95-110,,
2:58.0,,,95-111,1,D. Gallinari makes technical free throw
2:42.0,,,95-113,2,J. Nelson makes 2-pt shot from 2 ft
2:28.0,Turnover by J. Brown (lost ball; steal by W. Chandler),,95-113,,
2:02.0,,,95-113,,D. Gallinari misses 2-pt shot from 22 ft
2:01.0,Defensive rebound by J. Crowder,,95-113,,
1:58.0,,,95-113,,Personal block foul by D. Gallinari (drawn by J. Brown)
1:58.0,J. Brown misses free throw 1 of 2,,95-113,,
1:58.0,Offensive rebound by Team,,95-113,,
1:58.0,J. Brown makes free throw 2 of 2,1,96-113,,
1:58.0,J. Mickey enters the game for J. Crowder,,95-113,,
1:58.0,T. Zeller enters the game for A. Horford,,95-113,,
1:58.0,T. Rozier enters the game for A. Bradley,,95-113,,
1:58.0,G. Green enters the game for I. Thomas,,95-113,,
1:42.0,,,96-115,2,N. Jokic makes 2-pt shot from 12 ft
1:33.0,Shooting foul by W. Chandler (drawn by J. Mickey),,96-115,,
1:33.0,J. Mickey makes free throw 1 of 2,1,97-115,,
1:33.0,J. Mickey misses free throw 2 of 2,,97-115,,
1:33.0,,,97-115,,J. Murray enters the game for J. Nelson
1:33.0,,,97-115,,R. Hibbert enters the game for N. Jokic
1:33.0,,,97-115,,J. Hernangomez enters the game for W. Chandler
1:24.0,,,97-115,,Defensive rebound by J. Hernangomez
1:12.0,,,97-115,,R. Hibbert misses 2-pt shot from 2 ft
1:06.0,,,97-115,,Offensive rebound by R. Hibbert
1:02.0,,,97-117,2,R. Hibbert makes 2-pt shot from 2 ft
0:59.0,Turnover by J. Mickey (bad pass; steal by J. Hernangomez),,97-117,,
0:42.0,,,97-119,2,J. Murray makes 2-pt shot from 20 ft
0:34.0,T. Zeller makes 2-pt shot from 4 ft (assist by T. Rozier),2,99-119,,
0:21.0,,,99-119,,J. Murray misses 3-pt shot from 27 ft
0:20.0,,,99-119,,Offensive rebound by D. Gallinari
0:00.0,End of 4th quarter,,,,End of 4th quarter
