time,Indiana,pts.away,score,pts.home,Washington
2:24.0,,,98-103,2,M. Gortat makes 2-pt shot from 1 ft
2:09.0,K. Seraphin makes 2-pt shot at rim (assist by J. Teague),2,100-103,,
1:53.0,,,100-103,,B. Beal misses 3-pt shot from 26 ft
1:52.0,Defensive rebound by K. Seraphin,,100-103,,
1:34.0,M. Ellis makes 2-pt shot from 12 ft (assist by J. Teague),2,102-103,,
1:20.0,,,102-105,2,J. Wall makes 2-pt shot from 17 ft
1:05.0,P. George misses 2-pt shot from 9 ft,,102-105,,
1:04.0,,,102-105,,Defensive rebound by M. Morris
0:51.0,,,102-108,3,M. Morris makes 3-pt shot from 26 ft (assist by J. Wall)
0:51.0,Indiana full timeout,,102-108,,
0:51.0,C. Miles enters the game for K. Seraphin,,102-108,,
0:46.0,M. Ellis misses 2-pt shot from 2 ft,,102-108,,
0:45.0,,,102-108,,Defensive rebound by O. Porter
0:37.0,Personal foul by M. Ellis (drawn by B. Beal),,102-108,,
0:37.0,,,102-108,,B. Beal misses free throw 1 of 2
0:37.0,,,102-108,,Offensive rebound by Team
0:37.0,,,102-108,,B. Beal misses free throw 2 of 2
0:37.0,,,102-108,,Offensive rebound by M. Morris
0:37.0,K. Seraphin enters the game for C. Miles,,102-108,,
0:30.0,Personal take foul by M. Ellis (drawn by J. Wall),,102-108,,
0:30.0,,,102-109,1,J. Wall makes free throw 1 of 2
0:30.0,,,102-109,,J. Wall misses free throw 2 of 2
0:30.0,Defensive rebound by J. Teague,,102-109,,
0:30.0,Indiana full timeout,,102-109,,
0:30.0,Indiana full timeout,,102-109,,
0:30.0,C. Miles enters the game for K. Seraphin,,102-109,,
0:24.0,C. Miles misses 3-pt shot from 30 ft,,102-109,,
0:23.0,Offensive rebound by P. George,,102-109,,
0:22.0,P. George makes 2-pt shot from 1 ft,2,104-109,,
0:19.0,Personal take foul by P. George (drawn by B. Beal),,104-109,,
0:19.0,,,104-109,,B. Beal misses free throw 1 of 2
0:19.0,,,104-109,,Offensive rebound by Team
0:19.0,,,104-110,1,B. Beal makes free throw 2 of 2
0:19.0,,,104-109,,K. Oubre enters the game for M. Gortat
0:11.0,M. Ellis misses 3-pt shot from 28 ft,,104-110,,
0:10.0,Offensive rebound by M. Turner,,104-110,,
0:07.0,C. Miles makes 3-pt shot from 25 ft (assist by M. Turner),3,107-110,,
0:06.0,Personal take foul by C. Miles (drawn by J. Wall),,107-110,,
0:06.0,,,107-111,1,J. Wall makes free throw 1 of 2
0:06.0,,,107-112,1,J. Wall makes free throw 2 of 2
0:01.0,J. Teague misses 3-pt shot from 29 ft,,107-112,,
0:00.0,Offensive rebound by Team,,107-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
