time,Boston,pts.away,score,pts.home,Oklahoma City
3:20.0,,,90-89,1,S. Adams makes free throw 1 of 1
3:20.0,T. Rozier enters the game for J. Crowder,,90-88,,
3:05.0,A. Bradley makes 2-pt shot from 17 ft (assist by A. Horford),2,92-89,,
2:49.0,,,92-92,3,R. Westbrook makes 3-pt shot from 25 ft (assist by D. Sabonis)
2:28.0,M. Smart misses 2-pt shot from 2 ft,,92-92,,
2:27.0,Offensive rebound by A. Bradley,,92-92,,
2:27.0,A. Bradley makes 2-pt shot from 2 ft,2,94-92,,
2:18.0,,,94-92,,Turnover by R. Westbrook (lost ball; steal by A. Bradley)
1:57.0,K. Olynyk misses 3-pt shot from 25 ft,,94-92,,
1:56.0,Offensive rebound by T. Rozier,,94-92,,
1:40.0,Boston full timeout,,94-92,,
1:40.0,Official timeout,,94-92,,
1:40.0,,,94-92,,J. Grant enters the game for D. Sabonis
1:34.0,A. Bradley misses 2-pt shot from 16 ft,,94-92,,
1:30.0,,,94-92,,Defensive rebound by R. Westbrook
1:26.0,,,94-94,2,R. Westbrook makes 2-pt shot from 2 ft
1:10.0,M. Smart misses 2-pt shot from 1 ft,,94-94,,
1:09.0,Offensive rebound by Team,,94-94,,
1:09.0,,,94-94,,A. Roberson enters the game for A. Morrow
1:06.0,A. Horford misses 2-pt shot from 4 ft (block by S. Adams),,94-94,,
1:05.0,,,94-94,,Defensive rebound by J. Grant
0:52.0,,,94-94,,R. Westbrook misses 2-pt shot from 18 ft
0:50.0,Defensive rebound by T. Rozier,,94-94,,
0:40.0,Turnover by A. Horford (bad pass),,94-94,,
0:40.0,,,94-94,,Oklahoma City full timeout
0:40.0,,,94-94,,A. Morrow enters the game for A. Roberson
0:40.0,A. Johnson enters the game for K. Olynyk,,94-94,,
0:31.0,,,94-96,2,R. Westbrook makes 2-pt shot from 1 ft
0:31.0,Boston full timeout,,94-96,,
0:31.0,K. Olynyk enters the game for A. Johnson,,94-96,,
0:31.0,,,94-96,,A. Roberson enters the game for A. Morrow
0:23.0,A. Bradley misses 2-pt shot from 2 ft,,94-96,,
0:21.0,Jump ball: A. Bradley vs. R. Westbrook (S. Christon gains possession),,,,Jump ball: A. Bradley vs. R. Westbrook (S. Christon gains possession)
0:21.0,,,94-96,,Defensive rebound by R. Westbrook
0:14.0,,,94-98,2,J. Grant makes 2-pt shot at rim (assist by S. Adams)
0:14.0,Boston full timeout,,94-98,,
0:08.0,A. Horford misses 2-pt shot from 8 ft,,94-98,,
0:06.0,Offensive rebound by M. Smart,,94-98,,
0:06.0,M. Smart makes 2-pt shot from 1 ft,2,96-98,,
0:06.0,,,96-98,,Oklahoma City full timeout
0:06.0,J. Brown enters the game for K. Olynyk,,96-98,,
0:06.0,,,96-98,,D. Sabonis enters the game for A. Roberson
0:06.0,,,96-98,,E. Kanter enters the game for S. Adams
0:06.0,,,96-98,,A. Morrow enters the game for J. Grant
0:05.0,Personal take foul by T. Rozier (drawn by R. Westbrook),,96-98,,
0:05.0,,,96-99,1,R. Westbrook makes free throw 1 of 2
0:05.0,,,96-99,,R. Westbrook misses free throw 2 of 2
0:05.0,,,96-99,,J. Grant enters the game for E. Kanter
0:05.0,,,96-99,,A. Roberson enters the game for D. Sabonis
0:04.0,Defensive rebound by M. Smart,,96-99,,
0:00.0,M. Smart misses 3-pt shot from 25 ft,,96-99,,
0:00.0,Offensive rebound by Team,,96-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
