time,Dallas,pts.away,score,pts.home,Philadelphia
4:25.0,M. Harris misses 2-pt shot from 2 ft,,65-103,,
4:23.0,,,65-103,,Defensive rebound by J. Anderson
4:18.0,,,65-103,,J. Anderson misses 3-pt shot from 24 ft
4:15.0,Defensive rebound by D. Finney-Smith,,65-103,,
3:55.0,Shooting foul by N. Stauskas (drawn by D. Finney-Smith),,65-103,,
3:55.0,D. Finney-Smith misses free throw 1 of 2,,65-103,,
3:55.0,Offensive rebound by Team,,65-103,,
3:55.0,D. Finney-Smith makes free throw 2 of 2,1,66-103,,
3:55.0,Y. Ferrell enters the game for S. Mejri,,65-103,,
3:41.0,,,66-105,2,S. Rodriguez makes 2-pt shot from 2 ft
3:41.0,Shooting block foul by Y. Ferrell (drawn by S. Rodriguez),,66-105,,
3:41.0,,,66-106,1,S. Rodriguez makes free throw 1 of 1
3:22.0,D. Finney-Smith misses 2-pt shot from 1 ft (block by S. Long),,66-106,,
3:20.0,,,66-106,,Defensive rebound by J. Anderson
3:12.0,,,66-108,2,J. Anderson makes 2-pt shot from 2 ft (assist by S. Long)
3:12.0,,,66-108,,Shooting foul by M. Harris (drawn by J. Anderson)
3:12.0,,,66-109,1,J. Anderson makes free throw 1 of 1
3:01.0,D. Powell makes 2-pt shot from 2 ft (assist by Y. Ferrell),2,68-109,,
2:47.0,,,68-109,,N. Stauskas misses 2-pt shot from 17 ft
2:46.0,,,68-109,,Offensive rebound by N. Stauskas
2:32.0,,,68-109,,J. Anderson misses 3-pt shot from 27 ft
2:30.0,Defensive rebound by M. Harris,,68-109,,
2:24.0,D. Powell makes 2-pt shot from 11 ft (assist by M. Harris),2,70-109,,
2:09.0,,,70-109,,S. Long misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by M. Harris,,70-109,,
2:00.0,M. Harris misses 2-pt shot from 5 ft (block by S. Long),,70-109,,
1:59.0,Offensive rebound by M. Harris,,70-109,,
1:59.0,M. Harris misses 2-pt shot from 3 ft (block by S. Long),,70-109,,
1:59.0,Offensive rebound by Team,,70-109,,
1:59.0,Official timeout,,70-109,,
1:46.0,N. Brussino misses 3-pt shot from 24 ft,,70-109,,
1:45.0,,,70-109,,Defensive rebound by N. Stauskas
1:40.0,,,70-111,2,J. Anderson makes 2-pt shot from 1 ft (assist by S. Rodriguez)
1:25.0,D. Powell misses 3-pt shot from 22 ft,,70-111,,
1:25.0,Offensive rebound by Team,,70-111,,
1:17.0,Shooting foul by S. Rodriguez (drawn by M. Harris),,70-111,,
1:17.0,M. Harris misses free throw 1 of 2,,70-111,,
1:17.0,Offensive rebound by Team,,70-111,,
1:17.0,M. Harris makes free throw 2 of 2,1,71-111,,
1:05.0,,,71-114,3,T. Luwawu-Cabarrot makes 3-pt shot from 24 ft (assist by J. Anderson)
0:52.0,D. Powell makes 3-pt shot from 25 ft (assist by M. Harris),3,74-114,,
0:32.0,,,74-114,,N. Stauskas misses 3-pt shot from 24 ft
0:30.0,,,74-114,,Offensive rebound by S. Long
0:30.0,,,74-116,2,S. Long makes 2-pt shot from 1 ft
0:15.0,M. Harris misses 3-pt shot from 25 ft,,74-116,,
0:14.0,,,74-116,,Defensive rebound by J. Anderson
0:00.0,End of 4th quarter,,,,End of 4th quarter
