time,Portland,pts.away,score,pts.home,Washington
3:48.0,M. Leonard makes 2-pt shot from 7 ft (assist by P. Connaughton),2,96-117,,
3:29.0,,,96-120,3,K. Oubre makes 3-pt shot from 28 ft (assist by T. Satoransky)
3:13.0,S. Napier misses 2-pt shot from 2 ft,,96-120,,
3:12.0,Offensive rebound by M. Leonard,,96-120,,
3:08.0,Shooting foul by T. Burke (drawn by J. Layman),,96-120,,
3:08.0,J. Layman makes free throw 1 of 2,1,97-120,,
3:08.0,,,97-120,,D. Ochefu enters the game for J. Smith
3:08.0,J. Layman misses free throw 2 of 2,,97-120,,
3:06.0,,,97-120,,Defensive rebound by D. Ochefu
2:46.0,,,97-120,,T. Burke misses 2-pt shot from 20 ft
2:44.0,Defensive rebound by S. Napier,,97-120,,
2:37.0,J. Layman misses 3-pt shot from 26 ft,,97-120,,
2:37.0,,,97-120,,Defensive rebound by D. Ochefu
2:20.0,,,97-120,,T. Burke misses 3-pt shot from 26 ft
2:19.0,Defensive rebound by P. Connaughton,,97-120,,
2:13.0,J. Layman misses 3-pt shot from 26 ft,,97-120,,
2:12.0,Offensive rebound by S. Napier,,97-120,,
2:05.0,S. Napier misses 2-pt shot from 2 ft,,97-120,,
2:04.0,,,97-120,,Defensive rebound by T. Burke
1:49.0,,,97-120,,S. Mac misses 2-pt shot from 19 ft
1:48.0,Defensive rebound by S. Napier,,97-120,,
1:33.0,M. Leonard misses 2-pt shot from 10 ft,,97-120,,
1:32.0,,,97-120,,Defensive rebound by S. Mac
1:14.0,,,97-120,,D. Ochefu misses 2-pt shot from 8 ft
1:13.0,Defensive rebound by N. Vonleh,,97-120,,
1:02.0,N. Vonleh makes 2-pt shot from 1 ft (assist by S. Napier),2,99-120,,
1:02.0,Shooting foul by D. Ochefu (drawn by N. Vonleh),,99-120,,
1:02.0,N. Vonleh misses free throw 1 of 1,,99-120,,
1:01.0,,,99-120,,Defensive rebound by D. Ochefu
0:48.0,,,99-120,,S. Mac misses 3-pt shot from 26 ft
0:46.0,Defensive rebound by N. Vonleh,,99-120,,
0:38.0,Turnover by S. Napier (lost ball; steal by D. Ochefu),,99-120,,
0:33.0,,,99-120,,T. Satoransky misses 2-pt shot at rim
0:31.0,,,99-120,,Offensive rebound by S. Mac
0:29.0,,,99-120,,S. Mac misses 2-pt shot from 1 ft
0:28.0,,,99-120,,Offensive rebound by T. Satoransky
0:07.0,,,99-120,,T. Satoransky misses 3-pt shot from 26 ft
0:06.0,Defensive rebound by N. Vonleh,,99-120,,
0:01.0,P. Connaughton makes 2-pt shot at rim,2,101-120,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
