time,Charlotte,pts.away,score,pts.home,Milwaukee
7:17.0,,,91-81,2,G. Monroe makes 2-pt shot from 5 ft (assist by G. Antetokounmpo)
6:58.0,R. Hibbert makes 2-pt shot from 3 ft (assist by K. Walker),2,93-81,,
6:36.0,,,93-83,2,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo)
6:10.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,93-83,,
6:09.0,,,93-83,,Defensive rebound by G. Antetokounmpo
5:55.0,,,93-83,,G. Antetokounmpo misses 2-pt shot from 6 ft
5:54.0,,,93-83,,Offensive rebound by G. Monroe
5:54.0,,,93-83,,G. Monroe misses 2-pt shot from 1 ft
5:53.0,,,93-83,,Offensive rebound by G. Monroe
5:50.0,,,93-83,,G. Monroe misses 3-pt shot at rim
5:49.0,Defensive rebound by R. Hibbert,,93-83,,
5:29.0,R. Hibbert misses 2-pt shot from 13 ft,,93-83,,
5:27.0,,,93-83,,Defensive rebound by M. Brogdon
5:21.0,,,93-83,,Milwaukee full timeout
5:21.0,N. Batum enters the game for M. Kidd-Gilchrist,,93-83,,
5:21.0,,,93-83,,J. Parker enters the game for G. Antetokounmpo
5:21.0,,,93-83,,M. Teletovic enters the game for G. Monroe
5:21.0,,,93-83,,J. Henson enters the game for M. Beasley
5:08.0,,,93-85,2,J. Terry makes 2-pt shot at rim (assist by M. Brogdon)
4:50.0,K. Walker misses 2-pt shot from 17 ft,,93-85,,
4:48.0,Offensive rebound by R. Hibbert,,93-85,,
4:48.0,R. Hibbert makes 2-pt shot at rim,2,95-85,,
4:30.0,,,95-85,,M. Teletovic misses 3-pt shot from 25 ft
4:29.0,Defensive rebound by M. Belinelli,,95-85,,
4:16.0,R. Hibbert makes 2-pt shot from 1 ft (assist by M. Williams),2,97-85,,
4:16.0,Shooting foul by J. Henson (drawn by R. Hibbert),,97-85,,
4:16.0,R. Hibbert makes free throw 1 of 1,1,98-85,,
4:16.0,,,97-85,,G. Antetokounmpo enters the game for M. Teletovic
4:16.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,97-85,,
4:16.0,,,97-85,,M. Dellavedova enters the game for M. Brogdon
4:16.0,,,97-85,,M. Teletovic enters the game for J. Terry
4:06.0,,,98-87,2,M. Dellavedova makes 2-pt shot from 7 ft
3:48.0,M. Williams misses 2-pt shot from 1 ft,,98-87,,
3:46.0,Offensive rebound by R. Hibbert,,98-87,,
3:42.0,K. Walker misses 2-pt shot from 9 ft,,98-87,,
3:41.0,,,98-87,,Defensive rebound by J. Henson
3:36.0,,,98-87,,Milwaukee full timeout
3:30.0,,,98-87,,M. Dellavedova misses 2-pt shot from 8 ft (block by R. Hibbert)
3:30.0,,,98-87,,Offensive rebound by Team
3:21.0,,,98-89,2,G. Antetokounmpo makes 2-pt shot from 19 ft
3:06.0,M. Williams makes 3-pt shot from 27 ft (assist by K. Walker),3,101-89,,
2:59.0,Personal foul by K. Walker (drawn by M. Dellavedova),,101-89,,
2:59.0,Official timeout,,101-89,,
2:59.0,,,101-89,,G. Monroe enters the game for J. Henson
2:46.0,,,101-89,,M. Dellavedova misses 3-pt shot from 27 ft
2:45.0,Defensive rebound by M. Kidd-Gilchrist,,101-89,,
2:33.0,Turnover by K. Walker (traveling),,101-89,,
2:24.0,,,101-89,,M. Teletovic misses 3-pt shot from 26 ft
2:24.0,Defensive rebound by Team,,101-89,,
2:05.0,K. Walker misses 3-pt shot from 29 ft,,101-89,,
2:02.0,,,101-89,,Defensive rebound by G. Antetokounmpo
1:50.0,,,101-89,,Turnover by G. Antetokounmpo (lost ball; steal by K. Walker)
1:27.0,M. Kidd-Gilchrist misses 2-pt shot from 12 ft,,101-89,,
1:25.0,Offensive rebound by M. Kidd-Gilchrist,,101-89,,
1:25.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,103-89,,
1:17.0,,,103-89,,Shooting foul by R. Hibbert (drawn by J. Parker)
1:17.0,,,103-90,1,J. Parker makes free throw 1 of 2
1:17.0,,,103-91,1,J. Parker makes free throw 2 of 2
0:55.0,K. Walker misses 2-pt shot from 19 ft,,103-91,,
0:55.0,Offensive rebound by Team,,103-91,,
0:31.0,N. Batum misses 3-pt shot from 26 ft,,103-91,,
0:29.0,,,103-91,,Defensive rebound by J. Parker
0:24.0,,,103-93,2,J. Parker makes 2-pt shot from 1 ft
0:23.0,,,103-93,,Personal take foul by J. Parker (drawn by K. Walker)
0:23.0,K. Walker makes free throw 1 of 2,1,104-93,,
0:23.0,K. Walker makes free throw 2 of 2,1,105-93,,
0:16.0,,,105-95,2,G. Antetokounmpo makes 2-pt shot from 1 ft
0:16.0,,,105-95,,Shooting foul by N. Batum (drawn by G. Antetokounmpo)
0:16.0,,,105-96,1,G. Antetokounmpo makes free throw 1 of 1
0:16.0,Charlotte full timeout,,105-96,,
0:16.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,105-96,,
0:14.0,,,105-96,,Personal foul by G. Antetokounmpo (drawn by N. Batum)
0:14.0,N. Batum makes free throw 1 of 2,1,106-96,,
0:14.0,N. Batum makes free throw 2 of 2,1,107-96,,
0:14.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,106-96,,
0:06.0,,,107-96,,M. Dellavedova misses 2-pt shot from 15 ft
0:05.0,Defensive rebound by R. Hibbert,,107-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
