time,Utah,pts.away,score,pts.home,New York
0:35.0,R. Hood makes 2-pt shot at rim (assist by G. Hill),2,108-101,,
0:35.0,,,108-101,,New York full timeout
0:35.0,,,108-101,,B. Jennings enters the game for L. Thomas
0:30.0,,,108-103,2,C. Anthony makes 2-pt shot from 1 ft
0:24.0,,,108-103,,Personal take foul by C. Anthony (drawn by G. Hayward)
0:24.0,G. Hayward makes free throw 1 of 2,1,109-103,,
0:24.0,G. Hayward makes free throw 2 of 2,1,110-103,,
0:18.0,,,110-105,2,K. Porzingis makes 2-pt shot at rim (assist by D. Rose)
0:17.0,,,110-105,,Personal take foul by C. Anthony (drawn by J. Johnson)
0:17.0,J. Johnson makes free throw 1 of 2,1,111-105,,
0:17.0,J. Johnson makes free throw 2 of 2,1,112-105,,
0:17.0,,,112-105,,New York full timeout
0:13.0,,,112-105,,K. Porzingis misses 3-pt shot from 25 ft
0:12.0,,,112-105,,Offensive rebound by K. Porzingis
0:10.0,,,112-105,,Shooting foul by G. Hayward (drawn by K. Porzingis)
0:10.0,,,112-106,1,K. Porzingis makes free throw 1 of 2
0:10.0,,,112-107,1,K. Porzingis makes free throw 2 of 2
0:10.0,,,112-106,,L. Thomas enters the game for C. Anthony
0:09.0,,,112-107,,Personal take foul by B. Jennings (drawn by G. Hill)
0:09.0,G. Hill makes free throw 1 of 2,1,113-107,,
0:09.0,G. Hill makes free throw 2 of 2,1,114-107,,
0:09.0,,,113-107,,C. Anthony enters the game for L. Thomas
0:04.0,,,114-109,2,D. Rose makes 2-pt shot from 22 ft (assist by C. Anthony)
0:00.0,End of 4th quarter,,,,End of 4th quarter
