time,Utah,pts.away,score,pts.home,Brooklyn
3:56.0,Shooting foul by T. Booker (drawn by R. Gobert),,91-83,,
3:56.0,R. Gobert misses free throw 1 of 2,,91-83,,
3:56.0,Offensive rebound by Team,,91-83,,
3:56.0,R. Gobert misses free throw 2 of 2,,91-83,,
3:55.0,,,91-83,,Defensive rebound by T. Booker
3:37.0,,,91-83,,Shooting foul by R. Gobert (drawn by I. Whitehead)
3:37.0,,,91-83,,I. Whitehead misses free throw 1 of 2
3:37.0,,,91-83,,Offensive rebound by Team
3:37.0,,,91-84,1,I. Whitehead makes free throw 2 of 2
3:23.0,G. Hayward misses 2-pt shot from 18 ft,,91-84,,
3:22.0,,,91-84,,Defensive rebound by B. Bogdanovic
3:14.0,,,91-84,,B. Bogdanovic misses 2-pt shot from 10 ft
3:12.0,,,91-84,,Offensive rebound by B. Lopez
3:11.0,,,91-86,2,B. Lopez makes 2-pt shot at rim
2:56.0,S. Mack makes 2-pt shot from 13 ft,2,93-86,,
2:43.0,Personal foul by R. Gobert (drawn by B. Lopez),,93-86,,
2:43.0,,,93-86,,B. Lopez misses free throw 1 of 2
2:43.0,,,93-86,,Offensive rebound by Team
2:43.0,,,93-87,1,B. Lopez makes free throw 2 of 2
2:27.0,G. Hayward makes 2-pt shot from 8 ft,2,95-87,,
2:19.0,,,95-87,,I. Whitehead misses 2-pt shot from 2 ft (block by G. Hayward)
2:18.0,Defensive rebound by R. Gobert,,95-87,,
1:56.0,S. Mack misses 3-pt shot from 26 ft,,95-87,,
1:55.0,Offensive rebound by J. Ingles,,95-87,,
1:41.0,J. Johnson makes 3-pt shot from 25 ft (assist by G. Hayward),3,98-87,,
1:41.0,,,98-87,,Brooklyn full timeout
1:31.0,,,98-87,,Turnover by I. Whitehead (bad pass; steal by S. Mack)
1:10.0,S. Mack makes 2-pt shot from 13 ft,2,100-87,,
0:57.0,,,100-89,2,B. Bogdanovic makes 2-pt shot at rim (assist by I. Whitehead)
0:50.0,,,100-89,,Personal foul by B. Lopez (drawn by J. Johnson)
0:50.0,Utah full timeout,,100-89,,
0:49.0,,,100-89,,Personal foul by B. Bogdanovic (drawn by R. Gobert)
0:49.0,R. Gobert makes free throw 1 of 2,1,101-89,,
0:49.0,R. Gobert misses free throw 2 of 2,,101-89,,
0:48.0,,,101-89,,Defensive rebound by B. Lopez
0:35.0,,,101-89,,B. Lopez misses 3-pt shot from 27 ft
0:34.0,Defensive rebound by J. Johnson,,101-89,,
0:11.0,S. Mack misses 3-pt shot from 24 ft,,101-89,,
0:10.0,,,101-89,,Defensive rebound by S. Kilpatrick
0:01.0,,,101-89,,S. Kilpatrick misses 3-pt shot from 25 ft (block by J. Ingles)
0:00.0,,,101-89,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
