time,Houston,pts.away,score,pts.home,Toronto
4:53.0,J. Harden makes 2-pt shot from 2 ft,2,121-111,,
4:44.0,Personal block foul by T. Ariza (drawn by D. DeRozan),,121-111,,
4:44.0,,,121-111,,C. Joseph enters the game for T. Ross
4:42.0,Personal foul by T. Ariza (drawn by D. DeRozan),,121-111,,
4:42.0,Technical foul by T. Ariza (drawn by D. DeRozan),,121-111,,
4:42.0,,,121-112,1,D. DeRozan makes technical free throw
4:28.0,,,121-112,,K. Lowry misses 2-pt shot from 9 ft (block by P. Beverley)
4:28.0,,,121-112,,Offensive rebound by Team
4:28.0,,,121-112,,Turnover by Team (shot clock)
4:08.0,Turnover by J. Harden (palming),,121-112,,
3:55.0,,,121-112,,D. DeRozan misses 2-pt shot from 17 ft
3:54.0,Defensive rebound by P. Beverley,,121-112,,
3:51.0,,,121-112,,Personal foul by D. DeRozan (drawn by P. Beverley)
3:51.0,,,121-112,,Technical foul by D. DeRozan (drawn by P. Beverley)
3:51.0,J. Harden makes technical free throw,1,122-112,,
3:30.0,J. Harden misses 3-pt shot from 25 ft,,122-112,,
3:27.0,,,122-112,,Defensive rebound by K. Lowry
3:15.0,,,122-112,,Offensive charge foul by P. Patterson
3:15.0,,,122-112,,Turnover by P. Patterson (offensive foul)
3:02.0,Turnover by J. Harden (bad pass; steal by D. Carroll),,122-112,,
2:58.0,Shooting block foul by R. Anderson (drawn by D. Carroll),,122-112,,
2:58.0,Official timeout,,122-112,,
2:58.0,,,122-113,1,D. Carroll makes free throw 1 of 2
2:58.0,,,122-114,1,D. Carroll makes free throw 2 of 2
2:44.0,E. Gordon misses 3-pt shot from 25 ft,,122-114,,
2:43.0,,,122-114,,Defensive rebound by P. Patterson
2:34.0,,,122-114,,Turnover by D. DeRozan (bad pass; steal by R. Anderson)
2:30.0,Houston full timeout,,122-114,,
2:17.0,P. Beverley misses 3-pt shot from 24 ft,,122-114,,
2:16.0,,,122-114,,Defensive rebound by D. DeRozan
2:01.0,,,122-114,,D. DeRozan misses 2-pt shot from 7 ft (block by J. Harden)
2:00.0,Defensive rebound by J. Harden,,122-114,,
1:41.0,R. Anderson misses 3-pt shot from 25 ft,,122-114,,
1:40.0,,,122-114,,Defensive rebound by C. Joseph
1:29.0,,,122-114,,D. Carroll misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by E. Gordon,,122-114,,
1:08.0,J. Harden makes 3-pt shot from 24 ft,3,125-114,,
1:08.0,,,125-114,,Toronto full timeout
1:04.0,,,125-114,,C. Joseph misses 2-pt shot from 3 ft
1:04.0,,,125-114,,Offensive rebound by P. Patterson
1:01.0,,,125-116,2,P. Patterson makes 2-pt shot at rim
0:42.0,E. Gordon misses 2-pt shot from 19 ft,,125-116,,
0:42.0,,,125-116,,Defensive rebound by Team
0:35.0,,,125-118,2,D. DeRozan makes 2-pt shot at rim
0:32.0,P. Beverley makes 2-pt shot from 1 ft (assist by J. Harden),2,127-118,,
0:28.0,,,127-120,2,C. Joseph makes 2-pt shot from 3 ft
0:27.0,,,127-120,,Personal foul by D. DeRozan (drawn by J. Harden)
0:16.0,,,127-120,,Personal take foul by P. Patterson (drawn by T. Ariza)
0:16.0,T. Ariza makes free throw 1 of 2,1,128-120,,
0:16.0,T. Ariza makes free throw 2 of 2,1,129-120,,
0:16.0,,,127-120,,N. Powell enters the game for P. Patterson
0:16.0,M. Harrell enters the game for R. Anderson,,128-120,,
0:09.0,,,129-122,2,C. Joseph makes 2-pt shot from 4 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
