time,San Antonio,pts.away,score,pts.home,Charlotte
1:53.0,K. Leonard makes 2-pt shot from 17 ft (assist by L. Aldridge),2,108-102,,
1:37.0,,,108-104,2,M. Williams makes 2-pt shot from 1 ft
1:23.0,D. Green makes 3-pt shot from 26 ft (assist by K. Leonard),3,111-104,,
1:15.0,,,111-104,,Shooting foul by T. Parker (drawn by K. Walker)
1:15.0,,,111-107,3,K. Walker makes 3-pt shot from 25 ft
1:15.0,,,111-108,1,K. Walker makes free throw 1 of 1
0:58.0,K. Leonard misses 3-pt shot from 25 ft,,111-108,,
0:57.0,,,111-108,,Defensive rebound by N. Batum
0:50.0,,,111-110,2,K. Walker makes 2-pt shot from 2 ft (assist by N. Batum)
0:34.0,Shooting foul by K. Walker (drawn by L. Aldridge),,111-110,,
0:34.0,L. Aldridge misses free throw 1 of 2,,111-110,,
0:34.0,Offensive rebound by Team,,111-110,,
0:34.0,L. Aldridge makes free throw 2 of 2,1,112-110,,
0:34.0,,,112-110,,Charlotte full timeout
0:34.0,,,112-110,,Turnover by M. Williams (bad pass)
0:34.0,M. Ginobili enters the game for P. Gasol,,111-110,,
0:34.0,,,112-110,,M. Belinelli enters the game for M. Kidd-Gilchrist
0:25.0,P. Gasol enters the game for M. Ginobili,,112-110,,
0:22.0,T. Parker makes 3-pt shot from 23 ft (assist by P. Gasol),3,115-110,,
0:22.0,,,115-110,,Charlotte full timeout
0:22.0,,,115-110,,Turnover by Team (5 sec inbounds)
0:22.0,,,115-110,,M. Kidd-Gilchrist enters the game for M. Belinelli
0:18.0,Turnover by T. Parker (bad pass),,115-110,,
0:18.0,,,115-110,,M. Belinelli enters the game for M. Kidd-Gilchrist
0:18.0,M. Ginobili enters the game for P. Gasol,,115-110,,
0:18.0,K. Anderson enters the game for L. Aldridge,,115-110,,
0:13.0,,,115-112,2,K. Walker makes 2-pt shot from 2 ft
0:10.0,,,115-112,,Personal take foul by F. Kaminsky (drawn by T. Parker)
0:10.0,T. Parker makes free throw 1 of 2,1,116-112,,
0:10.0,T. Parker makes free throw 2 of 2,1,117-112,,
0:02.0,,,117-114,2,N. Batum makes 2-pt shot at rim (assist by F. Kaminsky)
0:02.0,,,117-114,,Personal take foul by N. Batum (drawn by T. Parker)
0:02.0,T. Parker makes free throw 1 of 2,1,118-114,,
0:02.0,T. Parker makes free throw 2 of 2,1,119-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
