time,Cleveland,pts.away,score,pts.home,Minnesota
0:34.0,Turnover by L. James (bad pass; steal by R. Rubio),,114-106,,
0:30.0,,,114-108,2,R. Rubio makes 2-pt shot from 1 ft
0:27.0,Cleveland full timeout,,114-108,,
0:27.0,C. Frye enters the game for T. Thompson,,114-108,,
0:19.0,L. James makes 2-pt shot from 2 ft (assist by K. Irving),2,116-108,,
0:19.0,,,116-108,,Minnesota full timeout
0:19.0,T. Thompson enters the game for C. Frye,,116-108,,
0:19.0,I. Shumpert enters the game for K. Irving,,116-108,,
0:13.0,,,116-108,,A. Wiggins misses 3-pt shot from 25 ft
0:12.0,Defensive rebound by D. Williams,,116-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
