time,Golden State,pts.away,score,pts.home,Denver
4:34.0,P. McCaw makes 2-pt shot from 6 ft (assist by A. Varejao),2,116-90,,
4:14.0,,,116-93,3,M. Miller makes 3-pt shot from 26 ft (assist by J. Stokes)
4:02.0,P. McCaw misses 3-pt shot from 29 ft,,116-93,,
4:01.0,,,116-93,,Defensive rebound by J. Stokes
3:53.0,,,116-93,,Turnover by J. Murray (bad pass; steal by S. Livingston)
3:30.0,K. Looney makes 2-pt shot at rim (assist by I. Clark),2,118-93,,
3:17.0,,,118-93,,M. Beasley misses 3-pt shot from 26 ft
3:15.0,Defensive rebound by S. Livingston,,118-93,,
3:13.0,Golden State full timeout,,118-93,,
3:13.0,J. McGee enters the game for S. Livingston,,118-93,,
3:06.0,P. McCaw makes 2-pt shot from 19 ft (assist by K. Looney),2,120-93,,
2:50.0,,,120-93,,M. Beasley misses 3-pt shot from 25 ft
2:49.0,Defensive rebound by A. Varejao,,120-93,,
2:39.0,I. Clark misses 3-pt shot from 26 ft,,120-93,,
2:38.0,Offensive rebound by A. Varejao,,120-93,,
2:31.0,Turnover by J. McGee (lost ball; steal by J. Stokes),,120-93,,
2:24.0,,,120-93,,J. Murray misses 2-pt shot at rim (block by K. Looney)
2:23.0,,,120-93,,Offensive rebound by J. Hernangomez
2:13.0,,,120-93,,J. Murray misses 3-pt shot from 26 ft
2:11.0,Defensive rebound by K. Looney,,120-93,,
1:56.0,A. Varejao misses 2-pt shot from 6 ft,,120-93,,
1:54.0,,,120-93,,Defensive rebound by M. Beasley
1:46.0,,,120-93,,J. Hernangomez misses 2-pt shot from 20 ft
1:45.0,,,120-93,,Offensive rebound by J. Stokes
1:44.0,,,120-96,3,M. Miller makes 3-pt shot from 25 ft (assist by J. Stokes)
1:27.0,I. Clark makes 3-pt shot from 26 ft (assist by J. McGee),3,123-96,,
1:27.0,,,123-96,,Denver full timeout
1:19.0,,,123-99,3,M. Miller makes 3-pt shot from 27 ft (assist by J. Murray)
1:00.0,I. Clark misses 3-pt shot from 24 ft,,123-99,,
1:00.0,,,123-99,,Defensive rebound by M. Beasley
0:55.0,,,123-99,,M. Beasley misses 2-pt shot from 2 ft (block by P. McCaw)
0:53.0,Defensive rebound by A. Varejao,,123-99,,
0:45.0,Turnover by P. McCaw (bad pass; steal by J. Murray),,123-99,,
0:43.0,,,123-101,2,J. Murray makes 2-pt shot at rim
0:24.0,J. McGee misses 2-pt shot from 10 ft,,123-101,,
0:22.0,Offensive rebound by A. Varejao,,123-101,,
0:22.0,,,123-101,,Personal foul by J. Stokes (drawn by A. Varejao)
0:22.0,A. Varejao makes free throw 1 of 2,1,124-101,,
0:22.0,A. Varejao makes free throw 2 of 2,1,125-101,,
0:12.0,,,125-101,,M. Miller misses 3-pt shot from 27 ft
0:11.0,Defensive rebound by J. McGee,,125-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
