time,Milwaukee,pts.away,score,pts.home,Denver
7:12.0,Violation by G. Antetokounmpo (kicked ball),,99-104,,
7:12.0,J. Parker enters the game for M. Beasley,,99-104,,
7:04.0,,,99-104,,Shooting foul by G. Antetokounmpo (drawn by W. Chandler)
7:04.0,,,99-104,,W. Chandler misses free throw 1 of 2
7:04.0,,,99-104,,Offensive rebound by Team
7:04.0,,,99-105,1,W. Chandler makes free throw 2 of 2
6:50.0,J. Parker makes 2-pt shot from 17 ft,2,101-105,,
6:29.0,,,101-105,,Shooting foul by G. Antetokounmpo (drawn by W. Chandler)
6:29.0,,,101-106,1,W. Chandler makes free throw 1 of 2
6:29.0,,,101-107,1,W. Chandler makes free throw 2 of 2
6:29.0,,,101-106,,G. Harris enters the game for E. Mudiay
6:29.0,,,101-106,,J. Nelson enters the game for J. Murray
6:15.0,Shooting foul by D. Arthur (drawn by J. Parker),,101-107,,
6:15.0,J. Parker makes free throw 1 of 2,1,102-107,,
6:15.0,J. Parker makes free throw 2 of 2,1,103-107,,
6:15.0,M. Dellavedova enters the game for M. Brogdon,,102-107,,
5:52.0,,,103-107,,D. Arthur misses 2-pt shot from 4 ft (block by G. Antetokounmpo)
5:52.0,,,103-107,,Offensive rebound by W. Chandler
5:52.0,,,103-107,,Turnover by W. Chandler (step out of bounds)
5:52.0,,,103-107,,K. Faried enters the game for D. Arthur
5:52.0,,,103-107,,Denver full timeout
5:30.0,J. Parker makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,105-107,,
5:17.0,Personal foul by J. Henson (drawn by N. Jokic),,105-107,,
5:05.0,,,105-107,,K. Faried misses 2-pt shot from 2 ft
5:04.0,,,105-107,,Offensive rebound by K. Faried
5:01.0,,,105-109,2,K. Faried makes 2-pt shot from 3 ft
4:46.0,J. Parker misses 3-pt shot from 25 ft,,105-109,,
4:45.0,,,105-109,,Defensive rebound by N. Jokic
4:42.0,,,105-111,2,K. Faried makes 2-pt shot at rim (assist by N. Jokic)
4:15.0,J. Henson misses 2-pt shot from 4 ft,,105-111,,
4:13.0,Offensive rebound by J. Parker,,105-111,,
4:10.0,J. Parker makes 2-pt shot from 3 ft,2,107-111,,
4:02.0,,,107-111,,Shooting foul by J. Parker (drawn by K. Faried)
4:02.0,,,107-112,1,K. Faried makes free throw 1 of 2
4:02.0,,,107-113,1,K. Faried makes free throw 2 of 2
3:50.0,G. Antetokounmpo misses 2-pt shot at rim (block by W. Chandler),,107-113,,
3:47.0,,,107-113,,Defensive rebound by K. Faried
3:42.0,,,107-113,,G. Harris misses 2-pt shot from 21 ft (block by J. Henson)
3:42.0,Defensive rebound by J. Parker,,107-113,,
3:30.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker),2,109-113,,
3:08.0,,,109-113,,N. Jokic misses 2-pt shot from 15 ft
3:07.0,Defensive rebound by J. Parker,,109-113,,
2:53.0,G. Antetokounmpo makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,112-113,,
2:33.0,,,112-115,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
2:31.0,Milwaukee full timeout,,112-115,,
2:16.0,M. Dellavedova misses 2-pt shot from 20 ft,,112-115,,
2:15.0,,,112-115,,Defensive rebound by K. Faried
1:59.0,,,112-115,,Turnover by W. Chandler (bad pass)
1:43.0,J. Parker makes 2-pt shot from 2 ft,2,114-115,,
1:30.0,,,114-118,3,J. Nelson makes 3-pt shot from 26 ft
1:15.0,J. Henson misses 2-pt shot from 7 ft,,114-118,,
1:14.0,,,114-118,,Defensive rebound by N. Jokic
0:50.0,,,114-118,,W. Chandler misses 2-pt shot from 20 ft
0:50.0,Defensive rebound by J. Terry,,114-118,,
0:47.0,Turnover by G. Antetokounmpo (lost ball),,114-118,,
0:27.0,,,114-118,,G. Harris misses 3-pt shot from 25 ft
0:26.0,,,114-118,,Offensive rebound by K. Faried
0:24.0,,,114-118,,Shooting foul by J. Parker (drawn by K. Faried)
0:24.0,,,114-119,1,K. Faried makes free throw 1 of 2
0:24.0,,,114-119,,K. Faried misses free throw 2 of 2
0:24.0,Defensive rebound by G. Antetokounmpo,,114-119,,
0:24.0,Milwaukee full timeout,,114-119,,
0:18.0,Turnover by J. Parker (traveling),,114-119,,
0:17.0,Personal take foul by J. Henson (drawn by W. Chandler),,114-119,,
0:17.0,,,114-120,1,W. Chandler makes free throw 1 of 2
0:17.0,,,114-121,1,W. Chandler makes free throw 2 of 2
0:17.0,Milwaukee full timeout,,114-121,,
0:17.0,T. Snell enters the game for J. Henson,,114-119,,
0:17.0,,,114-121,,W. Barton enters the game for N. Jokic
0:15.0,J. Terry makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,117-121,,
0:12.0,Personal take foul by G. Antetokounmpo (drawn by W. Chandler),,117-121,,
0:12.0,,,117-121,,W. Chandler misses free throw 1 of 2
0:12.0,,,117-121,,Offensive rebound by Team
0:12.0,,,117-121,,W. Chandler misses free throw 2 of 2
0:09.0,Defensive rebound by J. Parker,,117-121,,
0:09.0,Milwaukee full timeout,,117-121,,
0:02.0,J. Parker misses 3-pt shot from 25 ft,,117-121,,
0:01.0,,,117-121,,Defensive rebound by K. Faried
0:00.0,Personal foul by G. Antetokounmpo (drawn by K. Faried),,117-121,,
0:00.0,,,117-121,,K. Faried misses free throw 1 of 2
0:00.0,,,117-121,,Offensive rebound by Team
0:00.0,,,117-121,,K. Faried misses free throw 2 of 2
0:00.0,Defensive rebound by G. Antetokounmpo,,117-121,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
