time,New York,pts.away,score,pts.home,New Orleans
2:16.0,,,90-99,,Offensive rebound by E. Moore
1:59.0,,,90-102,3,D. Cunningham makes 3-pt shot from 24 ft (assist by J. Holiday)
1:48.0,K. Porzingis misses 3-pt shot from 25 ft,,90-102,,
1:48.0,Offensive rebound by Team,,90-102,,
1:39.0,K. Porzingis misses 2-pt shot from 12 ft,,90-102,,
1:38.0,,,90-102,,Defensive rebound by A. Davis
1:19.0,,,90-104,2,A. Davis makes 2-pt shot at rim (assist by E. Moore)
1:09.0,D. Rose makes 2-pt shot from 1 ft,2,92-104,,
0:47.0,,,92-104,,T. Evans misses 3-pt shot from 26 ft
0:47.0,,,92-104,,Offensive rebound by A. Davis
0:47.0,,,92-104,,A. Davis misses 2-pt shot from 1 ft
0:45.0,Defensive rebound by C. Anthony,,92-104,,
0:39.0,C. Anthony misses 3-pt shot from 28 ft,,92-104,,
0:36.0,,,92-104,,Defensive rebound by T. Evans
0:15.0,,,92-104,,T. Evans misses 2-pt shot from 3 ft
0:14.0,Defensive rebound by C. Anthony,,92-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
