time,San Antonio,pts.away,score,pts.home,Chicago
3:05.0,,,84-90,1,D. McDermott makes free throw 2 of 3
3:05.0,,,84-91,1,D. McDermott makes free throw 3 of 3
3:05.0,D. Lee enters the game for P. Gasol,,84-90,,
2:45.0,K. Leonard misses 3-pt shot from 25 ft,,84-91,,
2:44.0,Offensive rebound by K. Leonard,,84-91,,
2:26.0,T. Parker misses 2-pt shot from 5 ft,,84-91,,
2:26.0,Offensive rebound by L. Aldridge,,84-91,,
2:26.0,L. Aldridge makes 2-pt shot from 2 ft,2,86-91,,
2:09.0,,,86-91,,Shooting foul by D. Green (drawn by J. Butler)
2:09.0,,,86-93,2,J. Butler makes 2-pt shot from 18 ft
2:09.0,,,86-93,,Chicago full timeout
2:09.0,,,86-93,,J. Butler misses free throw 1 of 1
2:09.0,P. Mills enters the game for T. Parker,,86-93,,
2:09.0,,,86-93,,R. Rondo enters the game for D. McDermott
2:08.0,Defensive rebound by K. Leonard,,86-93,,
1:59.0,D. Lee misses 2-pt shot from 2 ft (block by T. Gibson),,86-93,,
1:59.0,Offensive rebound by Team,,86-93,,
1:56.0,D. Green misses 3-pt shot from 24 ft,,86-93,,
1:56.0,Offensive rebound by K. Leonard,,86-93,,
1:56.0,K. Leonard makes 2-pt shot at rim,2,88-93,,
1:35.0,,,88-93,,D. Wade misses 2-pt shot from 11 ft
1:35.0,Defensive rebound by Team,,88-93,,
1:22.0,Turnover by K. Leonard (bad pass),,88-93,,
1:09.0,,,88-93,,D. Wade misses 2-pt shot from 1 ft (block by L. Aldridge)
1:07.0,,,88-93,,Offensive rebound by D. Wade
1:03.0,,,88-93,,J. Butler misses 2-pt shot from 13 ft
1:02.0,,,88-93,,Offensive rebound by J. Butler
0:47.0,,,88-93,,Shooting foul by D. Lee (drawn by D. Wade)
0:47.0,,,88-94,1,D. Wade makes free throw 1 of 2
0:47.0,,,88-94,,D. Wade misses free throw 2 of 2
0:44.0,,,88-94,,Offensive rebound by J. Butler
0:29.0,,,88-94,,J. Butler misses 2-pt shot from 13 ft
0:28.0,Defensive rebound by K. Leonard,,88-94,,
0:20.0,P. Mills misses 3-pt shot from 26 ft,,88-94,,
0:19.0,,,88-94,,Defensive rebound by Team
0:19.0,,,88-94,,Chicago full timeout
0:19.0,D. Dedmon enters the game for L. Aldridge,,88-94,,
0:19.0,J. Simmons enters the game for D. Lee,,88-94,,
0:19.0,,,88-94,,N. Mirotic enters the game for T. Gibson
0:19.0,,,88-94,,Chicago full timeout
0:11.0,Personal take foul by D. Dedmon (drawn by D. Wade),,88-94,,
0:11.0,,,88-95,1,D. Wade makes free throw 1 of 2
0:11.0,,,88-95,,D. Wade misses free throw 2 of 2
0:11.0,,,88-95,,T. Gibson enters the game for R. Lopez
0:11.0,K. Anderson enters the game for K. Leonard,,88-95,,
0:08.0,Defensive rebound by K. Anderson,,88-95,,
0:02.0,D. Green makes 3-pt shot from 27 ft (assist by J. Simmons),3,91-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
